Memory Usage: 117.992 MB, CPU Usage: 236.00 %, Power Usage: 109.28109300000000000000 W
Memory Usage: 117.992 MB, CPU Usage: 197.00 %, Power Usage: 109.67733100000000000000 W
Memory Usage: 117.992 MB, CPU Usage: 207.00 %, Power Usage: 109.09011400000000000000 W
Memory Usage: 117.992 MB, CPU Usage: 153.00 %, Power Usage: 106.93216000000000000000 W
Memory Usage: 118.617 MB, CPU Usage: 237.00 %, Power Usage: 109.24386100000000000000 W
Memory Usage: 118.617 MB, CPU Usage: 198.00 %, Power Usage: 115.77558300000000000000 W
Memory Usage: 118.617 MB, CPU Usage: 238.00 %, Power Usage: 119.29095400000000000000 W
Memory Usage: 119.555 MB, CPU Usage: 226.00 %, Power Usage: 116.87836300000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 220.00 %, Power Usage: 118.53265500000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 240.00 %, Power Usage: 118.32239000000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 195.00 %, Power Usage: 117.18488100000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 240.00 %, Power Usage: 119.28186000000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 228.00 %, Power Usage: 117.41846200000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 220.00 %, Power Usage: 118.42816300000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 236.00 %, Power Usage: 118.32104800000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 197.00 %, Power Usage: 117.32959500000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 239.00 %, Power Usage: 119.81304700000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 219.00 %, Power Usage: 117.24323000000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 228.00 %, Power Usage: 119.15686100000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 237.00 %, Power Usage: 117.78229100000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 197.00 %, Power Usage: 113.27552800000000000000 W
Memory Usage: 120.492 MB, CPU Usage: 222.00 %, Power Usage: 112.57502900000000000000 W
Memory Usage: 121.43 MB, CPU Usage: 238.00 %, Power Usage: 111.57600900000000000000 W
Memory Usage: 121.43 MB, CPU Usage: 226.00 %, Power Usage: 110.47078600000000000000 W
Memory Usage: 121.43 MB, CPU Usage: 197.00 %, Power Usage: 109.56020500000000000000 W
Memory Usage: 121.43 MB, CPU Usage: 217.00 %, Power Usage: 110.88234600000000000000 W
Memory Usage: 121.43 MB, CPU Usage: 238.00 %, Power Usage: 111.02223700000000000000 W
Memory Usage: 122.055 MB, CPU Usage: 237.00 %, Power Usage: 109.55611700000000000000 W
Memory Usage: 122.055 MB, CPU Usage: 224.00 %, Power Usage: 109.75478500000000000000 W
Memory Usage: 122.055 MB, CPU Usage: 197.00 %, Power Usage: 109.39382300000000000000 W
Memory Usage: 122.055 MB, CPU Usage: 215.00 %, Power Usage: 110.64015900000000000000 W
Memory Usage: 122.055 MB, CPU Usage: 237.00 %, Power Usage: 111.30629400000000000000 W
Memory Usage: 122.055 MB, CPU Usage: 239.00 %, Power Usage: 109.39382500000000000000 W
Memory Usage: 122.055 MB, CPU Usage: 224.00 %, Power Usage: 113.26545700000000000000 W
Memory Usage: 122.055 MB, CPU Usage: 197.00 %, Power Usage: 114.61604000000000000000 W
