2025/01/09 19:33:02.797, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:03.833, 31.06 W, 11 %, 1183 MiB, 16384 MiB
2025/01/09 19:33:03.837, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:04.873, 33.24 W, 13 %, 1263 MiB, 16384 MiB
2025/01/09 19:33:04.876, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:05.913, 34.19 W, 14 %, 1155 MiB, 16384 MiB
2025/01/09 19:33:05.916, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:06.952, 31.06 W, 14 %, 1155 MiB, 16384 MiB
2025/01/09 19:33:06.956, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:07.992, 41.91 W, 21 %, 1209 MiB, 16384 MiB
2025/01/09 19:33:07.995, 27.12 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:09.031, 44.57 W, 23 %, 1211 MiB, 16384 MiB
2025/01/09 19:33:09.035, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:10.069, 30.58 W, 20 %, 1155 MiB, 16384 MiB
2025/01/09 19:33:10.072, 27.13 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:11.109, 32.76 W, 27 %, 1155 MiB, 16384 MiB
2025/01/09 19:33:11.112, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:12.147, 31.55 W, 34 %, 1155 MiB, 16384 MiB
2025/01/09 19:33:12.151, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:13.187, 30.59 W, 23 %, 1155 MiB, 16384 MiB
2025/01/09 19:33:13.190, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:14.224, 30.59 W, 15 %, 1155 MiB, 16384 MiB
2025/01/09 19:33:14.229, 27.13 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:15.264, 31.55 W, 32 %, 1155 MiB, 16384 MiB
2025/01/09 19:33:15.268, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:16.303, 30.59 W, 33 %, 1155 MiB, 16384 MiB
2025/01/09 19:33:16.308, 27.13 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:17.344, 30.59 W, 0 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:17.348, 27.13 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:18.381, 30.59 W, 9 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:18.387, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:19.420, 30.59 W, 7 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:19.426, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:20.460, 30.59 W, 0 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:20.466, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:21.501, 30.58 W, 0 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:21.505, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:22.540, 30.58 W, 0 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:22.543, 27.13 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:23.576, 30.58 W, 0 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:23.579, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:24.613, 48.42 W, 0 %, 1237 MiB, 16384 MiB
2025/01/09 19:33:24.616, 27.11 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:25.652, 38.08 W, 0 %, 1181 MiB, 16384 MiB
2025/01/09 19:33:25.657, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:26.693, 30.58 W, 23 %, 1265 MiB, 16384 MiB
2025/01/09 19:33:26.696, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:27.737, 35.65 W, 22 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:27.740, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:28.777, 33.24 W, 9 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:28.781, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:29.816, 30.59 W, 0 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:29.819, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:30.854, 30.59 W, 20 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:30.857, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:31.890, 30.82 W, 18 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:31.893, 27.13 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:32.930, 30.58 W, 0 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:32.933, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:33.968, 30.58 W, 10 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:33.973, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:35.011, 31.30 W, 6 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:35.015, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:36.053, 35.65 W, 31 %, 1183 MiB, 16384 MiB
2025/01/09 19:33:36.057, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:37.094, 40.96 W, 12 %, 1209 MiB, 16384 MiB
2025/01/09 19:33:37.098, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:38.133, 47.23 W, 7 %, 1221 MiB, 16384 MiB
2025/01/09 19:33:38.137, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:39.174, 33.49 W, 0 %, 1195 MiB, 16384 MiB
2025/01/09 19:33:39.177, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:40.214, 47.45 W, 31 %, 1249 MiB, 16384 MiB
2025/01/09 19:33:40.217, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:41.255, 33.97 W, 25 %, 1173 MiB, 16384 MiB
2025/01/09 19:33:41.258, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:42.293, 30.58 W, 0 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:42.297, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:43.332, 30.59 W, 8 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:43.335, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:44.370, 30.82 W, 10 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:44.373, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:45.408, 30.59 W, 10 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:45.411, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:46.447, 34.44 W, 27 %, 1165 MiB, 16384 MiB
2025/01/09 19:33:46.451, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:47.488, 31.06 W, 29 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:47.491, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:48.530, 45.56 W, 25 %, 1225 MiB, 16384 MiB
2025/01/09 19:33:48.533, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:49.571, 31.08 W, 30 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:49.574, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:50.610, 33.73 W, 13 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:50.614, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:51.649, 32.27 W, 20 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:51.652, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:52.688, 32.52 W, 29 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:52.692, 27.13 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:53.728, 32.03 W, 21 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:53.731, 27.13 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:33:54.767, 32.27 W, 12 %, 1157 MiB, 16384 MiB
2025/01/09 19:33:54.770, 26.88 W, 0 %, 7 MiB, 16384 MiB
