Memory Usage: 439.656 MB, CPU Usage: 150.00 %, Power Usage: 111.43605500000000000000 W
Memory Usage: 440.898 MB, CPU Usage: 161.00 %, Power Usage: 116.27967000000000000000 W
Memory Usage: 440.789 MB, CPU Usage: 139.00 %, Power Usage: 113.20436100000000000000 W
Memory Usage: 441.707 MB, CPU Usage: 145.00 %, Power Usage: 111.67036900000000000000 W
Memory Usage: 442.238 MB, CPU Usage: 142.00 %, Power Usage: 114.04200600000000000000 W
Memory Usage: 475.48 MB, CPU Usage: 183.00 %, Power Usage: 116.04279300000000000000 W
Memory Usage: 443.43 MB, CPU Usage: 167.00 %, Power Usage: 114.58930600000000000000 W
Memory Usage: 443.934 MB, CPU Usage: 151.00 %, Power Usage: 115.41517200000000000000 W
Memory Usage: 443.984 MB, CPU Usage: 171.00 %, Power Usage: 119.51348800000000000000 W
Memory Usage: 444.516 MB, CPU Usage: 157.00 %, Power Usage: 114.99970500000000000000 W
Memory Usage: 445.281 MB, CPU Usage: 156.00 %, Power Usage: 115.55329300000000000000 W
Memory Usage: 445.43 MB, CPU Usage: 154.00 %, Power Usage: 115.49036600000000000000 W
Memory Usage: 445.98 MB, CPU Usage: 161.00 %, Power Usage: 112.51784000000000000000 W
Memory Usage: 446.414 MB, CPU Usage: 167.00 %, Power Usage: 114.05335700000000000000 W
Memory Usage: 446.777 MB, CPU Usage: 139.00 %, Power Usage: 113.95399300000000000000 W
Memory Usage: 447.316 MB, CPU Usage: 158.00 %, Power Usage: 112.74501100000000000000 W
Memory Usage: 447.879 MB, CPU Usage: 162.00 %, Power Usage: 115.64606800000000000000 W
Memory Usage: 449.859 MB, CPU Usage: 173.00 %, Power Usage: 115.77326200000000000000 W
Memory Usage: 450.57 MB, CPU Usage: 155.00 %, Power Usage: 115.56464600000000000000 W
Memory Usage: 450.723 MB, CPU Usage: 165.00 %, Power Usage: 115.76178800000000000000 W
Memory Usage: 450.926 MB, CPU Usage: 167.00 %, Power Usage: 115.00880100000000000000 W
Memory Usage: 451.469 MB, CPU Usage: 157.00 %, Power Usage: 113.88239800000000000000 W
Memory Usage: 452.078 MB, CPU Usage: 155.00 %, Power Usage: 113.52711400000000000000 W
