Memory Usage: 119.746 MB, CPU Usage: 128.00 %, Power Usage: 97.24608800000000000000 W
Memory Usage: 119.746 MB, CPU Usage: 129.00 %, Power Usage: 97.38225900000000000000 W
Memory Usage: 95.9141 MB, CPU Usage: 218.00 %, Power Usage: 110.02138500000000000000 W
Memory Usage: 112.477 MB, CPU Usage: 224.00 %, Power Usage: 116.91602200000000000000 W
Memory Usage: 119.539 MB, CPU Usage: 233.00 %, Power Usage: 116.96991500000000000000 W
Memory Usage: 95.8516 MB, CPU Usage: 204.00 %, Power Usage: 115.54578600000000000000 W
Memory Usage: 119.602 MB, CPU Usage: 130.00 %, Power Usage: 97.12810800000000000000 W
Memory Usage: 119.602 MB, CPU Usage: 130.00 %, Power Usage: 96.98724000000000000000 W
Memory Usage: 99.1641 MB, CPU Usage: 236.00 %, Power Usage: 113.37782200000000000000 W
Memory Usage: 119.789 MB, CPU Usage: 218.00 %, Power Usage: 116.61493600000000000000 W
Memory Usage: 127.914 MB, CPU Usage: 235.00 %, Power Usage: 117.80060200000000000000 W
Memory Usage: 96.0391 MB, CPU Usage: 190.00 %, Power Usage: 113.55549600000000000000 W
Memory Usage: 119.789 MB, CPU Usage: 129.00 %, Power Usage: 97.02257900000000000000 W
Memory Usage: 119.789 MB, CPU Usage: 173.00 %, Power Usage: 99.34300600000000000000 W
Memory Usage: 119.977 MB, CPU Usage: 235.00 %, Power Usage: 109.27029000000000000000 W
Memory Usage: 129.352 MB, CPU Usage: 227.00 %, Power Usage: 110.52889200000000000000 W
Memory Usage: 121.539 MB, CPU Usage: 225.00 %, Power Usage: 111.84553800000000000000 W
Memory Usage: 97.5391 MB, CPU Usage: 185.00 %, Power Usage: 108.09042200000000000000 W
Memory Usage: 121.602 MB, CPU Usage: 128.00 %, Power Usage: 98.33586800000000000000 W
Memory Usage: 121.602 MB, CPU Usage: 198.00 %, Power Usage: 100.65062200000000000000 W
Memory Usage: 130.594 MB, CPU Usage: 224.00 %, Power Usage: 111.70222900000000000000 W
