Memory Usage: 1420.49 MB, CPU Usage: 200.00 %, Power Usage: 128.15769300000000000000 W
Memory Usage: 1406.65 MB, CPU Usage: 200.00 %, Power Usage: 126.38804200000000000000 W
Memory Usage: 1419.73 MB, CPU Usage: 201.00 %, Power Usage: 126.58891000000000000000 W
Memory Usage: 1442.86 MB, CPU Usage: 198.00 %, Power Usage: 126.13072000000000000000 W
Memory Usage: 1424.87 MB, CPU Usage: 198.00 %, Power Usage: 125.54319600000000000000 W
Memory Usage: 1445.49 MB, CPU Usage: 201.00 %, Power Usage: 125.17485100000000000000 W
Memory Usage: 1438.48 MB, CPU Usage: 200.00 %, Power Usage: 125.31474300000000000000 W
Memory Usage: 1446.92 MB, CPU Usage: 199.00 %, Power Usage: 127.41025600000000000000 W
Memory Usage: 1471.25 MB, CPU Usage: 198.00 %, Power Usage: 128.83145800000000000000 W
Memory Usage: 1457.95 MB, CPU Usage: 200.00 %, Power Usage: 125.92759500000000000000 W
Memory Usage: 1470.14 MB, CPU Usage: 200.00 %, Power Usage: 125.74430700000000000000 W
Memory Usage: 1497.02 MB, CPU Usage: 198.00 %, Power Usage: 125.39421000000000000000 W
Memory Usage: 1478.71 MB, CPU Usage: 201.00 %, Power Usage: 129.34689800000000000000 W
Memory Usage: 1497.2 MB, CPU Usage: 200.00 %, Power Usage: 128.13053100000000000000 W
Memory Usage: 1492.33 MB, CPU Usage: 200.00 %, Power Usage: 124.27629400000000000000 W
Memory Usage: 1501.08 MB, CPU Usage: 199.00 %, Power Usage: 123.62077700000000000000 W
Memory Usage: 1528.89 MB, CPU Usage: 200.00 %, Power Usage: 124.04240700000000000000 W
Memory Usage: 1518.09 MB, CPU Usage: 199.00 %, Power Usage: 123.49278600000000000000 W
Memory Usage: 1534.34 MB, CPU Usage: 200.00 %, Power Usage: 122.80419100000000000000 W
Memory Usage: 1561.21 MB, CPU Usage: 198.00 %, Power Usage: 123.09502200000000000000 W
Memory Usage: 1544.49 MB, CPU Usage: 198.00 %, Power Usage: 122.67192700000000000000 W
Memory Usage: 1569.18 MB, CPU Usage: 200.00 %, Power Usage: 123.01134300000000000000 W
Memory Usage: 1563.68 MB, CPU Usage: 200.00 %, Power Usage: 122.44799000000000000000 W
Memory Usage: 1576.81 MB, CPU Usage: 185.00 %, Power Usage: 124.73283400000000000000 W
Memory Usage: 1604 MB, CPU Usage: 198.00 %, Power Usage: 123.24754900000000000000 W
Memory Usage: 1595.38 MB, CPU Usage: 200.00 %, Power Usage: 123.07787000000000000000 W
Memory Usage: 1615.07 MB, CPU Usage: 199.00 %, Power Usage: 123.43846600000000000000 W
Memory Usage: 1644.13 MB, CPU Usage: 197.00 %, Power Usage: 123.67863900000000000000 W
Memory Usage: 1633.32 MB, CPU Usage: 199.00 %, Power Usage: 121.97167300000000000000 W
Memory Usage: 1661.8 MB, CPU Usage: 201.00 %, Power Usage: 123.42686900000000000000 W
Memory Usage: 1658.81 MB, CPU Usage: 200.00 %, Power Usage: 123.45451800000000000000 W
Memory Usage: 1678.5 MB, CPU Usage: 197.00 %, Power Usage: 122.17784800000000000000 W
Memory Usage: 1715.38 MB, CPU Usage: 198.00 %, Power Usage: 123.69981800000000000000 W
Memory Usage: 1711.45 MB, CPU Usage: 189.00 %, Power Usage: 122.47154900000000000000 W
