Memory Usage: 1446.96 MB, CPU Usage: 201.00 %, Power Usage: 125.43150200000000000000 W
Memory Usage: 1439.9 MB, CPU Usage: 200.00 %, Power Usage: 124.94310100000000000000 W
Memory Usage: 1455.84 MB, CPU Usage: 197.00 %, Power Usage: 120.66357100000000000000 W
Memory Usage: 1484.28 MB, CPU Usage: 200.00 %, Power Usage: 119.19781400000000000000 W
Memory Usage: 1511.78 MB, CPU Usage: 198.00 %, Power Usage: 118.16345600000000000000 W
Memory Usage: 1506.93 MB, CPU Usage: 200.00 %, Power Usage: 122.46935200000000000000 W
Memory Usage: 1533.49 MB, CPU Usage: 198.00 %, Power Usage: 126.16666800000000000000 W
Memory Usage: 1305.06 MB, CPU Usage: 199.00 %, Power Usage: 125.97202900000000000000 W
Memory Usage: 1295.82 MB, CPU Usage: 200.00 %, Power Usage: 126.47672700000000000000 W
Memory Usage: 1302.7 MB, CPU Usage: 200.00 %, Power Usage: 126.66691200000000000000 W
Memory Usage: 1315.82 MB, CPU Usage: 200.00 %, Power Usage: 129.10977700000000000000 W
Memory Usage: 1337.38 MB, CPU Usage: 198.00 %, Power Usage: 125.86417900000000000000 W
Memory Usage: 1322.2 MB, CPU Usage: 200.00 %, Power Usage: 127.22245300000000000000 W
Memory Usage: 1330.02 MB, CPU Usage: 198.00 %, Power Usage: 126.73069500000000000000 W
Memory Usage: 1350.64 MB, CPU Usage: 200.00 %, Power Usage: 126.45939200000000000000 W
Memory Usage: 1341.4 MB, CPU Usage: 199.00 %, Power Usage: 125.92985400000000000000 W
Memory Usage: 1348.9 MB, CPU Usage: 201.00 %, Power Usage: 126.35007900000000000000 W
Memory Usage: 1365.46 MB, CPU Usage: 199.00 %, Power Usage: 126.69468200000000000000 W
Memory Usage: 1388.59 MB, CPU Usage: 198.00 %, Power Usage: 126.71659500000000000000 W
Memory Usage: 1369.97 MB, CPU Usage: 199.00 %, Power Usage: 126.42521400000000000000 W
Memory Usage: 1381.7 MB, CPU Usage: 200.00 %, Power Usage: 118.93573100000000000000 W
Memory Usage: 1402.32 MB, CPU Usage: 196.04 %, Power Usage: 123.43504700000000000000 W
Memory Usage: 1386.83 MB, CPU Usage: 201.00 %, Power Usage: 125.74595500000000000000 W
Memory Usage: 1397.46 MB, CPU Usage: 200.00 %, Power Usage: 125.45201100000000000000 W
