Memory Usage: 176.801 MB, CPU Usage: 101.00 %, Power Usage: 58.11716100000000000000 W
Memory Usage: 302.738 MB, CPU Usage: 156.00 %, Power Usage: 113.96217200000000000000 W
Memory Usage: 500.238 MB, CPU Usage: 146.00 %, Power Usage: 115.48621500000000000000 W
Memory Usage: 544.336 MB, CPU Usage: 101.00 %, Power Usage: 117.25739100000000000000 W
Memory Usage: 612.777 MB, CPU Usage: 191.00 %, Power Usage: 123.12492800000000000000 W
Memory Usage: 673.883 MB, CPU Usage: 196.00 %, Power Usage: 113.79988000000000000000 W
Memory Usage: 726.91 MB, CPU Usage: 197.00 %, Power Usage: 117.11792500000000000000 W
Memory Usage: 781.996 MB, CPU Usage: 199.00 %, Power Usage: 117.37000100000000000000 W
Memory Usage: 829.922 MB, CPU Usage: 199.00 %, Power Usage: 116.88776100000000000000 W
Memory Usage: 894.031 MB, CPU Usage: 199.00 %, Power Usage: 117.90674200000000000000 W
Memory Usage: 952.926 MB, CPU Usage: 199.00 %, Power Usage: 117.76990100000000000000 W
Memory Usage: 1008.55 MB, CPU Usage: 198.00 %, Power Usage: 120.06017900000000000000 W
Memory Usage: 1056.84 MB, CPU Usage: 199.00 %, Power Usage: 126.11735300000000000000 W
Memory Usage: 1134.93 MB, CPU Usage: 197.00 %, Power Usage: 126.16288400000000000000 W
Memory Usage: 1155.8 MB, CPU Usage: 200.00 %, Power Usage: 127.91794700000000000000 W
Memory Usage: 1209.15 MB, CPU Usage: 198.00 %, Power Usage: 130.68875300000000000000 W
Memory Usage: 1252.32 MB, CPU Usage: 198.00 %, Power Usage: 128.17813800000000000000 W
Memory Usage: 1296.05 MB, CPU Usage: 198.00 %, Power Usage: 128.20902200000000000000 W
Memory Usage: 1345.11 MB, CPU Usage: 196.00 %, Power Usage: 125.03245700000000000000 W
Memory Usage: 1279.75 MB, CPU Usage: 200.00 %, Power Usage: 123.52159500000000000000 W
Memory Usage: 1303.5 MB, CPU Usage: 198.00 %, Power Usage: 123.11418600000000000000 W
Memory Usage: 1342.26 MB, CPU Usage: 199.00 %, Power Usage: 123.23863700000000000000 W
Memory Usage: 1346.46 MB, CPU Usage: 198.00 %, Power Usage: 122.89513300000000000000 W
Memory Usage: 1292.8 MB, CPU Usage: 200.00 %, Power Usage: 122.88597600000000000000 W
Memory Usage: 1321.55 MB, CPU Usage: 199.00 %, Power Usage: 123.18486600000000000000 W
Memory Usage: 1313.87 MB, CPU Usage: 199.00 %, Power Usage: 123.73241000000000000000 W
Memory Usage: 1347 MB, CPU Usage: 199.00 %, Power Usage: 124.24608100000000000000 W
Memory Usage: 1352.76 MB, CPU Usage: 200.00 %, Power Usage: 123.32341500000000000000 W
Memory Usage: 1379.64 MB, CPU Usage: 198.00 %, Power Usage: 123.78007900000000000000 W
Memory Usage: 1429.32 MB, CPU Usage: 181.00 %, Power Usage: 121.89568400000000000000 W
Memory Usage: 1287.21 MB, CPU Usage: 199.00 %, Power Usage: 116.68787200000000000000 W
Memory Usage: 1303.78 MB, CPU Usage: 199.00 %, Power Usage: 116.58197700000000000000 W
Memory Usage: 1335.34 MB, CPU Usage: 199.00 %, Power Usage: 116.71607100000000000000 W
Memory Usage: 1321.41 MB, CPU Usage: 199.00 %, Power Usage: 117.06708300000000000000 W
Memory Usage: 1346.11 MB, CPU Usage: 200.00 %, Power Usage: 117.14734400000000000000 W
Memory Usage: 1345.93 MB, CPU Usage: 200.00 %, Power Usage: 116.18854600000000000000 W
Memory Usage: 1361.87 MB, CPU Usage: 198.00 %, Power Usage: 116.49256000000000000000 W
Memory Usage: 1392.18 MB, CPU Usage: 199.00 %, Power Usage: 116.34229300000000000000 W
Memory Usage: 1389.82 MB, CPU Usage: 199.00 %, Power Usage: 116.20594000000000000000 W
