Memory Usage: 199.613 MB, CPU Usage: 100.00 %, Power Usage: 107.49392600000000000000 W
Memory Usage: 199.926 MB, CPU Usage: 100.00 %, Power Usage: 111.43275900000000000000 W
Memory Usage: 200.551 MB, CPU Usage: 100.00 %, Power Usage: 114.19691200000000000000 W
Memory Usage: 200.863 MB, CPU Usage: 100.00 %, Power Usage: 112.62361300000000000000 W
Memory Usage: 201.488 MB, CPU Usage: 101.00 %, Power Usage: 110.51448700000000000000 W
Memory Usage: 201.801 MB, CPU Usage: 100.00 %, Power Usage: 113.89656000000000000000 W
Memory Usage: 202.426 MB, CPU Usage: 99.00 %, Power Usage: 112.30098200000000000000 W
Memory Usage: 202.738 MB, CPU Usage: 100.00 %, Power Usage: 113.56349100000000000000 W
Memory Usage: 203.051 MB, CPU Usage: 99.00 %, Power Usage: 113.39845300000000000000 W
Memory Usage: 203.676 MB, CPU Usage: 100.00 %, Power Usage: 112.19697700000000000000 W
Memory Usage: 203.988 MB, CPU Usage: 100.00 %, Power Usage: 111.13899800000000000000 W
Memory Usage: 204.613 MB, CPU Usage: 101.00 %, Power Usage: 108.96761700000000000000 W
Memory Usage: 204.926 MB, CPU Usage: 100.00 %, Power Usage: 110.50832300000000000000 W
Memory Usage: 205.551 MB, CPU Usage: 101.00 %, Power Usage: 110.13887800000000000000 W
Memory Usage: 205.863 MB, CPU Usage: 0.00 %, Power Usage: 101.61399800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 68.31678100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 66.03956400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 61.86306300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 61.84499500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 60.73489100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 60.52120700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 60.96780000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 61.31838600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 61.54049200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.79909000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 80.86038800000000000000 W
