Memory Usage: 256.316 MB, CPU Usage: 101.00 %, Power Usage: 57.21836000000000000000 W
Memory Usage: 258.965 MB, CPU Usage: 103.00 %, Power Usage: 110.25435600000000000000 W
Memory Usage: 261.699 MB, CPU Usage: 104.00 %, Power Usage: 111.32826700000000000000 W
Memory Usage: 264.223 MB, CPU Usage: 104.00 %, Power Usage: 111.18446900000000000000 W
Memory Usage: 266.887 MB, CPU Usage: 104.00 %, Power Usage: 111.04524700000000000000 W
Memory Usage: 269.48 MB, CPU Usage: 100.00 %, Power Usage: 110.73226100000000000000 W
Memory Usage: 272.383 MB, CPU Usage: 100.00 %, Power Usage: 110.94020700000000000000 W
Memory Usage: 275.289 MB, CPU Usage: 102.00 %, Power Usage: 110.94051200000000000000 W
Memory Usage: 278.195 MB, CPU Usage: 101.00 %, Power Usage: 110.15865300000000000000 W
Memory Usage: 280.023 MB, CPU Usage: 102.00 %, Power Usage: 109.37972600000000000000 W
Memory Usage: 281.891 MB, CPU Usage: 105.00 %, Power Usage: 108.68935700000000000000 W
Memory Usage: 284.484 MB, CPU Usage: 102.00 %, Power Usage: 109.34780400000000000000 W
Memory Usage: 286.562 MB, CPU Usage: 100.00 %, Power Usage: 109.35695900000000000000 W
Memory Usage: 288.805 MB, CPU Usage: 104.00 %, Power Usage: 109.85677400000000000000 W
Memory Usage: 291.598 MB, CPU Usage: 105.00 %, Power Usage: 109.45620200000000000000 W
Memory Usage: 293.566 MB, CPU Usage: 102.00 %, Power Usage: 109.22365900000000000000 W
Memory Usage: 296.344 MB, CPU Usage: 100.00 %, Power Usage: 109.61489200000000000000 W
Memory Usage: 298.824 MB, CPU Usage: 104.00 %, Power Usage: 108.02493100000000000000 W
Memory Usage: 301.469 MB, CPU Usage: 101.00 %, Power Usage: 109.55367500000000000000 W
Memory Usage: 303.824 MB, CPU Usage: 101.00 %, Power Usage: 109.71584400000000000000 W
Memory Usage: 305.977 MB, CPU Usage: 100.00 %, Power Usage: 109.69179700000000000000 W
Memory Usage: 308.387 MB, CPU Usage: 93.00 %, Power Usage: 109.62954100000000000000 W
Memory Usage: 309.832 MB, CPU Usage: 100.00 %, Power Usage: 108.52151200000000000000 W
Memory Usage: 311.848 MB, CPU Usage: 102.00 %, Power Usage: 109.45345500000000000000 W
Memory Usage: 578.148 MB, CPU Usage: 202.00 %, Power Usage: 117.26050400000000000000 W
Memory Usage: 1132.07 MB, CPU Usage: 202.00 %, Power Usage: 119.30511300000000000000 W
Memory Usage: 1700.94 MB, CPU Usage: 201.00 %, Power Usage: 119.08618300000000000000 W
Memory Usage: 2267.44 MB, CPU Usage: 201.00 %, Power Usage: 119.62835500000000000000 W
Memory Usage: 2832.22 MB, CPU Usage: 207.00 %, Power Usage: 119.98535000000000000000 W
Memory Usage: 3389.02 MB, CPU Usage: 196.00 %, Power Usage: 123.81730900000000000000 W
Memory Usage: 3932.15 MB, CPU Usage: 205.00 %, Power Usage: 118.29565800000000000000 W
Memory Usage: 4492.34 MB, CPU Usage: 114.00 %, Power Usage: 114.56013100000000000000 W
Memory Usage: 693.59 MB, CPU Usage: 101.00 %, Power Usage: 108.08462300000000000000 W
Memory Usage: 309.699 MB, CPU Usage: 102.00 %, Power Usage: 109.29378800000000000000 W
Memory Usage: 310.637 MB, CPU Usage: 96.00 %, Power Usage: 108.60012500000000000000 W
Memory Usage: 311.262 MB, CPU Usage: 101.00 %, Power Usage: 108.86672500000000000000 W
Memory Usage: 311.887 MB, CPU Usage: 100.00 %, Power Usage: 109.36434400000000000000 W
Memory Usage: 312.824 MB, CPU Usage: 101.00 %, Power Usage: 109.43935600000000000000 W
Memory Usage: 313.762 MB, CPU Usage: 104.00 %, Power Usage: 109.36623700000000000000 W
Memory Usage: 314.699 MB, CPU Usage: 101.00 %, Power Usage: 109.24135800000000000000 W
Memory Usage: 315.637 MB, CPU Usage: 101.00 %, Power Usage: 109.22628300000000000000 W
Memory Usage: 316.574 MB, CPU Usage: 103.00 %, Power Usage: 109.22805300000000000000 W
Memory Usage: 317.512 MB, CPU Usage: 104.00 %, Power Usage: 109.08394900000000000000 W
Memory Usage: 318.449 MB, CPU Usage: 104.00 %, Power Usage: 107.47103800000000000000 W
Memory Usage: 319.699 MB, CPU Usage: 99.00 %, Power Usage: 108.27743400000000000000 W
Memory Usage: 320.637 MB, CPU Usage: 92.00 %, Power Usage: 107.99093400000000000000 W
Memory Usage: 320.949 MB, CPU Usage: 100.00 %, Power Usage: 107.65731700000000000000 W
Memory Usage: 321.887 MB, CPU Usage: 100.00 %, Power Usage: 107.55734100000000000000 W
Memory Usage: 322.824 MB, CPU Usage: 100.00 %, Power Usage: 107.72512800000000000000 W
Memory Usage: 324.074 MB, CPU Usage: 105.00 %, Power Usage: 107.21115100000000000000 W
Memory Usage: 546.262 MB, CPU Usage: 202.00 %, Power Usage: 115.54395400000000000000 W
Memory Usage: 1014.39 MB, CPU Usage: 201.00 %, Power Usage: 115.85010700000000000000 W
Memory Usage: 1483.45 MB, CPU Usage: 206.00 %, Power Usage: 116.14441700000000000000 W
Memory Usage: 1955.95 MB, CPU Usage: 203.00 %, Power Usage: 116.15137600000000000000 W
Memory Usage: 2425.01 MB, CPU Usage: 202.00 %, Power Usage: 116.49176600000000000000 W
Memory Usage: 2895.01 MB, CPU Usage: 202.00 %, Power Usage: 117.11218800000000000000 W
Memory Usage: 3367.51 MB, CPU Usage: 206.00 %, Power Usage: 117.55682900000000000000 W
