2025/01/07 21:50:05.391, 28.00 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:50:06.423, 27.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:50:07.454, 28.00 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:50:08.485, 27.99 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:50:09.515, 28.00 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:50:10.551, 27.98 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:50:11.582, 28.00 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:50:12.613, 27.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:50:13.646, 27.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:50:14.678, 33.62 W, 0 %, 313 MiB, 16384 MiB
2025/01/07 21:50:15.711, 33.62 W, 0 %, 337 MiB, 16384 MiB
2025/01/07 21:50:16.745, 33.86 W, 0 %, 337 MiB, 16384 MiB
2025/01/07 21:50:17.777, 33.87 W, 12 %, 337 MiB, 16384 MiB
2025/01/07 21:50:18.807, 33.86 W, 0 %, 337 MiB, 16384 MiB
2025/01/07 21:50:19.837, 33.62 W, 0 %, 337 MiB, 16384 MiB
2025/01/07 21:50:20.870, 33.86 W, 0 %, 337 MiB, 16384 MiB
2025/01/07 21:50:21.902, 34.10 W, 0 %, 337 MiB, 16384 MiB
2025/01/07 21:50:22.933, 33.86 W, 0 %, 337 MiB, 16384 MiB
2025/01/07 21:50:23.965, 33.86 W, 24 %, 337 MiB, 16384 MiB
2025/01/07 21:50:24.995, 33.87 W, 0 %, 337 MiB, 16384 MiB
2025/01/07 21:50:26.024, 33.86 W, 30 %, 337 MiB, 16384 MiB
2025/01/07 21:50:27.054, 33.86 W, 0 %, 337 MiB, 16384 MiB
2025/01/07 21:50:28.083, 33.86 W, 18 %, 337 MiB, 16384 MiB
2025/01/07 21:50:29.114, 33.87 W, 0 %, 337 MiB, 16384 MiB
2025/01/07 21:50:30.148, 33.86 W, 10 %, 339 MiB, 16384 MiB
2025/01/07 21:50:31.178, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:32.208, 33.86 W, 9 %, 339 MiB, 16384 MiB
2025/01/07 21:50:33.236, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:34.268, 33.86 W, 4 %, 339 MiB, 16384 MiB
2025/01/07 21:50:35.297, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:36.326, 33.87 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:37.355, 33.87 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:38.384, 33.87 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:39.415, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:40.446, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:41.475, 34.60 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:42.504, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:43.533, 61.94 W, 11 %, 429 MiB, 16384 MiB
2025/01/07 21:50:44.563, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:45.592, 33.86 W, 1 %, 391 MiB, 16384 MiB
2025/01/07 21:50:46.621, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:47.651, 52.44 W, 13 %, 411 MiB, 16384 MiB
2025/01/07 21:50:48.688, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:49.717, 33.87 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:50.747, 33.87 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:51.776, 33.86 W, 26 %, 339 MiB, 16384 MiB
2025/01/07 21:50:52.805, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:53.835, 34.11 W, 6 %, 339 MiB, 16384 MiB
2025/01/07 21:50:54.864, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:55.894, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:56.923, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:57.951, 33.87 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:50:58.980, 33.87 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:51:00.008, 34.10 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:51:01.038, 33.87 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:51:02.067, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:51:03.097, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:51:04.127, 33.86 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:51:05.157, 34.84 W, 0 %, 339 MiB, 16384 MiB
2025/01/07 21:51:06.191, 33.86 W, 0 %, 339 MiB, 16384 MiB
