Memory Usage: 246.129 MB, CPU Usage: 121.00 %, Power Usage: 100.94285700000000000000 W
Memory Usage: 246.434 MB, CPU Usage: 142.00 %, Power Usage: 103.38987200000000000000 W
Memory Usage: 246.707 MB, CPU Usage: 134.00 %, Power Usage: 101.72514200000000000000 W
Memory Usage: 246.688 MB, CPU Usage: 131.00 %, Power Usage: 99.64726700000000000000 W
Memory Usage: 247.312 MB, CPU Usage: 123.00 %, Power Usage: 101.54850700000000000000 W
Memory Usage: 247.723 MB, CPU Usage: 114.00 %, Power Usage: 101.77146800000000000000 W
Memory Usage: 248.652 MB, CPU Usage: 117.00 %, Power Usage: 102.43339300000000000000 W
Memory Usage: 247.969 MB, CPU Usage: 116.00 %, Power Usage: 103.00394800000000000000 W
Memory Usage: 248.281 MB, CPU Usage: 113.00 %, Power Usage: 101.16404700000000000000 W
Memory Usage: 250.145 MB, CPU Usage: 107.92 %, Power Usage: 102.85740300000000000000 W
Memory Usage: 250.102 MB, CPU Usage: 102.00 %, Power Usage: 101.95139900000000000000 W
Memory Usage: 250.09 MB, CPU Usage: 107.00 %, Power Usage: 100.68358100000000000000 W
Memory Usage: 250.336 MB, CPU Usage: 104.00 %, Power Usage: 105.03037100000000000000 W
Memory Usage: 250.559 MB, CPU Usage: 105.00 %, Power Usage: 103.89603400000000000000 W
Memory Usage: 250.871 MB, CPU Usage: 106.00 %, Power Usage: 101.86888100000000000000 W
Memory Usage: 252.34 MB, CPU Usage: 108.00 %, Power Usage: 102.99467000000000000000 W
Memory Usage: 252.316 MB, CPU Usage: 135.00 %, Power Usage: 101.21904000000000000000 W
Memory Usage: 252.891 MB, CPU Usage: 103.00 %, Power Usage: 102.25358400000000000000 W
Memory Usage: 252.816 MB, CPU Usage: 104.00 %, Power Usage: 103.12565100000000000000 W
Memory Usage: 252.793 MB, CPU Usage: 111.00 %, Power Usage: 104.53208100000000000000 W
Memory Usage: 253.062 MB, CPU Usage: 107.00 %, Power Usage: 102.46708400000000000000 W
Memory Usage: 253.688 MB, CPU Usage: 128.00 %, Power Usage: 100.59685000000000000000 W
Memory Usage: 253.992 MB, CPU Usage: 127.00 %, Power Usage: -262041.56708700000000000000 W
Memory Usage: 253.992 MB, CPU Usage: %wait %, Power Usage: 84.59408200000000000000 W
