2025/01/10 15:53:01.018, 27.12 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:02.055, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 15:53:02.058, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:03.092, 34.68 W, 78 %, 1201 MiB, 16384 MiB
2025/01/10 15:53:03.097, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:04.134, 34.46 W, 0 %, 1201 MiB, 16384 MiB
2025/01/10 15:53:04.137, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:05.172, 34.46 W, 0 %, 1201 MiB, 16384 MiB
2025/01/10 15:53:05.176, 27.12 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:06.210, 34.70 W, 0 %, 1201 MiB, 16384 MiB
2025/01/10 15:53:06.215, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:07.250, 34.70 W, 0 %, 1201 MiB, 16384 MiB
2025/01/10 15:53:07.255, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:08.289, 87.87 W, 100 %, 1253 MiB, 16384 MiB
2025/01/10 15:53:08.293, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:09.327, 34.44 W, 0 %, 1201 MiB, 16384 MiB
2025/01/10 15:53:09.331, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:10.365, 34.46 W, 0 %, 1201 MiB, 16384 MiB
2025/01/10 15:53:10.368, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:11.403, 34.70 W, 31 %, 1201 MiB, 16384 MiB
2025/01/10 15:53:11.408, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:12.441, 34.68 W, 0 %, 1201 MiB, 16384 MiB
2025/01/10 15:53:12.447, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:13.480, 34.70 W, 0 %, 1201 MiB, 16384 MiB
2025/01/10 15:53:13.483, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:14.517, 34.68 W, 0 %, 1205 MiB, 16384 MiB
2025/01/10 15:53:14.520, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:15.554, 34.70 W, 0 %, 1205 MiB, 16384 MiB
2025/01/10 15:53:15.557, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:16.594, 91.90 W, 0 %, 1257 MiB, 16384 MiB
2025/01/10 15:53:16.597, 27.10 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:17.631, 34.68 W, 0 %, 1205 MiB, 16384 MiB
2025/01/10 15:53:17.635, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:18.671, 34.68 W, 0 %, 1205 MiB, 16384 MiB
2025/01/10 15:53:18.674, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:19.711, 34.92 W, 100 %, 1231 MiB, 16384 MiB
2025/01/10 15:53:19.715, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:20.750, 34.68 W, 0 %, 1205 MiB, 16384 MiB
2025/01/10 15:53:20.754, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:21.790, 34.70 W, 0 %, 1205 MiB, 16384 MiB
2025/01/10 15:53:21.793, 27.12 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:22.829, 34.68 W, 0 %, 1205 MiB, 16384 MiB
2025/01/10 15:53:22.832, 27.11 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:23.868, 34.70 W, 0 %, 1205 MiB, 16384 MiB
2025/01/10 15:53:23.871, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:53:24.910, 34.70 W, 0 %, 1205 MiB, 16384 MiB
