2025/01/10 17:07:47.074, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:48.110, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:07:48.114, 26.64 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:49.150, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:07:49.153, 26.64 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:50.188, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:07:50.192, 26.64 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:51.228, 58.04 W, 0 %, 1251 MiB, 16384 MiB
2025/01/10 17:07:51.231, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:52.268, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:07:52.272, 26.64 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:53.309, 34.19 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:07:53.313, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:54.350, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:07:54.354, 26.64 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:55.390, 75.76 W, 100 %, 1227 MiB, 16384 MiB
2025/01/10 17:07:55.394, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:56.430, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:07:56.433, 26.64 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:57.469, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:07:57.473, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:58.509, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:07:58.512, 26.64 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:59.550, 34.44 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:07:59.553, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:08:00.588, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:08:00.591, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:08:01.628, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:08:01.631, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:08:02.668, 87.86 W, 52 %, 1251 MiB, 16384 MiB
2025/01/10 17:08:02.672, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:08:03.708, 34.22 W, 0 %, 1201 MiB, 16384 MiB
2025/01/10 17:08:03.711, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:08:04.746, 34.19 W, 0 %, 1201 MiB, 16384 MiB
2025/01/10 17:08:04.749, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:08:05.784, 34.19 W, 0 %, 1201 MiB, 16384 MiB
2025/01/10 17:08:05.788, 26.62 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:08:06.826, 83.58 W, 0 %, 1253 MiB, 16384 MiB
2025/01/10 17:08:06.830, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:08:07.864, 34.46 W, 0 %, 1201 MiB, 16384 MiB
