2025/01/10 19:24:41.028, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:41.032, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:42.070, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:42.073, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:43.109, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:43.113, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:44.149, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:44.152, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:45.188, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:45.191, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:46.228, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:46.231, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:47.267, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:47.270, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:48.307, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:48.310, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:49.349, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:49.352, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:50.388, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:50.391, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:51.428, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:51.432, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:52.468, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:52.472, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:53.506, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:53.510, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:54.546, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:54.549, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:55.588, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:55.591, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:56.626, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:56.629, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:57.666, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:57.669, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 19:24:58.705, 34.22 W, 20 %, 1195 MiB, 16384 MiB
2025/01/10 19:24:58.708, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:24:59.744, 34.22 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:24:59.749, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:00.785, 34.22 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:25:00.791, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:01.827, 30.35 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:25:01.832, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:02.867, 30.35 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:25:02.872, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:03.907, 30.33 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:25:03.911, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:04.947, 30.33 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:25:04.951, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:05.987, 30.33 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:25:05.990, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:07.026, 73.58 W, 0 %, 1247 MiB, 16384 MiB
2025/01/10 19:25:07.030, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:08.066, 34.22 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:25:08.071, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:09.106, 34.22 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:25:09.110, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:10.147, 34.22 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:25:10.150, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:11.184, 34.22 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:25:11.189, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:12.225, 34.19 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:25:12.228, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:13.263, 34.22 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:25:13.268, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:14.304, 34.19 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 19:25:14.307, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:15.344, 93.53 W, 0 %, 1247 MiB, 16384 MiB
2025/01/10 19:25:15.348, 26.84 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:16.385, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:16.389, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:17.426, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:17.429, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:18.464, 34.19 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:18.467, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:19.505, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:19.508, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:20.543, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:20.546, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:21.582, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:21.585, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:22.621, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:22.627, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:23.663, 33.97 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:23.666, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:24.699, 34.46 W, 55 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:24.703, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:25.738, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:25.741, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:26.776, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:26.780, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:27.814, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:27.817, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:28.854, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:28.857, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:29.895, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:29.898, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:30.935, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:30.938, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:31.974, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:31.978, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:33.014, 93.83 W, 1 %, 1249 MiB, 16384 MiB
2025/01/10 19:25:33.018, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:34.055, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:34.058, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:35.095, 34.46 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:35.099, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:36.135, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:36.139, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:37.176, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:37.180, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:38.220, 34.46 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:38.223, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:39.259, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:39.263, 27.13 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:40.299, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:40.303, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:41.336, 34.46 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:41.339, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:42.377, 91.90 W, 43 %, 1249 MiB, 16384 MiB
2025/01/10 19:25:42.381, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:43.417, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:43.420, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:44.458, 34.46 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:44.461, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:45.497, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:45.500, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:46.535, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:46.538, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:47.574, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:47.579, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:48.615, 30.59 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:48.621, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:49.656, 30.59 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:49.661, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:50.696, 30.35 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 19:25:50.700, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:51.736, 77.60 W, 2 %, 1249 MiB, 16384 MiB
2025/01/10 19:25:51.740, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:52.775, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:25:52.779, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:53.814, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:25:53.818, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:54.853, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:25:54.858, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:55.891, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:25:55.897, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:56.931, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:25:56.936, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:57.971, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:25:57.974, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:25:59.011, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:25:59.014, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:00.049, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:00.053, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:01.087, 34.70 W, 39 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:01.091, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:02.126, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:02.129, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:03.164, 34.44 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:03.167, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:04.204, 34.44 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:04.207, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:05.242, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:05.246, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:06.281, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:06.285, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:07.320, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:07.325, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:08.359, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:08.364, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:09.399, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:09.403, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:10.439, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:10.443, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:11.480, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:11.483, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:12.521, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:12.524, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:13.562, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:13.565, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:14.602, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:14.605, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:15.640, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:15.643, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:16.679, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:16.682, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:17.718, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:17.721, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 19:26:18.758, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 19:26:18.761, 26.88 W, 0 %, 7 MiB, 16384 MiB
