2025/01/09 19:56:12.284, 28.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:56:13.316, 27.99 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:56:14.346, 28.23 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:56:15.376, 28.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:56:16.406, 28.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:56:17.435, 28.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:56:18.465, 28.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:56:19.496, 28.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:56:20.526, 28.23 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:56:21.556, 28.23 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:56:22.588, 33.86 W, 1 %, 269 MiB, 16384 MiB
2025/01/09 19:56:23.618, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:24.648, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:25.677, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:26.710, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:27.740, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:28.772, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:29.803, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:30.833, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:31.863, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:32.894, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:33.923, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:34.952, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:35.981, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:37.010, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:38.041, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:39.070, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:40.099, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:41.132, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:42.163, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:43.194, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:44.223, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:45.253, 33.86 W, 0 %, 269 MiB, 16384 MiB
2025/01/09 19:56:46.282, 33.86 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:56:47.311, 33.86 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:56:48.341, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:56:49.371, 33.86 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:56:50.400, 33.86 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:56:51.429, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:56:52.459, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:56:53.488, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:56:54.518, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:56:55.548, 34.11 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:56:56.581, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:56:57.613, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:56:58.646, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:56:59.678, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:00.709, 33.86 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:01.738, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:02.768, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:03.799, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:04.832, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:05.862, 33.86 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:06.892, 34.11 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:07.920, 34.11 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:08.954, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:09.987, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:11.017, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:12.051, 34.11 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:13.083, 34.11 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:14.112, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:15.143, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:16.175, 34.10 W, 0 %, 293 MiB, 16384 MiB
2025/01/09 19:57:17.205, 34.11 W, 0 %, 293 MiB, 16384 MiB
