Memory Usage: 154.926 MB, CPU Usage: 99.00 %, Power Usage: 56.73349700000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 103.00 %, Power Usage: 114.71900500000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 123.76 %, Power Usage: 114.74738700000000000000 W
Memory Usage: 160.906 MB, CPU Usage: 104.00 %, Power Usage: 109.61611300000000000000 W
Memory Usage: 159.277 MB, CPU Usage: 103.00 %, Power Usage: 112.59706300000000000000 W
Memory Usage: 161.152 MB, CPU Usage: 180.00 %, Power Usage: 116.65064200000000000000 W
Memory Usage: 160.609 MB, CPU Usage: 114.00 %, Power Usage: 112.32405300000000000000 W
Memory Usage: 160.574 MB, CPU Usage: 103.00 %, Power Usage: 110.01882200000000000000 W
Memory Usage: 169.324 MB, CPU Usage: 102.00 %, Power Usage: 111.04262400000000000000 W
Memory Usage: 160.988 MB, CPU Usage: 149.00 %, Power Usage: 112.98280400000000000000 W
Memory Usage: 161.195 MB, CPU Usage: 102.00 %, Power Usage: 112.35768400000000000000 W
Memory Usage: 162.738 MB, CPU Usage: 145.00 %, Power Usage: 117.32898400000000000000 W
Memory Usage: 161.566 MB, CPU Usage: 171.00 %, Power Usage: 113.77741800000000000000 W
Memory Usage: 161.676 MB, CPU Usage: 100.99 %, Power Usage: 111.50624600000000000000 W
Memory Usage: 161.625 MB, CPU Usage: 102.00 %, Power Usage: 119.33386200000000000000 W
Memory Usage: 164.438 MB, CPU Usage: 178.00 %, Power Usage: 120.18493300000000000000 W
Memory Usage: 161.738 MB, CPU Usage: 141.00 %, Power Usage: 116.53772700000000000000 W
Memory Usage: 161.695 MB, CPU Usage: 103.00 %, Power Usage: 116.73114600000000000000 W
Memory Usage: 167.426 MB, CPU Usage: 121.00 %, Power Usage: 119.27209500000000000000 W
Memory Usage: 167.438 MB, CPU Usage: 184.00 %, Power Usage: 122.03167100000000000000 W
Memory Usage: 162.266 MB, CPU Usage: 157.00 %, Power Usage: 116.03662900000000000000 W
Memory Usage: 162.262 MB, CPU Usage: 103.00 %, Power Usage: 114.56403700000000000000 W
Memory Usage: 166.027 MB, CPU Usage: 113.00 %, Power Usage: 120.12200700000000000000 W
Memory Usage: 170.695 MB, CPU Usage: 194.00 %, Power Usage: 121.02715600000000000000 W
Memory Usage: 162.246 MB, CPU Usage: 153.47 %, Power Usage: 117.84448600000000000000 W
Memory Usage: 162.023 MB, CPU Usage: 102.00 %, Power Usage: 119.04907300000000000000 W
Memory Usage: 172.016 MB, CPU Usage: 167.00 %, Power Usage: 121.93755400000000000000 W
Memory Usage: 164.312 MB, CPU Usage: 196.00 %, Power Usage: 120.90905300000000000000 W
Memory Usage: 162.176 MB, CPU Usage: 120.00 %, Power Usage: 110.29110000000000000000 W
Memory Usage: 183.113 MB, CPU Usage: 128.00 %, Power Usage: 121.40618200000000000000 W
Memory Usage: 170.957 MB, CPU Usage: 196.00 %, Power Usage: 124.59996200000000000000 W
Memory Usage: 162.184 MB, CPU Usage: 171.00 %, Power Usage: 117.63153600000000000000 W
Memory Usage: 162.035 MB, CPU Usage: 110.00 %, Power Usage: 115.22523000000000000000 W
Memory Usage: 162.395 MB, CPU Usage: 148.00 %, Power Usage: 123.14769400000000000000 W
Memory Usage: 172.664 MB, CPU Usage: 182.00 %, Power Usage: 121.77276000000000000000 W
Memory Usage: 162.426 MB, CPU Usage: 154.00 %, Power Usage: 119.70391700000000000000 W
Memory Usage: 162.445 MB, CPU Usage: 102.00 %, Power Usage: 118.54339800000000000000 W
Memory Usage: 175.957 MB, CPU Usage: 160.00 %, Power Usage: 121.84252200000000000000 W
Memory Usage: 165.258 MB, CPU Usage: 196.00 %, Power Usage: 116.50061700000000000000 W
Memory Usage: 162.582 MB, CPU Usage: 105.00 %, Power Usage: 112.77015900000000000000 W
Memory Usage: 166.695 MB, CPU Usage: 121.00 %, Power Usage: 117.02399200000000000000 W
Memory Usage: 162.613 MB, CPU Usage: 198.00 %, Power Usage: 116.39972700000000000000 W
Memory Usage: 162.488 MB, CPU Usage: 113.00 %, Power Usage: 116.88458800000000000000 W
Memory Usage: 168.102 MB, CPU Usage: 109.00 %, Power Usage: 120.25744400000000000000 W
Memory Usage: 167.203 MB, CPU Usage: 194.00 %, Power Usage: 119.93054000000000000000 W
Memory Usage: 162.551 MB, CPU Usage: 119.00 %, Power Usage: 114.43812200000000000000 W
Memory Usage: 165.395 MB, CPU Usage: 124.00 %, Power Usage: 123.23204600000000000000 W
Memory Usage: 167.559 MB, CPU Usage: 196.00 %, Power Usage: 118.13025200000000000000 W
Memory Usage: 162.465 MB, CPU Usage: 124.00 %, Power Usage: 117.01074800000000000000 W
Memory Usage: 172.078 MB, CPU Usage: 111.00 %, Power Usage: 120.43121000000000000000 W
Memory Usage: 167.414 MB, CPU Usage: 185.00 %, Power Usage: 118.54083300000000000000 W
Memory Usage: 162.754 MB, CPU Usage: 120.79 %, Power Usage: 113.06257700000000000000 W
Memory Usage: 184.039 MB, CPU Usage: 160.00 %, Power Usage: 125.02684100000000000000 W
Memory Usage: 166.641 MB, CPU Usage: 196.00 %, Power Usage: 119.79840000000000000000 W
Memory Usage: 162.945 MB, CPU Usage: 121.00 %, Power Usage: 112.56050200000000000000 W
Memory Usage: 162.789 MB, CPU Usage: 102.00 %, Power Usage: 117.08466200000000000000 W
Memory Usage: 169.039 MB, CPU Usage: 176.00 %, Power Usage: 118.22406300000000000000 W
Memory Usage: 163.113 MB, CPU Usage: 122.00 %, Power Usage: 115.38666700000000000000 W
Memory Usage: 163.91 MB, CPU Usage: 134.00 %, Power Usage: 121.52117300000000000000 W
Memory Usage: 172.414 MB, CPU Usage: 177.00 %, Power Usage: 119.53869600000000000000 W
Memory Usage: 163.043 MB, CPU Usage: 136.00 %, Power Usage: 112.93367000000000000000 W
Memory Usage: 163.52 MB, CPU Usage: 106.00 %, Power Usage: 118.40246800000000000000 W
Memory Usage: 173.207 MB, CPU Usage: 194.00 %, Power Usage: 116.95294700000000000000 W
Memory Usage: 163.676 MB, CPU Usage: 137.00 %, Power Usage: 116.67231000000000000000 W
Memory Usage: 163.699 MB, CPU Usage: 104.00 %, Power Usage: 113.96223300000000000000 W
Memory Usage: 164.926 MB, CPU Usage: 124.00 %, Power Usage: 114.73658300000000000000 W
Memory Usage: 163.289 MB, CPU Usage: 164.00 %, Power Usage: 115.29444300000000000000 W
Memory Usage: 163.305 MB, CPU Usage: 102.00 %, Power Usage: 113.35285900000000000000 W
Memory Usage: 169.328 MB, CPU Usage: 165.00 %, Power Usage: 121.56371600000000000000 W
Memory Usage: 163.418 MB, CPU Usage: 171.00 %, Power Usage: 113.86488100000000000000 W
Memory Usage: 163.297 MB, CPU Usage: 103.00 %, Power Usage: 113.91090200000000000000 W
Memory Usage: 169.051 MB, CPU Usage: 185.15 %, Power Usage: 122.22631100000000000000 W
Memory Usage: 163.527 MB, CPU Usage: 154.00 %, Power Usage: 114.87940600000000000000 W
Memory Usage: 163.477 MB, CPU Usage: 104.00 %, Power Usage: 120.09948500000000000000 W
Memory Usage: 170.039 MB, CPU Usage: 195.00 %, Power Usage: 122.59075000000000000000 W
Memory Usage: 163.887 MB, CPU Usage: 118.81 %, Power Usage: 113.29652400000000000000 W
Memory Usage: 164.316 MB, CPU Usage: 103.00 %, Power Usage: 122.04766100000000000000 W
Memory Usage: 164.941 MB, CPU Usage: 195.00 %, Power Usage: 120.60009400000000000000 W
Memory Usage: 163.812 MB, CPU Usage: 104.00 %, Power Usage: 122.36974300000000000000 W
Memory Usage: 164.176 MB, CPU Usage: 154.00 %, Power Usage: 126.97672600000000000000 W
Memory Usage: 163.68 MB, CPU Usage: 165.00 %, Power Usage: 114.06593200000000000000 W
Memory Usage: 163.68 MB, CPU Usage: 102.00 %, Power Usage: 114.57197100000000000000 W
Memory Usage: 168.406 MB, CPU Usage: 154.00 %, Power Usage: 120.24499300000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 193.00 %, Power Usage: 119.29693600000000000000 W
Memory Usage: 163.758 MB, CPU Usage: 134.00 %, Power Usage: 113.33180200000000000000 W
Memory Usage: 167.324 MB, CPU Usage: 126.00 %, Power Usage: 120.82653400000000000000 W
Memory Usage: 164.695 MB, CPU Usage: 178.00 %, Power Usage: 117.48315800000000000000 W
Memory Usage: 164.215 MB, CPU Usage: 178.00 %, Power Usage: 113.70600900000000000000 W
Memory Usage: 164.254 MB, CPU Usage: 103.00 %, Power Usage: 115.81037200000000000000 W
Memory Usage: 164.211 MB, CPU Usage: 102.00 %, Power Usage: 110.90035100000000000000 W
Memory Usage: 171.086 MB, CPU Usage: 178.00 %, Power Usage: 115.81549900000000000000 W
Memory Usage: 164.273 MB, CPU Usage: 155.00 %, Power Usage: 111.88368600000000000000 W
Memory Usage: 181.16 MB, CPU Usage: 171.00 %, Power Usage: 123.21892200000000000000 W
Memory Usage: 176.246 MB, CPU Usage: 136.00 %, Power Usage: 119.84857100000000000000 W
Memory Usage: 164.73 MB, CPU Usage: 190.00 %, Power Usage: 114.61939600000000000000 W
Memory Usage: 164.754 MB, CPU Usage: 121.00 %, Power Usage: 111.12831700000000000000 W
Memory Usage: 170.184 MB, CPU Usage: 107.00 %, Power Usage: 116.93164600000000000000 W
Memory Usage: 175.621 MB, CPU Usage: 155.00 %, Power Usage: 115.95295100000000000000 W
Memory Usage: 164.766 MB, CPU Usage: 164.00 %, Power Usage: 113.64277600000000000000 W
Memory Usage: 165.129 MB, CPU Usage: 105.00 %, Power Usage: 114.01350100000000000000 W
Memory Usage: 171.656 MB, CPU Usage: 196.00 %, Power Usage: 121.52996300000000000000 W
Memory Usage: 166.867 MB, CPU Usage: 190.00 %, Power Usage: 119.04889000000000000000 W
Memory Usage: 164.75 MB, CPU Usage: 134.00 %, Power Usage: 111.41920900000000000000 W
Memory Usage: 164.836 MB, CPU Usage: 105.00 %, Power Usage: 113.70246700000000000000 W
Memory Usage: 178.586 MB, CPU Usage: 188.00 %, Power Usage: 119.88293300000000000000 W
Memory Usage: 165.082 MB, CPU Usage: 178.00 %, Power Usage: 114.67524300000000000000 W
Memory Usage: 165.141 MB, CPU Usage: 103.00 %, Power Usage: 114.81989700000000000000 W
Memory Usage: 165.113 MB, CPU Usage: 102.00 %, Power Usage: 114.88343400000000000000 W
Memory Usage: 171.988 MB, CPU Usage: 193.00 %, Power Usage: 117.69324200000000000000 W
Memory Usage: 165.266 MB, CPU Usage: 145.00 %, Power Usage: 115.32813500000000000000 W
Memory Usage: 165.336 MB, CPU Usage: 102.00 %, Power Usage: 115.10297600000000000000 W
Memory Usage: 177.516 MB, CPU Usage: 162.00 %, Power Usage: 119.46655300000000000000 W
Memory Usage: 165.387 MB, CPU Usage: 193.00 %, Power Usage: 117.62268400000000000000 W
Memory Usage: 165.523 MB, CPU Usage: 123.00 %, Power Usage: 113.67616100000000000000 W
Memory Usage: 166.402 MB, CPU Usage: 125.00 %, Power Usage: 120.66192300000000000000 W
Memory Usage: 179.832 MB, CPU Usage: 186.00 %, Power Usage: 119.13458300000000000000 W
Memory Usage: 165.863 MB, CPU Usage: 166.00 %, Power Usage: 112.70057800000000000000 W
Memory Usage: 165.77 MB, CPU Usage: 103.00 %, Power Usage: 112.98603900000000000000 W
Memory Usage: 180.195 MB, CPU Usage: 140.00 %, Power Usage: 117.46942600000000000000 W
Memory Usage: 166.668 MB, CPU Usage: 182.00 %, Power Usage: 117.90045500000000000000 W
Memory Usage: 166 MB, CPU Usage: 116.00 %, Power Usage: 115.67109000000000000000 W
Memory Usage: 168.52 MB, CPU Usage: 165.00 %, Power Usage: 122.43840700000000000000 W
Memory Usage: 177.387 MB, CPU Usage: 196.00 %, Power Usage: 119.84912000000000000000 W
Memory Usage: 165.992 MB, CPU Usage: 153.00 %, Power Usage: 114.39661900000000000000 W
Memory Usage: 168.625 MB, CPU Usage: 106.00 %, Power Usage: 118.57440300000000000000 W
Memory Usage: 168.949 MB, CPU Usage: 0.00 %, Power Usage: 108.50399500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.48665200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.59468300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.84804100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.56923500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.66853800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.07106400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.60408200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.39253600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.64143600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.75599800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.25093500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.50258200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.63814000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.95753600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 65.53974900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.63393200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.40828400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.19002700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.14430900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.99007000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.13374700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.08522700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.02352000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.44014800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.85207300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.97200600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.46016500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.53249400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.57600900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.97078600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.56429200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.53652300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.69033000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.57766000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.50753000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.16475500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.79311100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.30037800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 61.15377400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.48372600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.10591800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.41829500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.98622800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.17690200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.39552800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.10707700000000000000 W
