Memory Usage: 1452.69 MB, CPU Usage: 235.00 %, Power Usage: 112.35084700000000000000 W
Memory Usage: 1420.58 MB, CPU Usage: 166.00 %, Power Usage: 110.39803300000000000000 W
Memory Usage: 1409.57 MB, CPU Usage: 83.00 %, Power Usage: 76.47209400000000000000 W
Memory Usage: 1431.87 MB, CPU Usage: 236.00 %, Power Usage: 112.59419400000000000000 W
Memory Usage: 1423.18 MB, CPU Usage: 211.00 %, Power Usage: 112.83381800000000000000 W
Memory Usage: 1408.83 MB, CPU Usage: 50.00 %, Power Usage: 86.07723300000000000000 W
Memory Usage: 1649.21 MB, CPU Usage: 226.73 %, Power Usage: 107.46395900000000000000 W
Memory Usage: 1437.9 MB, CPU Usage: 219.00 %, Power Usage: 110.51467000000000000000 W
Memory Usage: 1409.67 MB, CPU Usage: 46.53 %, Power Usage: 95.54052700000000000000 W
Memory Usage: 1439.08 MB, CPU Usage: 92.00 %, Power Usage: 89.42085300000000000000 W
Memory Usage: 1411.67 MB, CPU Usage: 230.00 %, Power Usage: 115.07783000000000000000 W
Memory Usage: 1410.79 MB, CPU Usage: 206.00 %, Power Usage: 106.82846200000000000000 W
Memory Usage: 1410.8 MB, CPU Usage: 96.00 %, Power Usage: 79.62961800000000000000 W
Memory Usage: 1465.94 MB, CPU Usage: 241.00 %, Power Usage: 111.60164300000000000000 W
Memory Usage: 1419.7 MB, CPU Usage: 208.00 %, Power Usage: 110.49874100000000000000 W
Memory Usage: 1412.04 MB, CPU Usage: 46.00 %, Power Usage: 87.65285100000000000000 W
Memory Usage: 1652.34 MB, CPU Usage: 168.00 %, Power Usage: 104.65695900000000000000 W
Memory Usage: 1443.89 MB, CPU Usage: 214.00 %, Power Usage: 113.19068900000000000000 W
Memory Usage: 1412.46 MB, CPU Usage: 99.00 %, Power Usage: 94.38153300000000000000 W
Memory Usage: 1645.53 MB, CPU Usage: 111.00 %, Power Usage: 95.71539300000000000000 W
Memory Usage: 1411.37 MB, CPU Usage: 249.00 %, Power Usage: 112.77919100000000000000 W
Memory Usage: 1415.44 MB, CPU Usage: 205.00 %, Power Usage: 110.94118400000000000000 W
Memory Usage: 1412.17 MB, CPU Usage: 87.00 %, Power Usage: 78.05741700000000000000 W
Memory Usage: 1427.73 MB, CPU Usage: 227.72 %, Power Usage: 112.21187100000000000000 W
Memory Usage: 1414.34 MB, CPU Usage: 203.00 %, Power Usage: 113.69972000000000000000 W
Memory Usage: 1411.64 MB, CPU Usage: 55.00 %, Power Usage: 87.24727500000000000000 W
Memory Usage: 1656.12 MB, CPU Usage: 225.00 %, Power Usage: 107.57302800000000000000 W
Memory Usage: 1460.21 MB, CPU Usage: 218.00 %, Power Usage: 109.52297400000000000000 W
Memory Usage: 1444.27 MB, CPU Usage: 158.00 %, Power Usage: 103.52665200000000000000 W
Memory Usage: 1437.15 MB, CPU Usage: 101.00 %, Power Usage: 86.94740800000000000000 W
Memory Usage: 1427.77 MB, CPU Usage: 228.71 %, Power Usage: 113.87446500000000000000 W
Memory Usage: 1412.01 MB, CPU Usage: 190.00 %, Power Usage: 113.37953100000000000000 W
Memory Usage: 1411.96 MB, CPU Usage: 106.00 %, Power Usage: 86.15285600000000000000 W
Memory Usage: 1410.31 MB, CPU Usage: 240.00 %, Power Usage: 110.81642800000000000000 W
Memory Usage: 1435.55 MB, CPU Usage: 212.00 %, Power Usage: 110.37776800000000000000 W
Memory Usage: 1411.31 MB, CPU Usage: 46.00 %, Power Usage: 91.68354300000000000000 W
Memory Usage: 1653.88 MB, CPU Usage: 195.00 %, Power Usage: 106.68850800000000000000 W
Memory Usage: 1429.26 MB, CPU Usage: 204.00 %, Power Usage: 113.96626100000000000000 W
Memory Usage: 1411.57 MB, CPU Usage: 45.00 %, Power Usage: 91.01655200000000000000 W
Memory Usage: 1652.49 MB, CPU Usage: 174.00 %, Power Usage: 102.65275300000000000000 W
Memory Usage: 1411.77 MB, CPU Usage: 241.00 %, Power Usage: 114.98139500000000000000 W
Memory Usage: 1418.25 MB, CPU Usage: 212.00 %, Power Usage: 114.74482400000000000000 W
Memory Usage: 1412.48 MB, CPU Usage: 103.00 %, Power Usage: 98.28246300000000000000 W
Memory Usage: 1447.15 MB, CPU Usage: 224.00 %, Power Usage: 114.17927300000000000000 W
Memory Usage: 1437.61 MB, CPU Usage: 183.00 %, Power Usage: 108.03957900000000000000 W
Memory Usage: 1437.36 MB, CPU Usage: 95.00 %, Power Usage: 82.98294100000000000000 W
