2025/01/10 23:13:31.241, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 23:13:31.244, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 23:13:32.283, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 23:13:32.286, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 23:13:33.326, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 23:13:33.333, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 23:13:34.369, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 23:13:34.373, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 23:13:35.413, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 23:13:35.417, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 23:13:36.453, 30.59 W, 1 %, 281 MiB, 16384 MiB
2025/01/10 23:13:36.457, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 23:13:37.492, 33.97 W, 31 %, 2815 MiB, 16384 MiB
2025/01/10 23:13:37.496, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 23:13:38.531, 33.73 W, 0 %, 2815 MiB, 16384 MiB
2025/01/10 23:13:38.534, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 23:13:39.569, 33.97 W, 0 %, 2815 MiB, 16384 MiB
2025/01/10 23:13:39.572, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 23:13:40.608, 30.59 W, 0 %, 2815 MiB, 16384 MiB
2025/01/10 23:13:40.611, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 23:13:41.647, 30.59 W, 0 %, 2815 MiB, 16384 MiB
2025/01/10 23:13:41.650, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 23:13:42.686, 30.59 W, 0 %, 2815 MiB, 16384 MiB
2025/01/10 23:13:42.689, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 23:13:43.725, 33.24 W, 78 %, 2815 MiB, 16384 MiB
2025/01/10 23:13:43.729, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 23:13:44.765, 33.97 W, 0 %, 2815 MiB, 16384 MiB
2025/01/10 23:13:44.769, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 23:13:45.806, 34.22 W, 0 %, 2815 MiB, 16384 MiB
2025/01/10 23:13:45.810, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 23:13:46.843, 33.97 W, 0 %, 2815 MiB, 16384 MiB
