Memory Usage: 167.043 MB, CPU Usage: 100.00 %, Power Usage: 58.15994700000000000000 W
Memory Usage: 260.535 MB, CPU Usage: 98.00 %, Power Usage: 109.25020800000000000000 W
Memory Usage: 261.16 MB, CPU Usage: 97.00 %, Power Usage: 108.73446400000000000000 W
Memory Usage: 261.16 MB, CPU Usage: 98.00 %, Power Usage: 109.14559400000000000000 W
Memory Usage: 261.473 MB, CPU Usage: 97.00 %, Power Usage: 111.25606300000000000000 W
Memory Usage: 262.098 MB, CPU Usage: 98.00 %, Power Usage: 111.90645200000000000000 W
Memory Usage: 262.723 MB, CPU Usage: 97.00 %, Power Usage: 112.07966900000000000000 W
Memory Usage: 262.723 MB, CPU Usage: 98.00 %, Power Usage: 108.84652300000000000000 W
Memory Usage: 263.348 MB, CPU Usage: 90.00 %, Power Usage: 107.81808300000000000000 W
Memory Usage: 263.348 MB, CPU Usage: 97.00 %, Power Usage: 109.48354500000000000000 W
Memory Usage: 263.973 MB, CPU Usage: 98.00 %, Power Usage: 109.57448800000000000000 W
Memory Usage: 263.973 MB, CPU Usage: 99.00 %, Power Usage: 108.48904100000000000000 W
Memory Usage: 263.973 MB, CPU Usage: 99.00 %, Power Usage: 111.73744600000000000000 W
Memory Usage: 264.598 MB, CPU Usage: 97.03 %, Power Usage: 111.88020700000000000000 W
Memory Usage: 265.535 MB, CPU Usage: 99.00 %, Power Usage: 107.53591900000000000000 W
Memory Usage: 265.535 MB, CPU Usage: 98.00 %, Power Usage: 109.20638500000000000000 W
Memory Usage: 265.848 MB, CPU Usage: 88.00 %, Power Usage: 106.98654200000000000000 W
Memory Usage: 266.16 MB, CPU Usage: 98.00 %, Power Usage: 108.97488000000000000000 W
Memory Usage: 828.348 MB, CPU Usage: 198.00 %, Power Usage: 116.83136600000000000000 W
Memory Usage: 2374.29 MB, CPU Usage: 199.00 %, Power Usage: 127.07688400000000000000 W
Memory Usage: 3800.54 MB, CPU Usage: 189.00 %, Power Usage: 129.65134100000000000000 W
Memory Usage: 4491.79 MB, CPU Usage: 101.00 %, Power Usage: 115.89283100000000000000 W
Memory Usage: 264 MB, CPU Usage: 97.00 %, Power Usage: 113.44435000000000000000 W
Memory Usage: 264 MB, CPU Usage: 97.00 %, Power Usage: 109.75924100000000000000 W
Memory Usage: 264.312 MB, CPU Usage: 98.00 %, Power Usage: 109.44899900000000000000 W
Memory Usage: 264.312 MB, CPU Usage: 88.00 %, Power Usage: 107.52426100000000000000 W
Memory Usage: 264.312 MB, CPU Usage: 97.00 %, Power Usage: 103.21476300000000000000 W
Memory Usage: 264.312 MB, CPU Usage: 97.00 %, Power Usage: 109.30727600000000000000 W
Memory Usage: 264.625 MB, CPU Usage: 97.00 %, Power Usage: 109.59194400000000000000 W
Memory Usage: 264.938 MB, CPU Usage: 97.00 %, Power Usage: 108.90542200000000000000 W
Memory Usage: 264.938 MB, CPU Usage: 97.00 %, Power Usage: 109.33425400000000000000 W
Memory Usage: 265.25 MB, CPU Usage: 98.00 %, Power Usage: 109.44661900000000000000 W
Memory Usage: 265.562 MB, CPU Usage: 98.00 %, Power Usage: 109.80281900000000000000 W
Memory Usage: 265.875 MB, CPU Usage: 88.00 %, Power Usage: 107.22750900000000000000 W
Memory Usage: 265.875 MB, CPU Usage: 99.00 %, Power Usage: 109.21328200000000000000 W
Memory Usage: 266.188 MB, CPU Usage: 97.00 %, Power Usage: 109.21017000000000000000 W
Memory Usage: 266.5 MB, CPU Usage: 103.00 %, Power Usage: 108.76119600000000000000 W
Memory Usage: 943.688 MB, CPU Usage: 200.00 %, Power Usage: 117.96625000000000000000 W
Memory Usage: 2336.19 MB, CPU Usage: 195.00 %, Power Usage: 126.58750600000000000000 W
Memory Usage: 3467.44 MB, CPU Usage: 195.05 %, Power Usage: 130.78982600000000000000 W
Memory Usage: 4492.75 MB, CPU Usage: 100.00 %, Power Usage: 113.74397200000000000000 W
Memory Usage: 264.402 MB, CPU Usage: 97.00 %, Power Usage: 108.32259800000000000000 W
Memory Usage: 264.402 MB, CPU Usage: 88.00 %, Power Usage: 112.45045700000000000000 W
Memory Usage: 264.715 MB, CPU Usage: 98.00 %, Power Usage: 111.51375300000000000000 W
Memory Usage: 265.027 MB, CPU Usage: 98.00 %, Power Usage: 111.80684300000000000000 W
Memory Usage: 265.34 MB, CPU Usage: 97.00 %, Power Usage: 111.64058400000000000000 W
Memory Usage: 265.34 MB, CPU Usage: 97.03 %, Power Usage: 111.82222300000000000000 W
Memory Usage: 265.652 MB, CPU Usage: 99.00 %, Power Usage: 108.79238500000000000000 W
Memory Usage: 265.965 MB, CPU Usage: 98.00 %, Power Usage: 109.95156100000000000000 W
Memory Usage: 266.277 MB, CPU Usage: 99.00 %, Power Usage: 109.73928300000000000000 W
Memory Usage: 266.277 MB, CPU Usage: 93.07 %, Power Usage: 104.32144900000000000000 W
Memory Usage: 266.277 MB, CPU Usage: 98.00 %, Power Usage: 108.55691100000000000000 W
Memory Usage: 266.59 MB, CPU Usage: 97.00 %, Power Usage: 109.64577800000000000000 W
Memory Usage: 266.59 MB, CPU Usage: 96.00 %, Power Usage: 109.68593700000000000000 W
Memory Usage: 266.902 MB, CPU Usage: 97.00 %, Power Usage: 109.63851300000000000000 W
Memory Usage: 863.152 MB, CPU Usage: 198.00 %, Power Usage: 122.33538000000000000000 W
Memory Usage: 2263.46 MB, CPU Usage: 197.00 %, Power Usage: 118.94745000000000000000 W
Memory Usage: 3525.34 MB, CPU Usage: 192.00 %, Power Usage: 121.49065600000000000000 W
Memory Usage: 4493.78 MB, CPU Usage: 88.00 %, Power Usage: 108.02664000000000000000 W
Memory Usage: 3789.17 MB, CPU Usage: 100.00 %, Power Usage: 112.41633800000000000000 W
Memory Usage: 263.871 MB, CPU Usage: 93.00 %, Power Usage: 114.30982700000000000000 W
Memory Usage: 263.871 MB, CPU Usage: 98.00 %, Power Usage: 109.18441200000000000000 W
Memory Usage: 264.184 MB, CPU Usage: 97.00 %, Power Usage: 109.06954600000000000000 W
Memory Usage: 264.496 MB, CPU Usage: 98.00 %, Power Usage: 109.72750100000000000000 W
Memory Usage: 264.496 MB, CPU Usage: 98.00 %, Power Usage: 109.86361100000000000000 W
Memory Usage: 264.809 MB, CPU Usage: 99.00 %, Power Usage: 109.67159500000000000000 W
Memory Usage: 265.121 MB, CPU Usage: 97.00 %, Power Usage: 109.39321300000000000000 W
Memory Usage: 265.434 MB, CPU Usage: 96.00 %, Power Usage: 109.42684300000000000000 W
Memory Usage: 265.434 MB, CPU Usage: 98.00 %, Power Usage: 107.03781300000000000000 W
