Memory Usage: 147.594 MB, CPU Usage: 238.00 %, Power Usage: 59.62881500000000000000 W
Memory Usage: 157.594 MB, CPU Usage: 253.00 %, Power Usage: 118.70373600000000000000 W
Memory Usage: 155.973 MB, CPU Usage: 268.00 %, Power Usage: 123.25664300000000000000 W
Memory Usage: 158.16 MB, CPU Usage: 264.00 %, Power Usage: 123.14207900000000000000 W
Memory Usage: 158.473 MB, CPU Usage: 269.00 %, Power Usage: 120.43340800000000000000 W
Memory Usage: 148.73 MB, CPU Usage: 264.00 %, Power Usage: 122.60863400000000000000 W
Memory Usage: 158.918 MB, CPU Usage: 253.00 %, Power Usage: 125.27159100000000000000 W
Memory Usage: 158.793 MB, CPU Usage: 255.00 %, Power Usage: 122.19146000000000000000 W
Memory Usage: 158.859 MB, CPU Usage: 260.00 %, Power Usage: 123.17119300000000000000 W
Memory Usage: 158.859 MB, CPU Usage: 276.00 %, Power Usage: 121.61248200000000000000 W
Memory Usage: 158.859 MB, CPU Usage: 255.00 %, Power Usage: 117.47998500000000000000 W
Memory Usage: 158.859 MB, CPU Usage: 241.00 %, Power Usage: 113.16224600000000000000 W
Memory Usage: 158.734 MB, CPU Usage: 267.00 %, Power Usage: 123.04076200000000000000 W
Memory Usage: 126.582 MB, CPU Usage: 267.00 %, Power Usage: 115.96704900000000000000 W
Memory Usage: 166.5 MB, CPU Usage: 261.00 %, Power Usage: 116.68213600000000000000 W
Memory Usage: 159.184 MB, CPU Usage: 206.00 %, Power Usage: 114.60309900000000000000 W
Memory Usage: 159.367 MB, CPU Usage: 240.00 %, Power Usage: 113.71449300000000000000 W
Memory Usage: 159.422 MB, CPU Usage: 202.00 %, Power Usage: 115.91205600000000000000 W
Memory Usage: 159.344 MB, CPU Usage: 189.00 %, Power Usage: 111.55519500000000000000 W
Memory Usage: 159.133 MB, CPU Usage: 205.00 %, Power Usage: 113.36457900000000000000 W
Memory Usage: 127.301 MB, CPU Usage: 175.00 %, Power Usage: 115.18763200000000000000 W
Memory Usage: 159.094 MB, CPU Usage: 231.00 %, Power Usage: 114.02027700000000000000 W
Memory Usage: 131.008 MB, CPU Usage: 224.00 %, Power Usage: 112.24800400000000000000 W
Memory Usage: 148.934 MB, CPU Usage: 262.00 %, Power Usage: 110.97225000000000000000 W
Memory Usage: 126.926 MB, CPU Usage: 269.00 %, Power Usage: 108.12655400000000000000 W
Memory Usage: 159.164 MB, CPU Usage: 232.00 %, Power Usage: 106.15701600000000000000 W
Memory Usage: 159.035 MB, CPU Usage: 148.00 %, Power Usage: 108.08370700000000000000 W
Memory Usage: 149.156 MB, CPU Usage: 128.00 %, Power Usage: 109.10451800000000000000 W
Memory Usage: 143.02 MB, CPU Usage: 244.00 %, Power Usage: 111.67397000000000000000 W
Memory Usage: 126.953 MB, CPU Usage: 267.00 %, Power Usage: 107.95284900000000000000 W
Memory Usage: 149.07 MB, CPU Usage: 177.00 %, Power Usage: 105.67282500000000000000 W
Memory Usage: 158.871 MB, CPU Usage: 115.00 %, Power Usage: 108.67977500000000000000 W
Memory Usage: 148.688 MB, CPU Usage: 232.00 %, Power Usage: 111.79488000000000000000 W
Memory Usage: 126.684 MB, CPU Usage: 257.00 %, Power Usage: 106.43698300000000000000 W
Memory Usage: 148.801 MB, CPU Usage: 126.00 %, Power Usage: 104.00156600000000000000 W
Memory Usage: 148.602 MB, CPU Usage: 179.00 %, Power Usage: 111.21407100000000000000 W
Memory Usage: 126.711 MB, CPU Usage: 258.00 %, Power Usage: 108.69631500000000000000 W
Memory Usage: 156.711 MB, CPU Usage: 132.00 %, Power Usage: 103.28013100000000000000 W
Memory Usage: 148.77 MB, CPU Usage: 170.00 %, Power Usage: 110.83516600000000000000 W
Memory Usage: 158.77 MB, CPU Usage: 263.00 %, Power Usage: 108.40017400000000000000 W
Memory Usage: 127.094 MB, CPU Usage: 123.00 %, Power Usage: 102.29990900000000000000 W
Memory Usage: 157.336 MB, CPU Usage: 155.00 %, Power Usage: 110.56026400000000000000 W
Memory Usage: 127.207 MB, CPU Usage: 265.00 %, Power Usage: 108.22927600000000000000 W
Memory Usage: 127.133 MB, CPU Usage: 115.00 %, Power Usage: 105.69565200000000000000 W
Memory Usage: 143.625 MB, CPU Usage: 218.00 %, Power Usage: 110.37722000000000000000 W
Memory Usage: 158.938 MB, CPU Usage: 182.00 %, Power Usage: 102.17045400000000000000 W
Memory Usage: 148.926 MB, CPU Usage: 129.00 %, Power Usage: 109.99300400000000000000 W
Memory Usage: 158.926 MB, CPU Usage: 267.00 %, Power Usage: 108.09048300000000000000 W
Memory Usage: 157.168 MB, CPU Usage: 106.00 %, Power Usage: 103.42869000000000000000 W
Memory Usage: 127.906 MB, CPU Usage: 263.00 %, Power Usage: 116.41248300000000000000 W
Memory Usage: 160.027 MB, CPU Usage: 119.00 %, Power Usage: 106.96365400000000000000 W
Memory Usage: 146.082 MB, CPU Usage: 199.00 %, Power Usage: 116.31244700000000000000 W
Memory Usage: 127.828 MB, CPU Usage: 118.00 %, Power Usage: 105.77530200000000000000 W
Memory Usage: 159.703 MB, CPU Usage: 237.00 %, Power Usage: 119.39953600000000000000 W
Memory Usage: 159.703 MB, CPU Usage: 113.00 %, Power Usage: 105.53232200000000000000 W
Memory Usage: 159.605 MB, CPU Usage: 186.00 %, Power Usage: 119.82061700000000000000 W
Memory Usage: 135.855 MB, CPU Usage: 161.39 %, Power Usage: 116.12140600000000000000 W
Memory Usage: 135.73 MB, CPU Usage: 142.00 %, Power Usage: 115.57239800000000000000 W
Memory Usage: 157.605 MB, CPU Usage: 206.00 %, Power Usage: 104.03257000000000000000 W
Memory Usage: 159.598 MB, CPU Usage: 106.00 %, Power Usage: 106.61459600000000000000 W
Memory Usage: 159.598 MB, CPU Usage: 249.00 %, Power Usage: 106.61429000000000000000 W
