2025/01/07 21:21:37.996, 33.86 W, 3 %, 521 MiB, 16384 MiB
2025/01/07 21:21:39.025, 33.86 W, 11 %, 537 MiB, 16384 MiB
2025/01/07 21:21:40.054, 50.26 W, 11 %, 539 MiB, 16384 MiB
2025/01/07 21:21:41.084, 36.80 W, 31 %, 513 MiB, 16384 MiB
2025/01/07 21:21:42.113, 45.61 W, 20 %, 539 MiB, 16384 MiB
2025/01/07 21:21:43.143, 37.05 W, 13 %, 569 MiB, 16384 MiB
2025/01/07 21:21:44.172, 39.96 W, 3 %, 537 MiB, 16384 MiB
2025/01/07 21:21:45.201, 34.10 W, 0 %, 535 MiB, 16384 MiB
2025/01/07 21:21:46.230, 35.09 W, 0 %, 483 MiB, 16384 MiB
2025/01/07 21:21:47.259, 35.83 W, 11 %, 535 MiB, 16384 MiB
2025/01/07 21:21:48.288, 59.78 W, 0 %, 569 MiB, 16384 MiB
2025/01/07 21:21:49.318, 33.86 W, 0 %, 483 MiB, 16384 MiB
2025/01/07 21:21:50.347, 33.87 W, 0 %, 483 MiB, 16384 MiB
2025/01/07 21:21:51.376, 33.86 W, 0 %, 483 MiB, 16384 MiB
2025/01/07 21:21:52.405, 33.86 W, 0 %, 483 MiB, 16384 MiB
2025/01/07 21:21:53.434, 33.86 W, 0 %, 483 MiB, 16384 MiB
2025/01/07 21:21:54.464, 33.86 W, 0 %, 483 MiB, 16384 MiB
2025/01/07 21:21:55.493, 33.86 W, 13 %, 537 MiB, 16384 MiB
2025/01/07 21:21:56.525, 58.04 W, 3 %, 571 MiB, 16384 MiB
2025/01/07 21:21:57.554, 33.86 W, 16 %, 483 MiB, 16384 MiB
2025/01/07 21:21:58.584, 34.10 W, 9 %, 487 MiB, 16384 MiB
2025/01/07 21:21:59.613, 37.78 W, 5 %, 537 MiB, 16384 MiB
2025/01/07 21:22:00.644, 34.36 W, 26 %, 483 MiB, 16384 MiB
2025/01/07 21:22:01.672, 51.98 W, 31 %, 543 MiB, 16384 MiB
2025/01/07 21:22:02.704, 34.84 W, 32 %, 483 MiB, 16384 MiB
2025/01/07 21:22:03.733, 34.60 W, 13 %, 491 MiB, 16384 MiB
2025/01/07 21:22:04.762, 35.33 W, 1 %, 483 MiB, 16384 MiB
2025/01/07 21:22:05.791, 40.21 W, 0 %, 513 MiB, 16384 MiB
2025/01/07 21:22:06.821, 46.58 W, 12 %, 537 MiB, 16384 MiB
2025/01/07 21:22:07.850, 52.65 W, 0 %, 559 MiB, 16384 MiB
2025/01/07 21:22:08.879, 33.86 W, 0 %, 483 MiB, 16384 MiB
2025/01/07 21:22:09.908, 33.87 W, 0 %, 483 MiB, 16384 MiB
2025/01/07 21:22:10.939, 36.07 W, 1 %, 483 MiB, 16384 MiB
2025/01/07 21:22:11.968, 39.01 W, 42 %, 859 MiB, 16384 MiB
2025/01/07 21:22:13.000, 38.76 W, 1 %, 483 MiB, 16384 MiB
2025/01/07 21:22:14.028, 38.76 W, 19 %, 483 MiB, 16384 MiB
2025/01/07 21:22:15.058, 35.33 W, 38 %, 629 MiB, 16384 MiB
2025/01/07 21:22:16.089, 50.51 W, 25 %, 563 MiB, 16384 MiB
2025/01/07 21:22:17.118, 45.11 W, 20 %, 543 MiB, 16384 MiB
2025/01/07 21:22:18.148, 34.35 W, 24 %, 561 MiB, 16384 MiB
2025/01/07 21:22:19.179, 39.72 W, 0 %, 539 MiB, 16384 MiB
2025/01/07 21:22:20.209, 39.00 W, 8 %, 485 MiB, 16384 MiB
2025/01/07 21:22:21.238, 40.21 W, 3 %, 513 MiB, 16384 MiB
2025/01/07 21:22:22.267, 39.71 W, 2 %, 547 MiB, 16384 MiB
2025/01/07 21:22:23.296, 38.74 W, 0 %, 609 MiB, 16384 MiB
2025/01/07 21:22:24.325, 39.00 W, 34 %, 669 MiB, 16384 MiB
2025/01/07 21:22:25.354, 39.01 W, 1 %, 487 MiB, 16384 MiB
