2025/01/10 15:03:03.862, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:03.865, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:04.901, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:04.905, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:05.944, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:05.947, 27.12 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:06.985, 25.27 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:06.988, 27.13 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:08.028, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:08.033, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:09.073, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:09.076, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:10.113, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:10.116, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:11.152, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:11.155, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:12.195, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:12.198, 27.13 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:13.238, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:13.241, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:14.280, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:14.284, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:15.324, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:15.330, 27.13 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:16.368, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:16.371, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:17.410, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:17.413, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:18.451, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:18.454, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:19.492, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:19.496, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:20.532, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:20.536, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:21.573, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:21.576, 26.86 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:22.616, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:22.619, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:23.658, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:23.662, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:24.699, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:24.703, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:25.740, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:25.744, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:26.781, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:26.784, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:27.824, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:27.827, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:28.867, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:28.871, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:29.909, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:29.913, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:30.950, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:30.953, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:31.991, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:31.994, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:33.034, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:33.037, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:34.077, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:34.080, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:35.122, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:35.127, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:36.166, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:36.170, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:37.207, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:37.210, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:38.248, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:38.252, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:39.289, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:39.293, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:40.327, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:40.330, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:41.364, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:41.368, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:42.402, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:42.405, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:43.440, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:43.445, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:44.480, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:44.484, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:45.518, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:45.524, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:46.559, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:46.565, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:47.600, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:03:47.603, 26.88 W, 0 %, 5 MiB, 16384 MiB
