Memory Usage: 155.863 MB, CPU Usage: 99.00 %, Power Usage: 57.31693000000000000000 W
Memory Usage: 159.301 MB, CPU Usage: 100.00 %, Power Usage: 113.42066900000000000000 W
Memory Usage: 163.051 MB, CPU Usage: 100.00 %, Power Usage: 111.91493600000000000000 W
Memory Usage: 166.176 MB, CPU Usage: 101.00 %, Power Usage: 118.85003700000000000000 W
Memory Usage: 169.613 MB, CPU Usage: 100.00 %, Power Usage: 115.08228700000000000000 W
Memory Usage: 172.738 MB, CPU Usage: 99.00 %, Power Usage: 118.69964700000000000000 W
Memory Usage: 175.551 MB, CPU Usage: 100.00 %, Power Usage: 116.27246800000000000000 W
Memory Usage: 178.676 MB, CPU Usage: 99.00 %, Power Usage: 110.35878800000000000000 W
Memory Usage: 183.051 MB, CPU Usage: 100.00 %, Power Usage: 112.92060900000000000000 W
Memory Usage: 185.863 MB, CPU Usage: 100.00 %, Power Usage: 111.33443100000000000000 W
Memory Usage: 188.988 MB, CPU Usage: 100.00 %, Power Usage: 110.83144300000000000000 W
Memory Usage: 192.113 MB, CPU Usage: 100.00 %, Power Usage: 111.60988300000000000000 W
Memory Usage: 194.926 MB, CPU Usage: 100.00 %, Power Usage: 111.91798700000000000000 W
Memory Usage: 198.051 MB, CPU Usage: 100.00 %, Power Usage: 113.93391200000000000000 W
Memory Usage: 200.863 MB, CPU Usage: 99.01 %, Power Usage: 107.55789200000000000000 W
Memory Usage: 205.238 MB, CPU Usage: 100.00 %, Power Usage: 108.10824300000000000000 W
Memory Usage: 208.676 MB, CPU Usage: 100.00 %, Power Usage: 109.31435700000000000000 W
Memory Usage: 211.801 MB, CPU Usage: 101.00 %, Power Usage: 107.68649100000000000000 W
Memory Usage: 214.613 MB, CPU Usage: 98.00 %, Power Usage: 110.46871200000000000000 W
Memory Usage: 217.113 MB, CPU Usage: 99.00 %, Power Usage: 108.61977800000000000000 W
Memory Usage: 219.926 MB, CPU Usage: 100.00 %, Power Usage: 107.97006100000000000000 W
Memory Usage: 222.426 MB, CPU Usage: 100.00 %, Power Usage: 111.75239900000000000000 W
Memory Usage: 225.238 MB, CPU Usage: 100.00 %, Power Usage: 108.18954200000000000000 W
Memory Usage: 227.738 MB, CPU Usage: 100.00 %, Power Usage: 109.38119000000000000000 W
Memory Usage: 230.238 MB, CPU Usage: 100.00 %, Power Usage: 111.01564600000000000000 W
Memory Usage: 233.051 MB, CPU Usage: 99.00 %, Power Usage: 107.72390600000000000000 W
Memory Usage: 235.551 MB, CPU Usage: 100.00 %, Power Usage: 115.56678200000000000000 W
Memory Usage: 237.738 MB, CPU Usage: 99.00 %, Power Usage: 109.12044800000000000000 W
Memory Usage: 240.238 MB, CPU Usage: 100.00 %, Power Usage: 108.81838600000000000000 W
Memory Usage: 329.926 MB, CPU Usage: 148.00 %, Power Usage: 115.52302000000000000000 W
Memory Usage: 404.926 MB, CPU Usage: 100.00 %, Power Usage: 108.17806800000000000000 W
Memory Usage: 407.426 MB, CPU Usage: 100.00 %, Power Usage: 108.93270500000000000000 W
Memory Usage: 409.613 MB, CPU Usage: 100.00 %, Power Usage: 112.50380100000000000000 W
Memory Usage: 412.113 MB, CPU Usage: 100.00 %, Power Usage: 107.95187200000000000000 W
Memory Usage: 418.988 MB, CPU Usage: 101.00 %, Power Usage: 109.97481600000000000000 W
Memory Usage: 420.551 MB, CPU Usage: 100.00 %, Power Usage: 108.24673200000000000000 W
