Memory Usage: 149.449 MB, CPU Usage: 190.00 %, Power Usage: 55.22910700000000000000 W
Memory Usage: 134.66 MB, CPU Usage: 220.00 %, Power Usage: 105.26859000000000000000 W
Memory Usage: 157.473 MB, CPU Usage: 216.00 %, Power Usage: 109.92147200000000000000 W
Memory Usage: 157.535 MB, CPU Usage: 242.00 %, Power Usage: 113.41163600000000000000 W
Memory Usage: 163.66 MB, CPU Usage: 263.00 %, Power Usage: 120.08514200000000000000 W
Memory Usage: 157.605 MB, CPU Usage: 273.00 %, Power Usage: 122.68736800000000000000 W
Memory Usage: 157.605 MB, CPU Usage: 264.00 %, Power Usage: 117.48938500000000000000 W
Memory Usage: 150.125 MB, CPU Usage: 261.00 %, Power Usage: 114.89460300000000000000 W
Memory Usage: 142.43 MB, CPU Usage: 264.00 %, Power Usage: 116.84741800000000000000 W
Memory Usage: 158.367 MB, CPU Usage: 272.00 %, Power Usage: 121.25988200000000000000 W
Memory Usage: 158.367 MB, CPU Usage: 259.00 %, Power Usage: 119.32122800000000000000 W
Memory Usage: 158.367 MB, CPU Usage: 265.00 %, Power Usage: 121.32097900000000000000 W
Memory Usage: 158.367 MB, CPU Usage: 252.00 %, Power Usage: 121.21569200000000000000 W
Memory Usage: 148.367 MB, CPU Usage: 261.00 %, Power Usage: 119.19940300000000000000 W
Memory Usage: 150.48 MB, CPU Usage: 228.00 %, Power Usage: 116.69910300000000000000 W
Memory Usage: 158.477 MB, CPU Usage: 214.00 %, Power Usage: 116.24665000000000000000 W
Memory Usage: 150.531 MB, CPU Usage: 227.00 %, Power Usage: 117.05322800000000000000 W
Memory Usage: 147.105 MB, CPU Usage: 220.00 %, Power Usage: 111.48610500000000000000 W
Memory Usage: 150.973 MB, CPU Usage: 230.00 %, Power Usage: 118.02118100000000000000 W
Memory Usage: 127.02 MB, CPU Usage: 208.00 %, Power Usage: 108.80788800000000000000 W
Memory Usage: 159.074 MB, CPU Usage: 228.00 %, Power Usage: 117.88043600000000000000 W
Memory Usage: 127.055 MB, CPU Usage: 168.00 %, Power Usage: 108.42147600000000000000 W
Memory Usage: 151.117 MB, CPU Usage: 196.00 %, Power Usage: 114.97932000000000000000 W
Memory Usage: 159.172 MB, CPU Usage: 128.00 %, Power Usage: 111.47133300000000000000 W
Memory Usage: 147.168 MB, CPU Usage: 258.00 %, Power Usage: 115.04566500000000000000 W
Memory Usage: 150.984 MB, CPU Usage: 256.00 %, Power Usage: 110.40462400000000000000 W
Memory Usage: 126.848 MB, CPU Usage: 260.00 %, Power Usage: 106.21774600000000000000 W
Memory Usage: 150.715 MB, CPU Usage: 184.00 %, Power Usage: 110.49086700000000000000 W
Memory Usage: 158.898 MB, CPU Usage: 105.00 %, Power Usage: 108.49899000000000000000 W
Memory Usage: 151.082 MB, CPU Usage: 247.00 %, Power Usage: 116.57343200000000000000 W
Memory Usage: 127.145 MB, CPU Usage: 268.00 %, Power Usage: 110.89809300000000000000 W
Memory Usage: 159.02 MB, CPU Usage: 201.00 %, Power Usage: 103.22709100000000000000 W
Memory Usage: 135.203 MB, CPU Usage: 121.00 %, Power Usage: 112.69160600000000000000 W
Memory Usage: 150.883 MB, CPU Usage: 194.00 %, Power Usage: 111.82472600000000000000 W
Memory Usage: 135.133 MB, CPU Usage: 265.00 %, Power Usage: 107.71841300000000000000 W
Memory Usage: 135.633 MB, CPU Usage: 107.92 %, Power Usage: 106.83731300000000000000 W
Memory Usage: 151.629 MB, CPU Usage: 160.00 %, Power Usage: 112.09645300000000000000 W
Memory Usage: 127.5 MB, CPU Usage: 267.00 %, Power Usage: 106.92532400000000000000 W
Memory Usage: 151.684 MB, CPU Usage: 105.00 %, Power Usage: 106.72775500000000000000 W
Memory Usage: 147.617 MB, CPU Usage: 189.00 %, Power Usage: 109.53182400000000000000 W
Memory Usage: 147.617 MB, CPU Usage: 223.00 %, Power Usage: 101.64756700000000000000 W
Memory Usage: 143.492 MB, CPU Usage: 118.00 %, Power Usage: 110.88570200000000000000 W
Memory Usage: 135.609 MB, CPU Usage: 245.54 %, Power Usage: 110.63851100000000000000 W
Memory Usage: 127.906 MB, CPU Usage: 141.00 %, Power Usage: 98.73406100000000000000 W
Memory Usage: 143.844 MB, CPU Usage: 204.00 %, Power Usage: 114.98810900000000000000 W
Memory Usage: 143.844 MB, CPU Usage: 239.00 %, Power Usage: 102.12083200000000000000 W
Memory Usage: 128.012 MB, CPU Usage: 105.00 %, Power Usage: 104.89322500000000000000 W
Memory Usage: 135.824 MB, CPU Usage: 264.00 %, Power Usage: 110.17855100000000000000 W
Memory Usage: 143.949 MB, CPU Usage: 106.00 %, Power Usage: 103.92203700000000000000 W
Memory Usage: 151.57 MB, CPU Usage: 199.00 %, Power Usage: 109.67501100000000000000 W
Memory Usage: 127.617 MB, CPU Usage: 126.00 %, Power Usage: 98.19811300000000000000 W
Memory Usage: 149.805 MB, CPU Usage: 221.00 %, Power Usage: 115.53315200000000000000 W
Memory Usage: 128.113 MB, CPU Usage: 187.00 %, Power Usage: 99.84343400000000000000 W
Memory Usage: 151.863 MB, CPU Usage: 108.00 %, Power Usage: 107.28121900000000000000 W
Memory Usage: 151.863 MB, CPU Usage: 227.00 %, Power Usage: 102.81254200000000000000 W
Memory Usage: 143.793 MB, CPU Usage: 116.00 %, Power Usage: 110.76009300000000000000 W
Memory Usage: 143.793 MB, CPU Usage: 269.00 %, Power Usage: 106.92971800000000000000 W
Memory Usage: 151.918 MB, CPU Usage: 105.00 %, Power Usage: 101.75932200000000000000 W
Memory Usage: 151.918 MB, CPU Usage: 276.00 %, Power Usage: 106.47720500000000000000 W
Memory Usage: 151.918 MB, CPU Usage: 106.00 %, Power Usage: 106.74972800000000000000 W
Memory Usage: 151.918 MB, CPU Usage: 272.00 %, Power Usage: 107.33932400000000000000 W
Memory Usage: 127.996 MB, CPU Usage: 106.00 %, Power Usage: 101.21086100000000000000 W
Memory Usage: 127.996 MB, CPU Usage: 269.00 %, Power Usage: 106.54605400000000000000 W
Memory Usage: 127.863 MB, CPU Usage: 105.00 %, Power Usage: 107.56045400000000000000 W
Memory Usage: 127.863 MB, CPU Usage: 252.00 %, Power Usage: 105.16287800000000000000 W
Memory Usage: 143.922 MB, CPU Usage: 106.00 %, Power Usage: 103.79380200000000000000 W
Memory Usage: 143.922 MB, CPU Usage: 230.00 %, Power Usage: 102.50016500000000000000 W
Memory Usage: 152.293 MB, CPU Usage: 122.00 %, Power Usage: 111.13020800000000000000 W
Memory Usage: 128.281 MB, CPU Usage: 179.00 %, Power Usage: 100.55296500000000000000 W
Memory Usage: 144.152 MB, CPU Usage: 110.00 %, Power Usage: 108.36215000000000000000 W
Memory Usage: 144.152 MB, CPU Usage: 133.00 %, Power Usage: 98.77788400000000000000 W
Memory Usage: 150.09 MB, CPU Usage: 197.00 %, Power Usage: 116.16883100000000000000 W
Memory Usage: 128.082 MB, CPU Usage: 106.00 %, Power Usage: 98.02733700000000000000 W
Memory Usage: 141.832 MB, CPU Usage: 185.00 %, Power Usage: 111.23006200000000000000 W
Memory Usage: 144.02 MB, CPU Usage: 105.00 %, Power Usage: 97.45794100000000000000 W
Memory Usage: 144.02 MB, CPU Usage: 259.00 %, Power Usage: 110.63814500000000000000 W
Memory Usage: 128.066 MB, CPU Usage: 106.00 %, Power Usage: 102.99003200000000000000 W
Memory Usage: 128.066 MB, CPU Usage: 264.00 %, Power Usage: 105.13992900000000000000 W
Memory Usage: 149.996 MB, CPU Usage: 105.00 %, Power Usage: 102.96744800000000000000 W
Memory Usage: 149.996 MB, CPU Usage: 176.00 %, Power Usage: 99.75395600000000000000 W
Memory Usage: 159.914 MB, CPU Usage: 175.00 %, Power Usage: 114.33588900000000000000 W
Memory Usage: 136.031 MB, CPU Usage: 105.00 %, Power Usage: 97.77684900000000000000 W
Memory Usage: 144.277 MB, CPU Usage: 181.00 %, Power Usage: 110.83681400000000000000 W
Memory Usage: 144.277 MB, CPU Usage: 106.00 %, Power Usage: 97.36938000000000000000 W
Memory Usage: 128.32 MB, CPU Usage: 273.00 %, Power Usage: 109.81246200000000000000 W
Memory Usage: 128.18 MB, CPU Usage: 106.00 %, Power Usage: 103.95365200000000000000 W
Memory Usage: 128.18 MB, CPU Usage: 199.00 %, Power Usage: 101.02592600000000000000 W
Memory Usage: 128.156 MB, CPU Usage: 105.00 %, Power Usage: 107.14364700000000000000 W
Memory Usage: 128.156 MB, CPU Usage: 105.00 %, Power Usage: 97.21953900000000000000 W
Memory Usage: 150.344 MB, CPU Usage: 255.00 %, Power Usage: 114.25080500000000000000 W
Memory Usage: 128.09 MB, CPU Usage: 106.00 %, Power Usage: 98.07909500000000000000 W
Memory Usage: 128.09 MB, CPU Usage: 268.00 %, Power Usage: 107.18759300000000000000 W
Memory Usage: 150.02 MB, CPU Usage: 105.00 %, Power Usage: 101.15928600000000000000 W
Memory Usage: 150.02 MB, CPU Usage: 124.00 %, Power Usage: 97.84014300000000000000 W
