2025/01/07 16:09:25.326, 42.90 W, 17 %, 937 MiB, 16384 MiB
2025/01/07 16:09:26.356, 42.17 W, 24 %, 805 MiB, 16384 MiB
2025/01/07 16:09:27.387, 41.93 W, 0 %, 805 MiB, 16384 MiB
2025/01/07 16:09:28.416, 42.42 W, 0 %, 805 MiB, 16384 MiB
2025/01/07 16:09:29.445, 43.15 W, 55 %, 1117 MiB, 16384 MiB
2025/01/07 16:09:30.474, 42.42 W, 30 %, 805 MiB, 16384 MiB
2025/01/07 16:09:31.504, 42.42 W, 15 %, 805 MiB, 16384 MiB
2025/01/07 16:09:32.533, 42.42 W, 0 %, 805 MiB, 16384 MiB
2025/01/07 16:09:33.563, 42.66 W, 15 %, 805 MiB, 16384 MiB
2025/01/07 16:09:34.592, 68.58 W, 1 %, 885 MiB, 16384 MiB
2025/01/07 16:09:35.622, 43.63 W, 26 %, 849 MiB, 16384 MiB
2025/01/07 16:09:36.652, 43.15 W, 32 %, 867 MiB, 16384 MiB
2025/01/07 16:09:37.682, 39.23 W, 22 %, 813 MiB, 16384 MiB
2025/01/07 16:09:38.710, 37.54 W, 24 %, 805 MiB, 16384 MiB
2025/01/07 16:09:39.739, 37.54 W, 14 %, 805 MiB, 16384 MiB
2025/01/07 16:09:40.769, 37.54 W, 11 %, 805 MiB, 16384 MiB
2025/01/07 16:09:41.799, 37.30 W, 0 %, 805 MiB, 16384 MiB
2025/01/07 16:09:42.828, 41.93 W, 13 %, 813 MiB, 16384 MiB
2025/01/07 16:09:43.857, 39.48 W, 31 %, 851 MiB, 16384 MiB
2025/01/07 16:09:44.887, 50.72 W, 30 %, 843 MiB, 16384 MiB
2025/01/07 16:09:45.918, 60.72 W, 6 %, 881 MiB, 16384 MiB
2025/01/07 16:09:46.948, 40.70 W, 26 %, 805 MiB, 16384 MiB
2025/01/07 16:09:47.977, 39.48 W, 0 %, 805 MiB, 16384 MiB
2025/01/07 16:09:49.007, 39.72 W, 22 %, 805 MiB, 16384 MiB
2025/01/07 16:09:50.038, 42.66 W, 14 %, 805 MiB, 16384 MiB
2025/01/07 16:09:51.067, 43.88 W, 15 %, 851 MiB, 16384 MiB
2025/01/07 16:09:52.096, 42.66 W, 27 %, 805 MiB, 16384 MiB
2025/01/07 16:09:53.125, 49.98 W, 1 %, 821 MiB, 16384 MiB
2025/01/07 16:09:54.155, 58.73 W, 23 %, 887 MiB, 16384 MiB
2025/01/07 16:09:55.183, 84.60 W, 12 %, 979 MiB, 16384 MiB
2025/01/07 16:09:56.215, 46.82 W, 25 %, 819 MiB, 16384 MiB
2025/01/07 16:09:57.245, 43.14 W, 32 %, 983 MiB, 16384 MiB
2025/01/07 16:09:58.274, 58.27 W, 24 %, 853 MiB, 16384 MiB
2025/01/07 16:09:59.304, 42.91 W, 28 %, 807 MiB, 16384 MiB
2025/01/07 16:10:00.333, 42.90 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:10:01.362, 42.66 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:10:02.392, 42.90 W, 15 %, 811 MiB, 16384 MiB
2025/01/07 16:10:03.422, 43.39 W, 29 %, 807 MiB, 16384 MiB
2025/01/07 16:10:04.452, 71.69 W, 0 %, 895 MiB, 16384 MiB
2025/01/07 16:10:05.481, 44.61 W, 0 %, 907 MiB, 16384 MiB
2025/01/07 16:10:06.511, 53.16 W, 31 %, 839 MiB, 16384 MiB
2025/01/07 16:10:07.540, 43.39 W, 25 %, 1011 MiB, 16384 MiB
2025/01/07 16:10:08.569, 58.27 W, 28 %, 853 MiB, 16384 MiB
2025/01/07 16:10:09.600, 42.91 W, 13 %, 1357 MiB, 16384 MiB
2025/01/07 16:10:10.629, 45.60 W, 28 %, 847 MiB, 16384 MiB
2025/01/07 16:10:11.659, 42.90 W, 30 %, 807 MiB, 16384 MiB
2025/01/07 16:10:12.688, 42.90 W, 14 %, 807 MiB, 16384 MiB
2025/01/07 16:10:13.720, 43.15 W, 5 %, 811 MiB, 16384 MiB
2025/01/07 16:10:14.750, 42.90 W, 1 %, 807 MiB, 16384 MiB
2025/01/07 16:10:15.779, 42.90 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:10:16.808, 43.63 W, 10 %, 823 MiB, 16384 MiB
2025/01/07 16:10:17.838, 43.64 W, 23 %, 807 MiB, 16384 MiB
2025/01/07 16:10:18.868, 49.73 W, 28 %, 829 MiB, 16384 MiB
2025/01/07 16:10:19.897, 43.15 W, 22 %, 807 MiB, 16384 MiB
2025/01/07 16:10:20.926, 46.33 W, 72 %, 1271 MiB, 16384 MiB
2025/01/07 16:10:21.955, 63.86 W, 26 %, 893 MiB, 16384 MiB
2025/01/07 16:10:22.985, 43.15 W, 21 %, 807 MiB, 16384 MiB
2025/01/07 16:10:24.014, 42.66 W, 57 %, 1091 MiB, 16384 MiB
2025/01/07 16:10:25.044, 80.41 W, 23 %, 1371 MiB, 16384 MiB
2025/01/07 16:10:26.074, 45.35 W, 30 %, 861 MiB, 16384 MiB
2025/01/07 16:10:27.102, 43.39 W, 64 %, 1091 MiB, 16384 MiB
2025/01/07 16:10:28.133, 44.12 W, 25 %, 807 MiB, 16384 MiB
2025/01/07 16:10:29.162, 63.44 W, 21 %, 887 MiB, 16384 MiB
2025/01/07 16:10:30.191, 43.15 W, 25 %, 807 MiB, 16384 MiB
2025/01/07 16:10:31.221, 43.15 W, 1 %, 807 MiB, 16384 MiB
2025/01/07 16:10:32.251, 45.11 W, 18 %, 823 MiB, 16384 MiB
2025/01/07 16:10:33.282, 44.86 W, 30 %, 827 MiB, 16384 MiB
2025/01/07 16:10:34.312, 55.83 W, 29 %, 887 MiB, 16384 MiB
2025/01/07 16:10:35.341, 44.86 W, 28 %, 869 MiB, 16384 MiB
2025/01/07 16:10:36.371, 43.15 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:10:37.401, 44.86 W, 22 %, 807 MiB, 16384 MiB
2025/01/07 16:10:38.430, 43.15 W, 25 %, 807 MiB, 16384 MiB
2025/01/07 16:10:39.459, 43.15 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:10:40.488, 43.15 W, 0 %, 811 MiB, 16384 MiB
2025/01/07 16:10:41.518, 69.48 W, 10 %, 971 MiB, 16384 MiB
2025/01/07 16:10:42.548, 47.80 W, 18 %, 831 MiB, 16384 MiB
2025/01/07 16:10:43.579, 43.15 W, 27 %, 807 MiB, 16384 MiB
2025/01/07 16:10:44.607, 43.15 W, 23 %, 807 MiB, 16384 MiB
2025/01/07 16:10:45.636, 43.39 W, 23 %, 807 MiB, 16384 MiB
2025/01/07 16:10:46.665, 43.15 W, 2 %, 807 MiB, 16384 MiB
2025/01/07 16:10:47.694, 43.39 W, 1 %, 807 MiB, 16384 MiB
2025/01/07 16:10:48.723, 43.39 W, 5 %, 1197 MiB, 16384 MiB
2025/01/07 16:10:49.753, 43.64 W, 28 %, 807 MiB, 16384 MiB
2025/01/07 16:10:50.782, 43.39 W, 13 %, 807 MiB, 16384 MiB
2025/01/07 16:10:51.815, 67.28 W, 1 %, 893 MiB, 16384 MiB
2025/01/07 16:10:52.844, 49.49 W, 24 %, 869 MiB, 16384 MiB
2025/01/07 16:10:53.874, 43.88 W, 3 %, 819 MiB, 16384 MiB
2025/01/07 16:10:54.904, 43.39 W, 0 %, 1381 MiB, 16384 MiB
2025/01/07 16:10:55.934, 116.83 W, 46 %, 1943 MiB, 16384 MiB
2025/01/07 16:10:56.963, 44.61 W, 15 %, 807 MiB, 16384 MiB
2025/01/07 16:10:57.993, 43.39 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:10:59.023, 43.39 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:11:00.052, 68.50 W, 10 %, 893 MiB, 16384 MiB
2025/01/07 16:11:01.082, 43.63 W, 28 %, 953 MiB, 16384 MiB
2025/01/07 16:11:02.112, 44.86 W, 23 %, 831 MiB, 16384 MiB
2025/01/07 16:11:03.141, 43.64 W, 33 %, 807 MiB, 16384 MiB
2025/01/07 16:11:04.170, 44.12 W, 19 %, 883 MiB, 16384 MiB
2025/01/07 16:11:05.199, 43.39 W, 20 %, 807 MiB, 16384 MiB
2025/01/07 16:11:06.228, 43.39 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:11:07.258, 43.39 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:11:08.287, 54.14 W, 1 %, 883 MiB, 16384 MiB
2025/01/07 16:11:09.318, 53.41 W, 22 %, 847 MiB, 16384 MiB
2025/01/07 16:11:10.347, 38.99 W, 2 %, 823 MiB, 16384 MiB
2025/01/07 16:11:11.378, 43.89 W, 25 %, 847 MiB, 16384 MiB
2025/01/07 16:11:12.407, 38.03 W, 4 %, 807 MiB, 16384 MiB
2025/01/07 16:11:13.438, 38.03 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:11:14.468, 44.62 W, 17 %, 871 MiB, 16384 MiB
2025/01/07 16:11:15.497, 61.94 W, 17 %, 885 MiB, 16384 MiB
2025/01/07 16:11:16.527, 46.82 W, 19 %, 881 MiB, 16384 MiB
2025/01/07 16:11:17.557, 43.88 W, 7 %, 807 MiB, 16384 MiB
2025/01/07 16:11:18.587, 111.54 W, 34 %, 1795 MiB, 16384 MiB
2025/01/07 16:11:19.617, 43.88 W, 23 %, 819 MiB, 16384 MiB
2025/01/07 16:11:20.646, 43.64 W, 19 %, 807 MiB, 16384 MiB
2025/01/07 16:11:21.675, 43.64 W, 20 %, 807 MiB, 16384 MiB
2025/01/07 16:11:22.704, 47.80 W, 0 %, 861 MiB, 16384 MiB
2025/01/07 16:11:23.734, 44.62 W, 25 %, 807 MiB, 16384 MiB
2025/01/07 16:11:24.764, 44.87 W, 39 %, 1343 MiB, 16384 MiB
2025/01/07 16:11:25.794, 63.65 W, 31 %, 869 MiB, 16384 MiB
2025/01/07 16:11:26.824, 44.12 W, 33 %, 845 MiB, 16384 MiB
2025/01/07 16:11:27.854, 54.39 W, 33 %, 843 MiB, 16384 MiB
2025/01/07 16:11:28.884, 43.88 W, 39 %, 1061 MiB, 16384 MiB
2025/01/07 16:11:29.913, 43.64 W, 16 %, 807 MiB, 16384 MiB
2025/01/07 16:11:30.942, 43.64 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:11:31.971, 43.64 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:11:33.000, 43.64 W, 21 %, 807 MiB, 16384 MiB
2025/01/07 16:11:34.029, 58.76 W, 0 %, 839 MiB, 16384 MiB
2025/01/07 16:11:35.058, 44.37 W, 28 %, 807 MiB, 16384 MiB
2025/01/07 16:11:36.087, 47.53 W, 29 %, 831 MiB, 16384 MiB
2025/01/07 16:11:37.119, 43.64 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:11:38.149, 43.63 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:11:39.178, 43.64 W, 0 %, 807 MiB, 16384 MiB
2025/01/07 16:11:40.207, 55.09 W, 0 %, 865 MiB, 16384 MiB
2025/01/07 16:11:41.237, 51.20 W, 0 %, 847 MiB, 16384 MiB
2025/01/07 16:11:42.266, 43.88 W, 25 %, 809 MiB, 16384 MiB
2025/01/07 16:11:43.296, 43.88 W, 0 %, 833 MiB, 16384 MiB
2025/01/07 16:11:44.326, 46.33 W, 1 %, 865 MiB, 16384 MiB
2025/01/07 16:11:45.355, 74.62 W, 9 %, 905 MiB, 16384 MiB
2025/01/07 16:11:46.385, 46.57 W, 13 %, 885 MiB, 16384 MiB
2025/01/07 16:11:47.414, 43.88 W, 7 %, 809 MiB, 16384 MiB
2025/01/07 16:11:48.442, 44.13 W, 53 %, 1435 MiB, 16384 MiB
2025/01/07 16:11:49.476, 44.12 W, 10 %, 863 MiB, 16384 MiB
2025/01/07 16:11:50.506, 44.62 W, 74 %, 1981 MiB, 16384 MiB
2025/01/07 16:11:51.535, 44.86 W, 20 %, 809 MiB, 16384 MiB
2025/01/07 16:11:52.565, 59.74 W, 0 %, 855 MiB, 16384 MiB
2025/01/07 16:11:53.594, 45.84 W, 22 %, 885 MiB, 16384 MiB
2025/01/07 16:11:54.624, 61.69 W, 25 %, 849 MiB, 16384 MiB
2025/01/07 16:11:55.653, 59.28 W, 34 %, 849 MiB, 16384 MiB
2025/01/07 16:11:56.683, 42.66 W, 22 %, 809 MiB, 16384 MiB
2025/01/07 16:11:57.712, 44.37 W, 84 %, 1287 MiB, 16384 MiB
2025/01/07 16:11:58.742, 44.86 W, 30 %, 809 MiB, 16384 MiB
2025/01/07 16:11:59.771, 43.88 W, 0 %, 809 MiB, 16384 MiB
2025/01/07 16:12:00.802, 43.88 W, 0 %, 809 MiB, 16384 MiB
2025/01/07 16:12:01.831, 43.64 W, 0 %, 809 MiB, 16384 MiB
2025/01/07 16:12:02.860, 65.85 W, 18 %, 879 MiB, 16384 MiB
2025/01/07 16:12:03.890, 73.40 W, 27 %, 901 MiB, 16384 MiB
2025/01/07 16:12:04.919, 46.79 W, 23 %, 903 MiB, 16384 MiB
2025/01/07 16:12:05.949, 44.13 W, 26 %, 809 MiB, 16384 MiB
2025/01/07 16:12:06.978, 44.12 W, 11 %, 809 MiB, 16384 MiB
2025/01/07 16:12:08.008, 43.88 W, 18 %, 809 MiB, 16384 MiB
