Memory Usage: 160.703 MB, CPU Usage: 160.00 %, Power Usage: 53.21421900000000000000 W
Memory Usage: 166.328 MB, CPU Usage: 208.00 %, Power Usage: 116.77637300000000000000 W
Memory Usage: 166.328 MB, CPU Usage: 169.00 %, Power Usage: 106.95462200000000000000 W
Memory Usage: 167.578 MB, CPU Usage: 210.89 %, Power Usage: 108.05691300000000000000 W
Memory Usage: 167.578 MB, CPU Usage: 181.00 %, Power Usage: 109.34353100000000000000 W
Memory Usage: 167.578 MB, CPU Usage: 205.00 %, Power Usage: 107.03866600000000000000 W
Memory Usage: 167.578 MB, CPU Usage: 94.00 %, Power Usage: 96.77447200000000000000 W
Memory Usage: 167.188 MB, CPU Usage: 197.00 %, Power Usage: 105.25912900000000000000 W
Memory Usage: 168.125 MB, CPU Usage: 202.00 %, Power Usage: 100.64384700000000000000 W
Memory Usage: 168.125 MB, CPU Usage: 91.00 %, Power Usage: 97.57274800000000000000 W
Memory Usage: 168.125 MB, CPU Usage: 114.00 %, Power Usage: 95.25323600000000000000 W
Memory Usage: 168.125 MB, CPU Usage: 166.00 %, Power Usage: 110.31081400000000000000 W
Memory Usage: 168.438 MB, CPU Usage: 95.00 %, Power Usage: 96.54302600000000000000 W
Memory Usage: 167.531 MB, CPU Usage: 143.00 %, Power Usage: 109.89254200000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 93.00 %, Power Usage: 95.88793700000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 208.00 %, Power Usage: 103.03751700000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 92.00 %, Power Usage: 102.29673600000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 92.00 %, Power Usage: 95.03765900000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 220.00 %, Power Usage: 104.21982600000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 92.00 %, Power Usage: 102.09025400000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 84.00 %, Power Usage: 94.99298200000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 112.00 %, Power Usage: 94.62359800000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 144.00 %, Power Usage: 109.04268900000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 94.00 %, Power Usage: 96.16058200000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 91.00 %, Power Usage: 96.33862100000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 217.82 %, Power Usage: 107.50039600000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 91.00 %, Power Usage: 100.22252200000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 91.00 %, Power Usage: 95.47607400000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 90.00 %, Power Usage: 95.88543500000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 188.00 %, Power Usage: 111.26326500000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 92.00 %, Power Usage: 94.76513800000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 91.00 %, Power Usage: 95.59515400000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 90.00 %, Power Usage: 94.91516100000000000000 W
Memory Usage: 168.469 MB, CPU Usage: 209.00 %, Power Usage: 111.21803900000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 91.00 %, Power Usage: 97.79967600000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 90.00 %, Power Usage: 95.16259900000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 89.00 %, Power Usage: 95.86627000000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 188.00 %, Power Usage: 101.52592400000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 93.00 %, Power Usage: 105.70798200000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 92.00 %, Power Usage: 95.60162300000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 89.11 %, Power Usage: 95.53686400000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 89.00 %, Power Usage: 95.63787800000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 234.00 %, Power Usage: 108.29287500000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 87.00 %, Power Usage: 99.80943600000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 93.00 %, Power Usage: 94.83764800000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 91.00 %, Power Usage: 95.00018400000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 91.00 %, Power Usage: 95.37323000000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 238.00 %, Power Usage: 108.45101700000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 85.00 %, Power Usage: 97.14294000000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 93.00 %, Power Usage: 96.04015900000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 91.00 %, Power Usage: 96.06304700000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 92.00 %, Power Usage: 95.90460200000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 174.00 %, Power Usage: 99.75767800000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 122.00 %, Power Usage: 109.38912400000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 91.00 %, Power Usage: 96.97637600000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 91.09 %, Power Usage: 95.89678800000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 82.00 %, Power Usage: 95.77691500000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 91.00 %, Power Usage: 96.17864800000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 241.00 %, Power Usage: 107.03793400000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 85.00 %, Power Usage: 98.56798500000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 91.00 %, Power Usage: 95.61920100000000000000 W
Memory Usage: 168.781 MB, CPU Usage: 91.00 %, Power Usage: 95.81097300000000000000 W
Memory Usage: 169.094 MB, CPU Usage: 91.00 %, Power Usage: 95.03308300000000000000 W
Memory Usage: 169.094 MB, CPU Usage: 90.10 %, Power Usage: 95.86053300000000000000 W
Memory Usage: 164.82 MB, CPU Usage: 222.00 %, Power Usage: 105.82498500000000000000 W
Memory Usage: 168.57 MB, CPU Usage: 211.00 %, Power Usage: 115.92463000000000000000 W
Memory Usage: 168.57 MB, CPU Usage: 90.00 %, Power Usage: 98.94750100000000000000 W
Memory Usage: 168.57 MB, CPU Usage: 89.00 %, Power Usage: 95.41601500000000000000 W
Memory Usage: 169.195 MB, CPU Usage: 93.00 %, Power Usage: 95.30120900000000000000 W
Memory Usage: 169.195 MB, CPU Usage: 91.00 %, Power Usage: 96.03906000000000000000 W
Memory Usage: 169.195 MB, CPU Usage: 123.00 %, Power Usage: 96.57647500000000000000 W
Memory Usage: 167.992 MB, CPU Usage: 90.00 %, Power Usage: 97.85906300000000000000 W
Memory Usage: 167.992 MB, CPU Usage: 88.00 %, Power Usage: 95.72058000000000000000 W
Memory Usage: 168.93 MB, CPU Usage: 91.00 %, Power Usage: 95.60076800000000000000 W
Memory Usage: 168.93 MB, CPU Usage: 90.00 %, Power Usage: 95.10284500000000000000 W
Memory Usage: 168.93 MB, CPU Usage: 91.00 %, Power Usage: 96.31963900000000000000 W
Memory Usage: 168.93 MB, CPU Usage: 85.00 %, Power Usage: 96.97314000000000000000 W
Memory Usage: 169.242 MB, CPU Usage: 201.00 %, Power Usage: 101.46080000000000000000 W
Memory Usage: 175.18 MB, CPU Usage: 210.00 %, Power Usage: 111.16225200000000000000 W
Memory Usage: 168.57 MB, CPU Usage: 172.00 %, Power Usage: 106.74832300000000000000 W
Memory Usage: 168.57 MB, CPU Usage: 90.00 %, Power Usage: 96.46539000000000000000 W
Memory Usage: 168.57 MB, CPU Usage: 89.00 %, Power Usage: 96.71966300000000000000 W
Memory Usage: 168.57 MB, CPU Usage: 91.00 %, Power Usage: 96.70653900000000000000 W
Memory Usage: 168.57 MB, CPU Usage: 82.00 %, Power Usage: 91.73401800000000000000 W
Memory Usage: 168.57 MB, CPU Usage: 89.00 %, Power Usage: 96.33746200000000000000 W
Memory Usage: 164.684 MB, CPU Usage: 137.00 %, Power Usage: 101.23081900000000000000 W
Memory Usage: 169.059 MB, CPU Usage: 79.00 %, Power Usage: 94.96154900000000000000 W
Memory Usage: 169.059 MB, CPU Usage: 92.00 %, Power Usage: 94.63208200000000000000 W
Memory Usage: 169.059 MB, CPU Usage: 91.00 %, Power Usage: 94.37018100000000000000 W
Memory Usage: 169.059 MB, CPU Usage: 88.00 %, Power Usage: 95.40582200000000000000 W
Memory Usage: 169.684 MB, CPU Usage: 91.00 %, Power Usage: 95.64569100000000000000 W
Memory Usage: 169.684 MB, CPU Usage: 87.00 %, Power Usage: 95.07775900000000000000 W
Memory Usage: 169.684 MB, CPU Usage: 91.00 %, Power Usage: 96.39501700000000000000 W
Memory Usage: 165.848 MB, CPU Usage: 203.00 %, Power Usage: 107.03451600000000000000 W
Memory Usage: 168.348 MB, CPU Usage: 214.00 %, Power Usage: 111.08907100000000000000 W
Memory Usage: 169.285 MB, CPU Usage: 102.00 %, Power Usage: 107.27700800000000000000 W
Memory Usage: 169.285 MB, CPU Usage: 87.00 %, Power Usage: 94.54400900000000000000 W
Memory Usage: 169.285 MB, CPU Usage: 91.00 %, Power Usage: 95.32739300000000000000 W
Memory Usage: 169.285 MB, CPU Usage: 87.00 %, Power Usage: 95.66497700000000000000 W
Memory Usage: 169.285 MB, CPU Usage: 91.00 %, Power Usage: 95.90771300000000000000 W
Memory Usage: 169.285 MB, CPU Usage: 90.00 %, Power Usage: 95.45080500000000000000 W
Memory Usage: 169.285 MB, CPU Usage: 90.00 %, Power Usage: 95.19262800000000000000 W
Memory Usage: 169.285 MB, CPU Usage: 165.00 %, Power Usage: 100.10051300000000000000 W
Memory Usage: 167.906 MB, CPU Usage: 88.00 %, Power Usage: 95.08410700000000000000 W
Memory Usage: 168.844 MB, CPU Usage: 91.00 %, Power Usage: 95.88085800000000000000 W
Memory Usage: 168.844 MB, CPU Usage: 87.00 %, Power Usage: 93.90942800000000000000 W
Memory Usage: 168.844 MB, CPU Usage: 90.00 %, Power Usage: 95.70135400000000000000 W
Memory Usage: 168.844 MB, CPU Usage: 87.00 %, Power Usage: 95.74908300000000000000 W
Memory Usage: 168.844 MB, CPU Usage: 91.00 %, Power Usage: 95.64898600000000000000 W
Memory Usage: 168.844 MB, CPU Usage: 88.00 %, Power Usage: 95.40271000000000000000 W
Memory Usage: 168.844 MB, CPU Usage: 164.00 %, Power Usage: 100.49937600000000000000 W
Memory Usage: 168.844 MB, CPU Usage: 187.00 %, Power Usage: 110.01741900000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 205.00 %, Power Usage: 115.50031400000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 85.00 %, Power Usage: 99.90123400000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 91.00 %, Power Usage: 95.33392400000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 89.00 %, Power Usage: 95.74633700000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 89.00 %, Power Usage: 95.44427400000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 91.00 %, Power Usage: 95.27765000000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 91.00 %, Power Usage: 95.99346700000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 89.00 %, Power Usage: 96.00091400000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 88.00 %, Power Usage: 95.88684000000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 121.00 %, Power Usage: 98.64116600000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 91.00 %, Power Usage: 94.43689200000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 91.00 %, Power Usage: 94.33673300000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 87.00 %, Power Usage: 94.74963600000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 91.00 %, Power Usage: 95.19543400000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 89.00 %, Power Usage: 96.00384400000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 84.00 %, Power Usage: 95.34967100000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 89.00 %, Power Usage: 95.40026800000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 91.00 %, Power Usage: 95.61004600000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 201.00 %, Power Usage: 103.86222200000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 214.00 %, Power Usage: 110.50264600000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 185.00 %, Power Usage: 106.59988700000000000000 W
