2025/01/12 14:29:25.096, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:25.100, 27.61 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:26.141, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:26.146, 27.37 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:27.185, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:27.189, 27.37 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:28.228, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:28.232, 27.61 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:29.270, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:29.274, 27.37 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:30.311, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:30.314, 27.37 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:31.350, 25.26 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:31.354, 27.12 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:32.389, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:32.392, 27.37 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:33.428, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:33.431, 27.37 W, 0 %, 5 MiB, 16384 MiB
2025/01/12 14:29:34.466, 30.09 W, 0 %, 281 MiB, 16384 MiB
2025/01/12 14:29:34.471, 27.35 W, 0 %, 7 MiB, 16384 MiB
2025/01/12 14:29:35.507, 34.44 W, 100 %, 2775 MiB, 16384 MiB
2025/01/12 14:29:35.510, 27.35 W, 0 %, 7 MiB, 16384 MiB
2025/01/12 14:29:36.546, 34.46 W, 0 %, 2775 MiB, 16384 MiB
2025/01/12 14:29:36.549, 27.12 W, 0 %, 7 MiB, 16384 MiB
2025/01/12 14:29:37.585, 34.46 W, 0 %, 2775 MiB, 16384 MiB
2025/01/12 14:29:37.588, 27.11 W, 0 %, 7 MiB, 16384 MiB
2025/01/12 14:29:38.623, 37.59 W, 99 %, 2775 MiB, 16384 MiB
2025/01/12 14:29:38.626, 27.11 W, 0 %, 7 MiB, 16384 MiB
2025/01/12 14:29:39.663, 34.44 W, 0 %, 2775 MiB, 16384 MiB
2025/01/12 14:29:39.666, 27.35 W, 0 %, 7 MiB, 16384 MiB
2025/01/12 14:29:40.702, 34.68 W, 0 %, 2775 MiB, 16384 MiB
2025/01/12 14:29:40.706, 27.37 W, 0 %, 7 MiB, 16384 MiB
2025/01/12 14:29:41.743, 36.13 W, 100 %, 2775 MiB, 16384 MiB
2025/01/12 14:29:41.748, 27.35 W, 0 %, 7 MiB, 16384 MiB
2025/01/12 14:29:42.787, 34.46 W, 0 %, 2775 MiB, 16384 MiB
2025/01/12 14:29:42.790, 27.37 W, 0 %, 7 MiB, 16384 MiB
2025/01/12 14:29:43.828, 34.44 W, 0 %, 2775 MiB, 16384 MiB
2025/01/12 14:29:43.831, 27.37 W, 0 %, 7 MiB, 16384 MiB
2025/01/12 14:29:44.868, 34.68 W, 100 %, 2775 MiB, 16384 MiB
2025/01/12 14:29:44.871, 27.35 W, 0 %, 7 MiB, 16384 MiB
