2025/01/10 14:34:44.255, 25.27 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:34:44.262, 27.61 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:34:45.299, 25.26 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:34:45.306, 27.61 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:34:46.342, 25.27 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:34:46.345, 27.61 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:34:47.381, 25.26 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:34:47.384, 27.61 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:34:48.423, 89.32 W, 100 %, 623 MiB, 16384 MiB
2025/01/10 14:34:48.426, 27.59 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:34:49.460, 34.70 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:34:49.463, 27.61 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:34:50.499, 34.68 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:34:50.502, 27.61 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:34:51.538, 31.06 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:34:51.541, 27.61 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:34:52.578, 34.92 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:34:52.582, 27.59 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:34:53.619, 34.44 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:34:53.622, 27.59 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:34:54.661, 34.68 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:34:54.664, 27.59 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:34:55.701, 34.46 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:34:55.705, 27.61 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:34:56.740, 34.68 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 14:34:56.744, 27.59 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:34:57.796, 34.70 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 14:34:57.800, 27.61 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:34:58.838, 34.68 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 14:34:58.841, 27.61 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:34:59.877, 34.68 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 14:34:59.881, 27.59 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:35:00.917, 34.68 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 14:35:00.920, 27.61 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:35:01.956, 34.70 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 14:35:01.959, 27.61 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:35:02.996, 34.70 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 14:35:03.000, 27.59 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:35:04.036, 34.44 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 14:35:04.039, 27.61 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:35:05.074, 34.68 W, 0 %, 1197 MiB, 16384 MiB
