Memory Usage: 132.137 MB, CPU Usage: 143.00 %, Power Usage: 109.19076000000000000000 W
Memory Usage: 139.637 MB, CPU Usage: 112.00 %, Power Usage: 101.23295700000000000000 W
Memory Usage: 131.633 MB, CPU Usage: 105.94 %, Power Usage: 101.09068400000000000000 W
Memory Usage: 131.633 MB, CPU Usage: 260.00 %, Power Usage: 110.61244800000000000000 W
Memory Usage: 131.496 MB, CPU Usage: 197.00 %, Power Usage: 111.61049300000000000000 W
Memory Usage: 131.305 MB, CPU Usage: 111.00 %, Power Usage: 100.83903600000000000000 W
Memory Usage: 131.305 MB, CPU Usage: 106.00 %, Power Usage: 102.46940400000000000000 W
Memory Usage: 131.305 MB, CPU Usage: 255.00 %, Power Usage: 109.53750100000000000000 W
Memory Usage: 139.496 MB, CPU Usage: 157.00 %, Power Usage: 109.92733000000000000000 W
Memory Usage: 139.305 MB, CPU Usage: 112.00 %, Power Usage: 101.04643400000000000000 W
Memory Usage: 139.305 MB, CPU Usage: 128.00 %, Power Usage: 102.97916700000000000000 W
Memory Usage: 131.367 MB, CPU Usage: 244.00 %, Power Usage: 104.89377500000000000000 W
Memory Usage: 131.422 MB, CPU Usage: 259.00 %, Power Usage: 113.97492700000000000000 W
Memory Usage: 131.164 MB, CPU Usage: 107.00 %, Power Usage: 100.94841200000000000000 W
Memory Usage: 131.164 MB, CPU Usage: 107.00 %, Power Usage: 100.24595800000000000000 W
Memory Usage: 131.164 MB, CPU Usage: 130.00 %, Power Usage: 104.93735400000000000000 W
Memory Usage: 139.434 MB, CPU Usage: 268.00 %, Power Usage: 116.96069900000000000000 W
Memory Usage: 137.98 MB, CPU Usage: 107.00 %, Power Usage: 107.44796700000000000000 W
Memory Usage: 139.23 MB, CPU Usage: 106.00 %, Power Usage: 99.04674400000000000000 W
Memory Usage: 139.23 MB, CPU Usage: 111.00 %, Power Usage: 98.53313400000000000000 W
Memory Usage: 131.852 MB, CPU Usage: 258.00 %, Power Usage: 104.39627800000000000000 W
Memory Usage: 139.594 MB, CPU Usage: 246.00 %, Power Usage: 111.48897200000000000000 W
Memory Usage: 131.836 MB, CPU Usage: 106.00 %, Power Usage: 98.64873500000000000000 W
Memory Usage: 131.836 MB, CPU Usage: 107.00 %, Power Usage: 98.76146600000000000000 W
Memory Usage: 131.836 MB, CPU Usage: 133.00 %, Power Usage: 99.74095500000000000000 W
Memory Usage: 132.582 MB, CPU Usage: 266.00 %, Power Usage: 110.72292200000000000000 W
Memory Usage: 136.074 MB, CPU Usage: 106.00 %, Power Usage: 103.03593100000000000000 W
Memory Usage: 140.762 MB, CPU Usage: 106.00 %, Power Usage: 98.35301900000000000000 W
Memory Usage: 140.762 MB, CPU Usage: 106.00 %, Power Usage: 98.45531400000000000000 W
Memory Usage: 140.762 MB, CPU Usage: 229.00 %, Power Usage: 103.15781700000000000000 W
Memory Usage: 141.75 MB, CPU Usage: 264.00 %, Power Usage: 112.36378800000000000000 W
Memory Usage: 133.988 MB, CPU Usage: 106.00 %, Power Usage: 100.07213000000000000000 W
Memory Usage: 133.988 MB, CPU Usage: 105.00 %, Power Usage: 98.38115800000000000000 W
Memory Usage: 133.988 MB, CPU Usage: 108.00 %, Power Usage: 98.47765300000000000000 W
Memory Usage: 133.988 MB, CPU Usage: 255.00 %, Power Usage: 105.58884100000000000000 W
Memory Usage: 142.043 MB, CPU Usage: 203.00 %, Power Usage: 110.75887100000000000000 W
Memory Usage: 133.984 MB, CPU Usage: 106.00 %, Power Usage: 98.15111700000000000000 W
Memory Usage: 133.984 MB, CPU Usage: 126.00 %, Power Usage: 98.79271500000000000000 W
Memory Usage: 133.984 MB, CPU Usage: 105.00 %, Power Usage: 98.52172100000000000000 W
Memory Usage: 133.984 MB, CPU Usage: 258.00 %, Power Usage: 108.08517300000000000000 W
Memory Usage: 156.039 MB, CPU Usage: 155.00 %, Power Usage: 109.37917500000000000000 W
Memory Usage: 134.035 MB, CPU Usage: 110.00 %, Power Usage: 98.28246300000000000000 W
Memory Usage: 134.035 MB, CPU Usage: 127.00 %, Power Usage: 99.45018500000000000000 W
Memory Usage: 134.035 MB, CPU Usage: 104.00 %, Power Usage: 98.47399200000000000000 W
Memory Usage: 137.473 MB, CPU Usage: 264.00 %, Power Usage: 108.50753400000000000000 W
Memory Usage: 134.152 MB, CPU Usage: 188.00 %, Power Usage: 111.20937100000000000000 W
