Memory Usage: 375.871 MB, CPU Usage: 108.00 %, Power Usage: 106.65378000000000000000 W
Memory Usage: 376.496 MB, CPU Usage: 109.00 %, Power Usage: 106.83670200000000000000 W
Memory Usage: 376.809 MB, CPU Usage: 81.00 %, Power Usage: 102.10551200000000000000 W
Memory Usage: 377.121 MB, CPU Usage: 108.00 %, Power Usage: 106.88040200000000000000 W
Memory Usage: 377.746 MB, CPU Usage: 109.00 %, Power Usage: 106.62338500000000000000 W
Memory Usage: 378.371 MB, CPU Usage: 107.00 %, Power Usage: 107.00912600000000000000 W
Memory Usage: 378.996 MB, CPU Usage: 109.00 %, Power Usage: 106.65292400000000000000 W
Memory Usage: 379.621 MB, CPU Usage: 109.00 %, Power Usage: 106.70205900000000000000 W
Memory Usage: 380.246 MB, CPU Usage: 117.00 %, Power Usage: 108.28298700000000000000 W
Memory Usage: 508.059 MB, CPU Usage: 211.00 %, Power Usage: 120.65105900000000000000 W
Memory Usage: 722.746 MB, CPU Usage: 210.00 %, Power Usage: 116.45416900000000000000 W
Memory Usage: 933.996 MB, CPU Usage: 211.00 %, Power Usage: 116.07495900000000000000 W
Memory Usage: 1145.25 MB, CPU Usage: 212.00 %, Power Usage: 115.87415400000000000000 W
Memory Usage: 1356.18 MB, CPU Usage: 199.00 %, Power Usage: 115.84504100000000000000 W
Memory Usage: 1567.43 MB, CPU Usage: 208.00 %, Power Usage: 116.97345500000000000000 W
Memory Usage: 1778.06 MB, CPU Usage: 211.00 %, Power Usage: 116.95245900000000000000 W
Memory Usage: 1991.81 MB, CPU Usage: 197.00 %, Power Usage: 117.02979100000000000000 W
Memory Usage: 2209.62 MB, CPU Usage: 206.93 %, Power Usage: 117.77753100000000000000 W
Memory Usage: 2424.62 MB, CPU Usage: 208.91 %, Power Usage: 116.16150600000000000000 W
Memory Usage: 2629.62 MB, CPU Usage: 196.00 %, Power Usage: 115.42353300000000000000 W
Memory Usage: 2838.68 MB, CPU Usage: 180.00 %, Power Usage: 114.46980000000000000000 W
Memory Usage: 3047.75 MB, CPU Usage: 212.00 %, Power Usage: -262026.65062200000000000000 W
Memory Usage: 3254.93 MB, CPU Usage: 193.00 %, Power Usage: 117.81757000000000000000 W
Memory Usage: 3462.12 MB, CPU Usage: 213.00 %, Power Usage: 116.80878300000000000000 W
