Memory Usage: 156.16 MB, CPU Usage: 100.00 %, Power Usage: 57.80911700000000000000 W
Memory Usage: 157.723 MB, CPU Usage: 100.00 %, Power Usage: 111.16359500000000000000 W
Memory Usage: 159.285 MB, CPU Usage: 102.00 %, Power Usage: 113.03370700000000000000 W
Memory Usage: 159.598 MB, CPU Usage: 100.00 %, Power Usage: 111.97896100000000000000 W
Memory Usage: 159.598 MB, CPU Usage: 100.00 %, Power Usage: 112.27058700000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 99.00 %, Power Usage: 114.41609000000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 100.00 %, Power Usage: 111.63502800000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 104.00 %, Power Usage: 113.79963500000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 100.00 %, Power Usage: 112.26704800000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 104.00 %, Power Usage: 113.17890900000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 100.00 %, Power Usage: 112.96986500000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 100.00 %, Power Usage: 113.49647400000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 100.00 %, Power Usage: 115.19605600000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 99.00 %, Power Usage: 113.84699800000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 123.00 %, Power Usage: 114.99238100000000000000 W
Memory Usage: 160.586 MB, CPU Usage: 99.00 %, Power Usage: 114.20417500000000000000 W
Memory Usage: 160.586 MB, CPU Usage: 100.00 %, Power Usage: 114.30329700000000000000 W
Memory Usage: 160.898 MB, CPU Usage: 99.00 %, Power Usage: 114.85834800000000000000 W
Memory Usage: 160.898 MB, CPU Usage: 99.00 %, Power Usage: 113.12837300000000000000 W
Memory Usage: 160.898 MB, CPU Usage: 103.00 %, Power Usage: 113.96174400000000000000 W
Memory Usage: 160.898 MB, CPU Usage: 99.00 %, Power Usage: 114.08924600000000000000 W
Memory Usage: 160.898 MB, CPU Usage: 100.00 %, Power Usage: 113.90461600000000000000 W
Memory Usage: 160.898 MB, CPU Usage: 101.00 %, Power Usage: 116.53266100000000000000 W
Memory Usage: 160.898 MB, CPU Usage: 100.00 %, Power Usage: 116.55622000000000000000 W
Memory Usage: 160.898 MB, CPU Usage: 136.00 %, Power Usage: 115.70502600000000000000 W
Memory Usage: 161.238 MB, CPU Usage: 100.00 %, Power Usage: 114.16657800000000000000 W
Memory Usage: 161.238 MB, CPU Usage: 100.00 %, Power Usage: 114.11122000000000000000 W
Memory Usage: 161.238 MB, CPU Usage: 101.00 %, Power Usage: 124.19011100000000000000 W
Memory Usage: 161.238 MB, CPU Usage: 100.00 %, Power Usage: 130.58090300000000000000 W
Memory Usage: 161.238 MB, CPU Usage: 103.00 %, Power Usage: 129.53812100000000000000 W
Memory Usage: 161.238 MB, CPU Usage: 100.00 %, Power Usage: 117.79871000000000000000 W
Memory Usage: 161.238 MB, CPU Usage: 101.00 %, Power Usage: 114.44263900000000000000 W
Memory Usage: 161.238 MB, CPU Usage: 100.00 %, Power Usage: 118.03662400000000000000 W
Memory Usage: 161.238 MB, CPU Usage: 100.00 %, Power Usage: 112.09425700000000000000 W
Memory Usage: 161.238 MB, CPU Usage: 101.00 %, Power Usage: 114.72889300000000000000 W
Memory Usage: 161.586 MB, CPU Usage: 100.00 %, Power Usage: 118.92956600000000000000 W
Memory Usage: 161.586 MB, CPU Usage: 99.00 %, Power Usage: 111.97426200000000000000 W
Memory Usage: 161.586 MB, CPU Usage: 101.00 %, Power Usage: 113.16810600000000000000 W
Memory Usage: 161.586 MB, CPU Usage: 100.00 %, Power Usage: 113.28663600000000000000 W
Memory Usage: 161.586 MB, CPU Usage: 103.00 %, Power Usage: 113.20405600000000000000 W
Memory Usage: 161.586 MB, CPU Usage: 99.00 %, Power Usage: 114.44575200000000000000 W
Memory Usage: 161.586 MB, CPU Usage: 100.00 %, Power Usage: 112.88679600000000000000 W
Memory Usage: 161.898 MB, CPU Usage: 100.00 %, Power Usage: 113.68739200000000000000 W
Memory Usage: 161.898 MB, CPU Usage: 100.00 %, Power Usage: 114.28333800000000000000 W
Memory Usage: 161.898 MB, CPU Usage: 104.00 %, Power Usage: 113.66133000000000000000 W
Memory Usage: 162.211 MB, CPU Usage: 101.00 %, Power Usage: 114.27161900000000000000 W
Memory Usage: 162.211 MB, CPU Usage: 100.00 %, Power Usage: 113.24702400000000000000 W
Memory Usage: 162.301 MB, CPU Usage: 100.00 %, Power Usage: 113.55000200000000000000 W
Memory Usage: 162.301 MB, CPU Usage: 99.01 %, Power Usage: 114.19776800000000000000 W
Memory Usage: 162.301 MB, CPU Usage: 101.00 %, Power Usage: 113.32453900000000000000 W
Memory Usage: 162.301 MB, CPU Usage: 100.00 %, Power Usage: 113.10890200000000000000 W
Memory Usage: 162.301 MB, CPU Usage: 103.00 %, Power Usage: 112.39412200000000000000 W
Memory Usage: 162.301 MB, CPU Usage: 101.00 %, Power Usage: 113.16914300000000000000 W
Memory Usage: 162.301 MB, CPU Usage: 100.00 %, Power Usage: 113.60389700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 83.70400900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.77587800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.99279400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 83.12240700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.47436500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.05090500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.52954100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.35376000000000000000 W
