Memory Usage: 161.434 MB, CPU Usage: 173.00 %, Power Usage: 61.51986300000000000000 W
Memory Usage: 171.883 MB, CPU Usage: 160.00 %, Power Usage: 117.18060700000000000000 W
Memory Usage: 180.898 MB, CPU Usage: 184.00 %, Power Usage: 117.69812400000000000000 W
Memory Usage: 171.941 MB, CPU Usage: 196.00 %, Power Usage: 118.39105500000000000000 W
Memory Usage: 176.078 MB, CPU Usage: 195.00 %, Power Usage: 125.55949300000000000000 W
Memory Usage: 169.977 MB, CPU Usage: 196.00 %, Power Usage: 126.25797800000000000000 W
Memory Usage: 173.148 MB, CPU Usage: 189.00 %, Power Usage: 124.92491100000000000000 W
Memory Usage: 167.613 MB, CPU Usage: 196.00 %, Power Usage: 125.81327800000000000000 W
Memory Usage: 163.684 MB, CPU Usage: 196.00 %, Power Usage: 123.85094000000000000000 W
Memory Usage: 166.383 MB, CPU Usage: 198.00 %, Power Usage: 124.63163900000000000000 W
Memory Usage: 167.484 MB, CPU Usage: 196.00 %, Power Usage: 124.71635500000000000000 W
Memory Usage: 174.379 MB, CPU Usage: 166.00 %, Power Usage: 119.88830400000000000000 W
Memory Usage: 166.676 MB, CPU Usage: 195.00 %, Power Usage: 118.47845700000000000000 W
Memory Usage: 173.914 MB, CPU Usage: 196.00 %, Power Usage: 121.39977400000000000000 W
Memory Usage: 171.684 MB, CPU Usage: 191.00 %, Power Usage: 124.95713900000000000000 W
Memory Usage: 174.562 MB, CPU Usage: 192.00 %, Power Usage: 126.12089300000000000000 W
Memory Usage: 168.52 MB, CPU Usage: 196.00 %, Power Usage: 124.92216600000000000000 W
Memory Usage: 163.719 MB, CPU Usage: 197.00 %, Power Usage: 124.89775100000000000000 W
Memory Usage: 179.703 MB, CPU Usage: 197.00 %, Power Usage: 124.36686900000000000000 W
Memory Usage: 170.332 MB, CPU Usage: 196.00 %, Power Usage: 124.71367000000000000000 W
Memory Usage: 177.285 MB, CPU Usage: 184.00 %, Power Usage: 125.75321800000000000000 W
Memory Usage: 176.199 MB, CPU Usage: 197.00 %, Power Usage: 123.95470000000000000000 W
Memory Usage: 170.629 MB, CPU Usage: 195.00 %, Power Usage: 123.61601600000000000000 W
Memory Usage: 169.129 MB, CPU Usage: 197.00 %, Power Usage: 124.74119700000000000000 W
Memory Usage: 165.27 MB, CPU Usage: 196.00 %, Power Usage: 124.99748300000000000000 W
Memory Usage: 184.977 MB, CPU Usage: 196.00 %, Power Usage: 122.61302800000000000000 W
Memory Usage: 176.75 MB, CPU Usage: 195.00 %, Power Usage: 122.99767100000000000000 W
Memory Usage: 168.074 MB, CPU Usage: 193.00 %, Power Usage: 122.96843600000000000000 W
Memory Usage: 165.402 MB, CPU Usage: 163.00 %, Power Usage: 125.19786000000000000000 W
Memory Usage: 164.363 MB, CPU Usage: 197.00 %, Power Usage: 121.99517100000000000000 W
Memory Usage: 169.461 MB, CPU Usage: 198.00 %, Power Usage: 124.58067500000000000000 W
Memory Usage: 172.438 MB, CPU Usage: 197.00 %, Power Usage: 124.62040800000000000000 W
Memory Usage: 180.988 MB, CPU Usage: 197.00 %, Power Usage: 124.53514300000000000000 W
Memory Usage: 168.133 MB, CPU Usage: 197.00 %, Power Usage: 125.00315900000000000000 W
Memory Usage: 172.25 MB, CPU Usage: 195.00 %, Power Usage: 123.77733300000000000000 W
Memory Usage: 169.711 MB, CPU Usage: 196.00 %, Power Usage: 124.70414700000000000000 W
Memory Usage: 171.664 MB, CPU Usage: 166.00 %, Power Usage: 125.32383700000000000000 W
Memory Usage: 172.254 MB, CPU Usage: 177.00 %, Power Usage: 123.63054300000000000000 W
Memory Usage: 166.688 MB, CPU Usage: 189.00 %, Power Usage: 124.51628300000000000000 W
Memory Usage: 188.5 MB, CPU Usage: 196.00 %, Power Usage: 122.59477900000000000000 W
Memory Usage: 170.75 MB, CPU Usage: 196.00 %, Power Usage: 123.24284900000000000000 W
Memory Usage: 176.512 MB, CPU Usage: 195.00 %, Power Usage: 125.48911900000000000000 W
Memory Usage: 168.594 MB, CPU Usage: 195.00 %, Power Usage: 125.28251700000000000000 W
Memory Usage: 168.402 MB, CPU Usage: 194.00 %, Power Usage: 125.44846900000000000000 W
Memory Usage: 171.844 MB, CPU Usage: 193.00 %, Power Usage: 125.84416100000000000000 W
Memory Usage: 174.152 MB, CPU Usage: 189.00 %, Power Usage: 125.76457000000000000000 W
Memory Usage: 180.258 MB, CPU Usage: 195.00 %, Power Usage: 124.75969100000000000000 W
Memory Usage: 183.406 MB, CPU Usage: 191.00 %, Power Usage: 125.25315900000000000000 W
Memory Usage: 176.574 MB, CPU Usage: 177.00 %, Power Usage: 123.86748100000000000000 W
Memory Usage: 180.117 MB, CPU Usage: 156.00 %, Power Usage: 122.45305500000000000000 W
Memory Usage: 172.594 MB, CPU Usage: 194.00 %, Power Usage: 126.08158600000000000000 W
Memory Usage: 175.867 MB, CPU Usage: 195.00 %, Power Usage: 124.65110900000000000000 W
Memory Usage: 177.875 MB, CPU Usage: 192.00 %, Power Usage: 123.29759800000000000000 W
Memory Usage: 185.285 MB, CPU Usage: 178.00 %, Power Usage: 123.53081100000000000000 W
Memory Usage: 180.184 MB, CPU Usage: 188.00 %, Power Usage: 124.91459700000000000000 W
