2025/01/09 20:17:14.065, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 20:17:15.098, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 20:17:16.130, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 20:17:17.162, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 20:17:18.192, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 20:17:19.225, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 20:17:20.255, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 20:17:21.287, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 20:17:22.318, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 20:17:23.347, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 20:17:24.531, 27.52 W, 0 %, 15 MiB, 16384 MiB
2025/01/09 20:17:25.561, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:26.589, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:27.618, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:28.647, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:29.677, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:30.710, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:31.740, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:32.770, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:33.800, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:34.829, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:35.859, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:36.889, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:37.918, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:38.947, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:39.977, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:41.006, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:42.035, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:43.065, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:44.094, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:45.124, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:46.153, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:47.183, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:48.212, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:49.242, 33.62 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:50.271, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:51.301, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:52.331, 33.62 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:53.361, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:54.393, 33.62 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:55.423, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:56.454, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:57.484, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:58.515, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:17:59.544, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:00.573, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:01.603, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:02.632, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:03.664, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:04.697, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:05.729, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:06.758, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:07.788, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:08.819, 33.37 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:09.852, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:10.885, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:11.915, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:12.946, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:13.978, 33.62 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:15.008, 33.62 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:16.037, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:17.067, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:18.096, 33.62 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:19.126, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:20.156, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:21.187, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:22.221, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:23.255, 33.62 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:24.286, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:25.317, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:26.350, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:27.380, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:28.408, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:29.438, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:30.469, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:31.498, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:32.527, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:33.557, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:34.589, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:35.619, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:36.649, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:37.679, 33.62 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:38.712, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:39.742, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:40.774, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:41.804, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:42.834, 33.62 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:43.866, 33.62 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:44.896, 33.62 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:45.925, 33.61 W, 0 %, 263 MiB, 16384 MiB
2025/01/09 20:18:46.955, 33.61 W, 0 %, 263 MiB, 16384 MiB
