2025/01/09 19:28:47.185, 27.52 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:28:48.218, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:28:49.251, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:28:50.281, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:28:51.313, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:28:52.345, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:28:53.376, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:28:54.409, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:28:55.440, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:28:56.470, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:28:57.503, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:28:58.534, 27.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:28:59.566, 33.37 W, 0 %, 603 MiB, 16384 MiB
2025/01/09 19:29:00.596, 33.37 W, 0 %, 603 MiB, 16384 MiB
2025/01/09 19:29:01.626, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:02.656, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:03.688, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:04.717, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:05.746, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:06.775, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:07.806, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:08.838, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:09.867, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:10.897, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:11.926, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:12.956, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:13.984, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:15.012, 33.37 W, 25 %, 627 MiB, 16384 MiB
2025/01/09 19:29:16.042, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:17.072, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:18.101, 33.37 W, 1 %, 627 MiB, 16384 MiB
2025/01/09 19:29:19.131, 33.37 W, 2 %, 627 MiB, 16384 MiB
2025/01/09 19:29:20.160, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:21.190, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:22.220, 34.84 W, 11 %, 627 MiB, 16384 MiB
2025/01/09 19:29:23.252, 33.37 W, 10 %, 627 MiB, 16384 MiB
2025/01/09 19:29:24.281, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:25.311, 33.61 W, 7 %, 647 MiB, 16384 MiB
2025/01/09 19:29:26.342, 39.01 W, 1 %, 681 MiB, 16384 MiB
2025/01/09 19:29:27.374, 33.61 W, 9 %, 635 MiB, 16384 MiB
2025/01/09 19:29:28.404, 33.62 W, 18 %, 627 MiB, 16384 MiB
2025/01/09 19:29:29.435, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:30.467, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:31.497, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:32.528, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:33.557, 33.37 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:34.586, 33.62 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:35.617, 33.62 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:36.647, 33.62 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:37.677, 33.86 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:38.707, 33.86 W, 22 %, 627 MiB, 16384 MiB
2025/01/09 19:29:39.736, 33.86 W, 5 %, 627 MiB, 16384 MiB
2025/01/09 19:29:40.766, 33.86 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:41.795, 34.11 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:42.825, 33.86 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:43.855, 34.11 W, 0 %, 627 MiB, 16384 MiB
2025/01/09 19:29:44.883, 33.86 W, 14 %, 689 MiB, 16384 MiB
2025/01/09 19:29:45.913, 33.86 W, 14 %, 627 MiB, 16384 MiB
2025/01/09 19:29:46.942, 33.86 W, 8 %, 627 MiB, 16384 MiB
