Memory Usage: 199.613 MB, CPU Usage: 100.00 %, Power Usage: 110.96791700000000000000 W
Memory Usage: 200.238 MB, CPU Usage: 100.00 %, Power Usage: 112.57533400000000000000 W
Memory Usage: 200.863 MB, CPU Usage: 99.00 %, Power Usage: 115.06440200000000000000 W
Memory Usage: 201.176 MB, CPU Usage: 100.00 %, Power Usage: 110.82649900000000000000 W
Memory Usage: 201.801 MB, CPU Usage: 101.00 %, Power Usage: 112.17293100000000000000 W
Memory Usage: 202.113 MB, CPU Usage: 100.00 %, Power Usage: 111.48354000000000000000 W
Memory Usage: 202.738 MB, CPU Usage: 101.00 %, Power Usage: 112.39747900000000000000 W
Memory Usage: 203.051 MB, CPU Usage: 99.00 %, Power Usage: 119.33337400000000000000 W
Memory Usage: 203.363 MB, CPU Usage: 99.00 %, Power Usage: 110.42275100000000000000 W
Memory Usage: 203.988 MB, CPU Usage: 101.00 %, Power Usage: 111.83162300000000000000 W
Memory Usage: 204.301 MB, CPU Usage: 100.00 %, Power Usage: 112.41365300000000000000 W
Memory Usage: 204.926 MB, CPU Usage: 100.00 %, Power Usage: 112.95295800000000000000 W
Memory Usage: 205.238 MB, CPU Usage: 99.01 %, Power Usage: 115.19947300000000000000 W
Memory Usage: 205.863 MB, CPU Usage: 0.00 %, Power Usage: 109.52358400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 74.82738400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.89599300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.72894500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.65051400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.57031600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.91736000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.96797500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 61.21798300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.16115800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.42476600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.19027000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 62.10048900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 61.62197400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 60.70223700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 61.10738800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.74932900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.51617800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.14014000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.99731800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.16650700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.77820000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.24890500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.63940700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.23016700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.04870900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.93506300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.89380400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.21887500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.58923500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.63214700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.19244700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.37506400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.05499300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.30597300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.31641000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.03918500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.67920100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.98327800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.85919400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.96423500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.29461900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.95428900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.99835600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.45727800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.49567000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.24420400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.76678700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.53399900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.68066600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.00122500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.45020100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.46051200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.91364000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.68897000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.29462000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.07525700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.29089600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.30072400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.98584400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.75287300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.53015700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.20965800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.38605100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.37878700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.78101100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.72943200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.76331100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 69.56335900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.52935800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.87469200000000000000 W
