Memory Usage: 147.035 MB, CPU Usage: 222.00 %, Power Usage: 114.39594700000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 224.00 %, Power Usage: 114.52161800000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 219.00 %, Power Usage: 114.38337400000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 210.00 %, Power Usage: 113.68971200000000000000 W
Memory Usage: 157.035 MB, CPU Usage: 209.00 %, Power Usage: 116.96588600000000000000 W
Memory Usage: 157.035 MB, CPU Usage: 208.00 %, Power Usage: 116.54053500000000000000 W
Memory Usage: 157.035 MB, CPU Usage: 209.00 %, Power Usage: 116.96527700000000000000 W
Memory Usage: 157.035 MB, CPU Usage: 211.00 %, Power Usage: 118.00860900000000000000 W
Memory Usage: 157.035 MB, CPU Usage: 213.00 %, Power Usage: 118.70922900000000000000 W
Memory Usage: 157.035 MB, CPU Usage: 213.00 %, Power Usage: 115.56250900000000000000 W
Memory Usage: 157.035 MB, CPU Usage: 214.00 %, Power Usage: 118.09515700000000000000 W
Memory Usage: 157.035 MB, CPU Usage: 212.00 %, Power Usage: 118.08777200000000000000 W
Memory Usage: 157.035 MB, CPU Usage: 216.00 %, Power Usage: 118.62933500000000000000 W
Memory Usage: 157.035 MB, CPU Usage: 214.00 %, Power Usage: 117.98529400000000000000 W
Memory Usage: 147.281 MB, CPU Usage: 225.00 %, Power Usage: 113.93543800000000000000 W
Memory Usage: 133.207 MB, CPU Usage: 228.00 %, Power Usage: 109.32662400000000000000 W
Memory Usage: 165.074 MB, CPU Usage: 224.00 %, Power Usage: 113.84040700000000000000 W
Memory Usage: 156.891 MB, CPU Usage: 216.00 %, Power Usage: 113.36756800000000000000 W
Memory Usage: 164.883 MB, CPU Usage: 219.00 %, Power Usage: 113.69776900000000000000 W
Memory Usage: 157.008 MB, CPU Usage: 224.00 %, Power Usage: 114.25520000000000000000 W
Memory Usage: 147.168 MB, CPU Usage: 229.00 %, Power Usage: 114.22736900000000000000 W
Memory Usage: 163.105 MB, CPU Usage: 227.00 %, Power Usage: 114.28773200000000000000 W
Memory Usage: 147.137 MB, CPU Usage: 222.00 %, Power Usage: 113.97181500000000000000 W
Memory Usage: 147.105 MB, CPU Usage: 216.00 %, Power Usage: 114.43922100000000000000 W
Memory Usage: 163.043 MB, CPU Usage: 222.00 %, Power Usage: 113.93385200000000000000 W
Memory Usage: 154.887 MB, CPU Usage: 224.00 %, Power Usage: 115.30689500000000000000 W
Memory Usage: 154.887 MB, CPU Usage: 223.00 %, Power Usage: 113.88722000000000000000 W
Memory Usage: 172.699 MB, CPU Usage: 210.00 %, Power Usage: 108.83688000000000000000 W
Memory Usage: 147.121 MB, CPU Usage: 223.00 %, Power Usage: 112.51442200000000000000 W
Memory Usage: 147.16 MB, CPU Usage: 217.00 %, Power Usage: 113.20515400000000000000 W
Memory Usage: 156.848 MB, CPU Usage: %wait %, Power Usage: 83.94564700000000000000 W
