Memory Usage: 171.25 MB, CPU Usage: 159.00 %, Power Usage: 123.33043400000000000000 W
Memory Usage: 167.574 MB, CPU Usage: 181.00 %, Power Usage: 125.09446700000000000000 W
Memory Usage: 173.574 MB, CPU Usage: 188.00 %, Power Usage: 122.06743600000000000000 W
Memory Usage: 170.648 MB, CPU Usage: 197.00 %, Power Usage: 120.82860900000000000000 W
Memory Usage: 174.715 MB, CPU Usage: 151.49 %, Power Usage: 122.31377400000000000000 W
Memory Usage: 171.988 MB, CPU Usage: 148.00 %, Power Usage: 121.52135600000000000000 W
Memory Usage: 177.453 MB, CPU Usage: 166.00 %, Power Usage: 119.89666600000000000000 W
Memory Usage: 170.262 MB, CPU Usage: 196.00 %, Power Usage: 117.79828300000000000000 W
Memory Usage: 175.211 MB, CPU Usage: 196.00 %, Power Usage: 113.89948800000000000000 W
Memory Usage: 180.441 MB, CPU Usage: 174.00 %, Power Usage: 119.82092200000000000000 W
Memory Usage: 170.137 MB, CPU Usage: 153.00 %, Power Usage: 122.05553500000000000000 W
Memory Usage: 174.484 MB, CPU Usage: 193.00 %, Power Usage: 124.00493100000000000000 W
Memory Usage: 178.328 MB, CPU Usage: 186.00 %, Power Usage: 122.85039400000000000000 W
Memory Usage: 183.754 MB, CPU Usage: 178.00 %, Power Usage: 119.86620900000000000000 W
Memory Usage: 169.941 MB, CPU Usage: 166.00 %, Power Usage: 123.47478200000000000000 W
Memory Usage: 170.074 MB, CPU Usage: 195.00 %, Power Usage: 123.74046600000000000000 W
Memory Usage: 173.684 MB, CPU Usage: 195.00 %, Power Usage: 122.75524000000000000000 W
Memory Usage: 172.473 MB, CPU Usage: 195.00 %, Power Usage: 124.63206700000000000000 W
Memory Usage: 177.414 MB, CPU Usage: 160.00 %, Power Usage: 120.07226300000000000000 W
Memory Usage: 173.023 MB, CPU Usage: 183.00 %, Power Usage: 124.88053900000000000000 W
Memory Usage: 171.605 MB, CPU Usage: 196.00 %, Power Usage: 123.61571200000000000000 W
Memory Usage: 173.203 MB, CPU Usage: 195.00 %, Power Usage: 120.84307400000000000000 W
Memory Usage: 172.355 MB, CPU Usage: 149.00 %, Power Usage: 122.64012800000000000000 W
Memory Usage: 170.543 MB, CPU Usage: 164.00 %, Power Usage: 123.59196900000000000000 W
Memory Usage: 174.305 MB, CPU Usage: 197.00 %, Power Usage: 124.49431100000000000000 W
Memory Usage: 180.367 MB, CPU Usage: 194.06 %, Power Usage: 125.35563500000000000000 W
Memory Usage: 184.66 MB, CPU Usage: 195.00 %, Power Usage: 120.91643900000000000000 W
Memory Usage: 183.574 MB, CPU Usage: 178.00 %, Power Usage: 122.47423500000000000000 W
Memory Usage: 181.102 MB, CPU Usage: 158.42 %, Power Usage: 122.96043900000000000000 W
Memory Usage: 176.168 MB, CPU Usage: 174.00 %, Power Usage: 123.82213200000000000000 W
Memory Usage: 170.902 MB, CPU Usage: 196.00 %, Power Usage: 123.94707000000000000000 W
Memory Usage: 175.961 MB, CPU Usage: 196.00 %, Power Usage: 119.07458600000000000000 W
Memory Usage: 180.723 MB, CPU Usage: 165.00 %, Power Usage: 116.43128200000000000000 W
