Memory Usage: 274.203 MB, CPU Usage: 173.00 %, Power Usage: 43.81861300000000000000 W
Memory Usage: 274.734 MB, CPU Usage: 178.22 %, Power Usage: 43.62086000000000000000 W
Memory Usage: 275.258 MB, CPU Usage: 136.00 %, Power Usage: 43.45832400000000000000 W
Memory Usage: 275.859 MB, CPU Usage: 149.00 %, Power Usage: 43.43372700000000000000 W
Memory Usage: 276.402 MB, CPU Usage: 158.00 %, Power Usage: 43.13563200000000000000 W
Memory Usage: 276.93 MB, CPU Usage: 160.00 %, Power Usage: 43.41181500000000000000 W
Memory Usage: 276.898 MB, CPU Usage: 155.00 %, Power Usage: 43.92103000000000000000 W
Memory Usage: 277.852 MB, CPU Usage: 142.00 %, Power Usage: 44.01880800000000000000 W
Memory Usage: 460.48 MB, CPU Usage: 112.00 %, Power Usage: 43.97242200000000000000 W
Memory Usage: 278.609 MB, CPU Usage: 165.00 %, Power Usage: 43.82044400000000000000 W
Memory Usage: 279.172 MB, CPU Usage: 164.00 %, Power Usage: 43.71894300000000000000 W
Memory Usage: 279.664 MB, CPU Usage: 164.00 %, Power Usage: 43.82123800000000000000 W
Memory Usage: 280.297 MB, CPU Usage: 163.00 %, Power Usage: 43.59742300000000000000 W
Memory Usage: 281.207 MB, CPU Usage: 161.00 %, Power Usage: 43.72309400000000000000 W
Memory Usage: 281.438 MB, CPU Usage: 158.00 %, Power Usage: 43.57093300000000000000 W
Memory Usage: 281.973 MB, CPU Usage: 150.00 %, Power Usage: 43.48542300000000000000 W
Memory Usage: 282.562 MB, CPU Usage: 148.00 %, Power Usage: 43.34632500000000000000 W
Memory Usage: 282.828 MB, CPU Usage: 162.00 %, Power Usage: 43.58723000000000000000 W
Memory Usage: 283.957 MB, CPU Usage: 181.00 %, Power Usage: 44.07081000000000000000 W
Memory Usage: 284.418 MB, CPU Usage: 160.00 %, Power Usage: 44.22095600000000000000 W
Memory Usage: 286.043 MB, CPU Usage: 158.00 %, Power Usage: 43.42493700000000000000 W
Memory Usage: 286.328 MB, CPU Usage: 176.00 %, Power Usage: 43.97217800000000000000 W
Memory Usage: 286.711 MB, CPU Usage: 159.00 %, Power Usage: 43.89271000000000000000 W
Memory Usage: 287.734 MB, CPU Usage: 162.00 %, Power Usage: 43.85969000000000000000 W
Memory Usage: 288.277 MB, CPU Usage: 156.00 %, Power Usage: 43.57679200000000000000 W
Memory Usage: 288.582 MB, CPU Usage: 166.00 %, Power Usage: 43.64033100000000000000 W
Memory Usage: 289.141 MB, CPU Usage: 158.00 %, Power Usage: 43.18873200000000000000 W
Memory Usage: 289.324 MB, CPU Usage: 138.00 %, Power Usage: 43.35297700000000000000 W
Memory Usage: 290.02 MB, CPU Usage: 176.00 %, Power Usage: 43.43177400000000000000 W
Memory Usage: 291.191 MB, CPU Usage: 169.00 %, Power Usage: 43.77289800000000000000 W
Memory Usage: 340.781 MB, CPU Usage: 104.00 %, Power Usage: 42.43635400000000000000 W
Memory Usage: 293.18 MB, CPU Usage: 176.00 %, Power Usage: 44.17048000000000000000 W
Memory Usage: 293.605 MB, CPU Usage: 128.00 %, Power Usage: 44.04853200000000000000 W
Memory Usage: 294.172 MB, CPU Usage: 168.00 %, Power Usage: 43.73548400000000000000 W
Memory Usage: 375.012 MB, CPU Usage: 138.00 %, Power Usage: 43.81287600000000000000 W
Memory Usage: 294.902 MB, CPU Usage: 139.00 %, Power Usage: 43.50330700000000000000 W
Memory Usage: 313.07 MB, CPU Usage: 173.00 %, Power Usage: 43.99756800000000000000 W
Memory Usage: 295.801 MB, CPU Usage: 170.00 %, Power Usage: 43.45826200000000000000 W
Memory Usage: 296.633 MB, CPU Usage: 164.00 %, Power Usage: 43.70307500000000000000 W
Memory Usage: 297.402 MB, CPU Usage: 141.00 %, Power Usage: 43.59455400000000000000 W
Memory Usage: 297.953 MB, CPU Usage: 181.00 %, Power Usage: 43.85828600000000000000 W
Memory Usage: 299.789 MB, CPU Usage: 179.00 %, Power Usage: 51.53844200000000000000 W
Memory Usage: 300.41 MB, CPU Usage: 154.00 %, Power Usage: 57.00821600000000000000 W
Memory Usage: 300.77 MB, CPU Usage: 167.00 %, Power Usage: 45.07184500000000000000 W
Memory Usage: 301.336 MB, CPU Usage: 160.00 %, Power Usage: 44.11298500000000000000 W
Memory Usage: 301.77 MB, CPU Usage: 144.00 %, Power Usage: 43.94971700000000000000 W
Memory Usage: 300.59 MB, CPU Usage: 102.00 %, Power Usage: 42.98841500000000000000 W
Memory Usage: 301.199 MB, CPU Usage: 142.00 %, Power Usage: 43.53309200000000000000 W
Memory Usage: 333.48 MB, CPU Usage: 179.00 %, Power Usage: 44.07373900000000000000 W
Memory Usage: 302.387 MB, CPU Usage: 154.00 %, Power Usage: 43.63825500000000000000 W
Memory Usage: 301.906 MB, CPU Usage: 150.00 %, Power Usage: 43.74061100000000000000 W
Memory Usage: 302.496 MB, CPU Usage: 135.00 %, Power Usage: 43.12409600000000000000 W
Memory Usage: 302.742 MB, CPU Usage: 175.00 %, Power Usage: 44.01508500000000000000 W
Memory Usage: 302.406 MB, CPU Usage: 147.00 %, Power Usage: 44.34650500000000000000 W
Memory Usage: 303.465 MB, CPU Usage: 160.00 %, Power Usage: 43.92969800000000000000 W
Memory Usage: 304.082 MB, CPU Usage: 133.00 %, Power Usage: 43.95081500000000000000 W
Memory Usage: 301.992 MB, CPU Usage: 154.00 %, Power Usage: 43.79609100000000000000 W
Memory Usage: 303.141 MB, CPU Usage: 154.00 %, Power Usage: 43.83777900000000000000 W
Memory Usage: 303.992 MB, CPU Usage: 170.00 %, Power Usage: 43.99421100000000000000 W
Memory Usage: 313.41 MB, CPU Usage: 178.00 %, Power Usage: 44.20124200000000000000 W
Memory Usage: 304.258 MB, CPU Usage: 182.00 %, Power Usage: 43.90448900000000000000 W
Memory Usage: 303.762 MB, CPU Usage: 178.00 %, Power Usage: 44.08466500000000000000 W
