2025/01/07 15:39:07.387, 55.87 W, 32 %, 1115 MiB, 16384 MiB
2025/01/07 15:39:08.417, 45.60 W, 26 %, 887 MiB, 16384 MiB
2025/01/07 15:39:09.446, 39.01 W, 26 %, 849 MiB, 16384 MiB
2025/01/07 15:39:10.476, 52.92 W, 13 %, 881 MiB, 16384 MiB
2025/01/07 15:39:11.505, 39.47 W, 23 %, 933 MiB, 16384 MiB
2025/01/07 15:39:12.535, 43.88 W, 14 %, 895 MiB, 16384 MiB
2025/01/07 15:39:13.564, 57.33 W, 27 %, 911 MiB, 16384 MiB
2025/01/07 15:39:14.594, 39.50 W, 13 %, 851 MiB, 16384 MiB
2025/01/07 15:39:15.622, 39.47 W, 52 %, 1135 MiB, 16384 MiB
2025/01/07 15:39:16.651, 39.47 W, 16 %, 851 MiB, 16384 MiB
2025/01/07 15:39:17.681, 39.47 W, 0 %, 851 MiB, 16384 MiB
2025/01/07 15:39:18.710, 39.47 W, 0 %, 851 MiB, 16384 MiB
2025/01/07 15:39:19.740, 57.79 W, 0 %, 931 MiB, 16384 MiB
2025/01/07 15:39:20.769, 41.19 W, 15 %, 855 MiB, 16384 MiB
2025/01/07 15:39:21.799, 40.45 W, 28 %, 975 MiB, 16384 MiB
2025/01/07 15:39:22.830, 44.37 W, 31 %, 905 MiB, 16384 MiB
2025/01/07 15:39:23.858, 39.50 W, 25 %, 851 MiB, 16384 MiB
2025/01/07 15:39:24.886, 39.47 W, 0 %, 851 MiB, 16384 MiB
2025/01/07 15:39:25.914, 39.47 W, 1 %, 851 MiB, 16384 MiB
2025/01/07 15:39:26.943, 39.72 W, 26 %, 851 MiB, 16384 MiB
2025/01/07 15:39:27.973, 63.86 W, 0 %, 939 MiB, 16384 MiB
2025/01/07 15:39:29.003, 44.86 W, 0 %, 905 MiB, 16384 MiB
2025/01/07 15:39:30.032, 65.61 W, 28 %, 923 MiB, 16384 MiB
2025/01/07 15:39:31.062, 43.64 W, 20 %, 883 MiB, 16384 MiB
2025/01/07 15:39:32.090, 39.96 W, 51 %, 1081 MiB, 16384 MiB
2025/01/07 15:39:33.119, 40.46 W, 54 %, 1133 MiB, 16384 MiB
2025/01/07 15:39:34.149, 40.45 W, 24 %, 851 MiB, 16384 MiB
2025/01/07 15:39:35.177, 55.82 W, 29 %, 931 MiB, 16384 MiB
2025/01/07 15:39:36.206, 39.96 W, 11 %, 851 MiB, 16384 MiB
2025/01/07 15:39:37.235, 39.72 W, 4 %, 1157 MiB, 16384 MiB
2025/01/07 15:39:38.264, 39.72 W, 21 %, 851 MiB, 16384 MiB
2025/01/07 15:39:39.293, 39.71 W, 0 %, 851 MiB, 16384 MiB
2025/01/07 15:39:40.321, 39.74 W, 0 %, 851 MiB, 16384 MiB
2025/01/07 15:39:41.350, 41.92 W, 0 %, 905 MiB, 16384 MiB
2025/01/07 15:39:42.381, 61.66 W, 31 %, 915 MiB, 16384 MiB
2025/01/07 15:39:43.410, 42.17 W, 36 %, 981 MiB, 16384 MiB
2025/01/07 15:39:44.439, 40.21 W, 25 %, 987 MiB, 16384 MiB
2025/01/07 15:39:45.469, 40.21 W, 13 %, 887 MiB, 16384 MiB
2025/01/07 15:39:46.498, 45.35 W, 12 %, 875 MiB, 16384 MiB
2025/01/07 15:39:47.528, 41.19 W, 36 %, 879 MiB, 16384 MiB
2025/01/07 15:39:48.557, 107.63 W, 15 %, 1059 MiB, 16384 MiB
2025/01/07 15:39:49.586, 39.96 W, 20 %, 851 MiB, 16384 MiB
2025/01/07 15:39:50.615, 42.16 W, 100 %, 1437 MiB, 16384 MiB
2025/01/07 15:39:51.644, 40.45 W, 26 %, 1091 MiB, 16384 MiB
2025/01/07 15:39:52.672, 43.39 W, 22 %, 899 MiB, 16384 MiB
2025/01/07 15:39:53.701, 39.96 W, 27 %, 851 MiB, 16384 MiB
2025/01/07 15:39:54.729, 35.09 W, 0 %, 851 MiB, 16384 MiB
2025/01/07 15:39:55.758, 44.63 W, 27 %, 935 MiB, 16384 MiB
2025/01/07 15:39:56.788, 62.92 W, 16 %, 937 MiB, 16384 MiB
2025/01/07 15:39:57.817, 39.96 W, 32 %, 965 MiB, 16384 MiB
2025/01/07 15:39:58.847, 39.96 W, 27 %, 851 MiB, 16384 MiB
2025/01/07 15:39:59.876, 39.96 W, 26 %, 851 MiB, 16384 MiB
2025/01/07 15:40:00.906, 39.96 W, 22 %, 851 MiB, 16384 MiB
2025/01/07 15:40:01.935, 39.96 W, 1 %, 851 MiB, 16384 MiB
2025/01/07 15:40:02.964, 39.98 W, 0 %, 851 MiB, 16384 MiB
2025/01/07 15:40:03.993, 55.37 W, 7 %, 897 MiB, 16384 MiB
2025/01/07 15:40:05.024, 40.21 W, 1 %, 851 MiB, 16384 MiB
2025/01/07 15:40:06.054, 39.96 W, 0 %, 871 MiB, 16384 MiB
2025/01/07 15:40:07.085, 53.41 W, 21 %, 907 MiB, 16384 MiB
2025/01/07 15:40:08.114, 40.70 W, 69 %, 1415 MiB, 16384 MiB
2025/01/07 15:40:09.145, 40.94 W, 23 %, 869 MiB, 16384 MiB
2025/01/07 15:40:10.174, 40.21 W, 16 %, 851 MiB, 16384 MiB
2025/01/07 15:40:11.203, 41.93 W, 100 %, 1539 MiB, 16384 MiB
2025/01/07 15:40:12.234, 40.21 W, 36 %, 1011 MiB, 16384 MiB
2025/01/07 15:40:13.263, 40.21 W, 10 %, 859 MiB, 16384 MiB
2025/01/07 15:40:14.294, 54.39 W, 25 %, 907 MiB, 16384 MiB
2025/01/07 15:40:15.323, 67.53 W, 6 %, 937 MiB, 16384 MiB
2025/01/07 15:40:16.353, 40.21 W, 12 %, 851 MiB, 16384 MiB
2025/01/07 15:40:17.382, 40.21 W, 0 %, 851 MiB, 16384 MiB
2025/01/07 15:40:18.413, 42.90 W, 4 %, 871 MiB, 16384 MiB
2025/01/07 15:40:19.442, 49.24 W, 11 %, 905 MiB, 16384 MiB
2025/01/07 15:40:20.471, 43.39 W, 26 %, 905 MiB, 16384 MiB
2025/01/07 15:40:21.500, 40.46 W, 27 %, 851 MiB, 16384 MiB
2025/01/07 15:40:22.530, 40.46 W, 15 %, 851 MiB, 16384 MiB
2025/01/07 15:40:23.559, 40.21 W, 10 %, 851 MiB, 16384 MiB
2025/01/07 15:40:24.589, 40.21 W, 0 %, 851 MiB, 16384 MiB
2025/01/07 15:40:25.618, 44.62 W, 0 %, 851 MiB, 16384 MiB
2025/01/07 15:40:26.647, 40.45 W, 22 %, 855 MiB, 16384 MiB
2025/01/07 15:40:27.675, 43.39 W, 27 %, 851 MiB, 16384 MiB
2025/01/07 15:40:28.706, 40.70 W, 28 %, 859 MiB, 16384 MiB
2025/01/07 15:40:29.736, 46.57 W, 16 %, 913 MiB, 16384 MiB
2025/01/07 15:40:30.767, 42.41 W, 76 %, 1401 MiB, 16384 MiB
2025/01/07 15:40:31.796, 41.43 W, 16 %, 863 MiB, 16384 MiB
2025/01/07 15:40:32.825, 53.65 W, 24 %, 915 MiB, 16384 MiB
2025/01/07 15:40:33.855, 40.46 W, 16 %, 851 MiB, 16384 MiB
