Memory Usage: 277.059 MB, CPU Usage: 100.00 %, Power Usage: 56.64560700000000000000 W
Memory Usage: 293.332 MB, CPU Usage: 100.00 %, Power Usage: 109.97951600000000000000 W
Memory Usage: 294.895 MB, CPU Usage: 149.00 %, Power Usage: 112.50007800000000000000 W
Memory Usage: 310.836 MB, CPU Usage: 100.00 %, Power Usage: 109.07198700000000000000 W
Memory Usage: 328.207 MB, CPU Usage: 100.00 %, Power Usage: 108.77584400000000000000 W
Memory Usage: 328.207 MB, CPU Usage: 145.00 %, Power Usage: 109.56112100000000000000 W
Memory Usage: 345.664 MB, CPU Usage: 100.00 %, Power Usage: 108.21560400000000000000 W
Memory Usage: 350.664 MB, CPU Usage: 149.00 %, Power Usage: 110.63411600000000000000 W
Memory Usage: 357.227 MB, CPU Usage: 100.00 %, Power Usage: 108.96218500000000000000 W
Memory Usage: 363.477 MB, CPU Usage: 99.00 %, Power Usage: 108.63729500000000000000 W
Memory Usage: 363.477 MB, CPU Usage: 148.00 %, Power Usage: 109.92196000000000000000 W
Memory Usage: 370.039 MB, CPU Usage: 99.00 %, Power Usage: 108.85537300000000000000 W
Memory Usage: 376.289 MB, CPU Usage: 99.00 %, Power Usage: 109.88814600000000000000 W
Memory Usage: 376.289 MB, CPU Usage: 133.00 %, Power Usage: 108.98952800000000000000 W
Memory Usage: 382.852 MB, CPU Usage: 100.00 %, Power Usage: 108.38906700000000000000 W
Memory Usage: 387.227 MB, CPU Usage: 110.00 %, Power Usage: 109.70888600000000000000 W
Memory Usage: 390.039 MB, CPU Usage: 133.00 %, Power Usage: 108.92599100000000000000 W
Memory Usage: 398.477 MB, CPU Usage: 100.00 %, Power Usage: 110.90437900000000000000 W
Memory Usage: 398.477 MB, CPU Usage: 143.00 %, Power Usage: 109.19399500000000000000 W
Memory Usage: 405.039 MB, CPU Usage: 100.00 %, Power Usage: 107.85018800000000000000 W
Memory Usage: 411.602 MB, CPU Usage: 100.00 %, Power Usage: 109.77633000000000000000 W
Memory Usage: 411.602 MB, CPU Usage: 148.00 %, Power Usage: 110.15743300000000000000 W
Memory Usage: 418.164 MB, CPU Usage: 100.00 %, Power Usage: 109.15511600000000000000 W
Memory Usage: 423.164 MB, CPU Usage: 104.00 %, Power Usage: 109.20919300000000000000 W
Memory Usage: 424.727 MB, CPU Usage: 131.00 %, Power Usage: 108.96169700000000000000 W
Memory Usage: 434.988 MB, CPU Usage: 119.00 %, Power Usage: 109.46303700000000000000 W
Memory Usage: 437.801 MB, CPU Usage: 148.00 %, Power Usage: 110.26436600000000000000 W
Memory Usage: 444.363 MB, CPU Usage: 100.00 %, Power Usage: 109.00210200000000000000 W
Memory Usage: 451.238 MB, CPU Usage: 100.00 %, Power Usage: 109.81044900000000000000 W
Memory Usage: 451.238 MB, CPU Usage: 146.00 %, Power Usage: 108.77492900000000000000 W
Memory Usage: 458.113 MB, CPU Usage: 101.00 %, Power Usage: 108.93184900000000000000 W
Memory Usage: 464.676 MB, CPU Usage: 101.00 %, Power Usage: 109.78042000000000000000 W
Memory Usage: 464.676 MB, CPU Usage: 141.58 %, Power Usage: 110.18288500000000000000 W
Memory Usage: 471.551 MB, CPU Usage: 100.00 %, Power Usage: 109.06856800000000000000 W
Memory Usage: 477.801 MB, CPU Usage: 119.00 %, Power Usage: 110.40798200000000000000 W
Memory Usage: 483.438 MB, CPU Usage: 98.00 %, Power Usage: 109.28090900000000000000 W
Memory Usage: 491.25 MB, CPU Usage: 100.00 %, Power Usage: 110.43300500000000000000 W
Memory Usage: 491.25 MB, CPU Usage: 148.00 %, Power Usage: 110.17208200000000000000 W
Memory Usage: 498.125 MB, CPU Usage: 100.00 %, Power Usage: 109.01852000000000000000 W
Memory Usage: 504.688 MB, CPU Usage: 100.00 %, Power Usage: 107.88668600000000000000 W
Memory Usage: 504.688 MB, CPU Usage: 148.00 %, Power Usage: 109.89571500000000000000 W
Memory Usage: 511.562 MB, CPU Usage: 99.00 %, Power Usage: 109.15359000000000000000 W
Memory Usage: 516.25 MB, CPU Usage: 107.00 %, Power Usage: 109.64235900000000000000 W
Memory Usage: 518.438 MB, CPU Usage: 125.00 %, Power Usage: 109.28225200000000000000 W
Memory Usage: 528.266 MB, CPU Usage: 133.00 %, Power Usage: 109.37313200000000000000 W
Memory Usage: 532.016 MB, CPU Usage: 148.00 %, Power Usage: 110.23855000000000000000 W
Memory Usage: 538.891 MB, CPU Usage: 100.00 %, Power Usage: 109.49965800000000000000 W
Memory Usage: 538.891 MB, CPU Usage: 99.00 %, Power Usage: 109.48818300000000000000 W
Memory Usage: 538.891 MB, CPU Usage: 38.00 %, Power Usage: 95.69934100000000000000 W
Memory Usage: 538.891 MB, CPU Usage: 100.00 %, Power Usage: 103.16739900000000000000 W
Memory Usage: 544.828 MB, CPU Usage: 98.00 %, Power Usage: 110.77217800000000000000 W
Memory Usage: 545.766 MB, CPU Usage: 124.00 %, Power Usage: 109.76967700000000000000 W
Memory Usage: 552.328 MB, CPU Usage: 99.00 %, Power Usage: 110.03658400000000000000 W
Memory Usage: 552.641 MB, CPU Usage: 137.62 %, Power Usage: 111.20631900000000000000 W
