2025/01/07 21:59:20.991, 28.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:59:22.021, 28.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:59:23.053, 28.23 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:59:24.084, 28.48 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:59:25.114, 28.49 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:59:26.145, 28.49 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:59:27.174, 28.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:59:28.203, 28.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:59:29.232, 28.49 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:59:30.262, 28.48 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:59:31.295, 28.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:59:32.327, 34.10 W, 0 %, 267 MiB, 16384 MiB
2025/01/07 21:59:33.357, 34.10 W, 0 %, 267 MiB, 16384 MiB
2025/01/07 21:59:34.387, 34.11 W, 0 %, 267 MiB, 16384 MiB
2025/01/07 21:59:35.419, 34.11 W, 0 %, 267 MiB, 16384 MiB
2025/01/07 21:59:36.451, 34.11 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:37.481, 34.11 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:38.512, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:39.543, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:40.573, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:41.602, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:42.634, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:43.662, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:44.692, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:45.722, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:46.752, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:47.782, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:48.812, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:49.842, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:50.873, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:51.903, 34.11 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:52.937, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:53.966, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:54.997, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:56.026, 34.11 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:57.055, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:58.085, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 21:59:59.115, 39.47 W, 100 %, 521 MiB, 16384 MiB
2025/01/07 22:00:00.145, 38.98 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:01.177, 38.98 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:02.209, 39.01 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:03.238, 34.35 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:04.271, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:05.301, 34.35 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:06.333, 34.11 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:07.362, 34.35 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:08.392, 34.35 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:09.422, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:10.451, 34.11 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:11.481, 34.10 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:12.511, 34.35 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:13.541, 34.36 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:14.570, 34.11 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:15.602, 34.35 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:16.635, 34.35 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:17.665, 34.35 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:18.694, 34.35 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:19.723, 39.47 W, 100 %, 519 MiB, 16384 MiB
2025/01/07 22:00:20.755, 38.98 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:21.789, 38.98 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:22.818, 39.00 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:23.848, 39.71 W, 100 %, 521 MiB, 16384 MiB
2025/01/07 22:00:24.877, 38.98 W, 11 %, 291 MiB, 16384 MiB
2025/01/07 22:00:25.907, 38.98 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:26.936, 38.98 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:27.966, 39.71 W, 100 %, 523 MiB, 16384 MiB
2025/01/07 22:00:28.998, 38.98 W, 25 %, 291 MiB, 16384 MiB
2025/01/07 22:00:30.027, 39.01 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:31.056, 39.22 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:32.084, 39.71 W, 89 %, 503 MiB, 16384 MiB
2025/01/07 22:00:33.117, 38.98 W, 19 %, 291 MiB, 16384 MiB
2025/01/07 22:00:34.146, 38.97 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:35.176, 38.98 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:36.205, 39.71 W, 100 %, 515 MiB, 16384 MiB
2025/01/07 22:00:37.235, 38.98 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:38.264, 39.22 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:39.293, 38.98 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:40.323, 39.71 W, 87 %, 517 MiB, 16384 MiB
2025/01/07 22:00:41.353, 39.25 W, 46 %, 291 MiB, 16384 MiB
2025/01/07 22:00:42.384, 38.98 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:43.416, 38.97 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:44.449, 39.71 W, 100 %, 517 MiB, 16384 MiB
2025/01/07 22:00:45.478, 38.98 W, 7 %, 291 MiB, 16384 MiB
2025/01/07 22:00:46.511, 39.25 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:47.542, 38.97 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:48.579, 39.23 W, 100 %, 509 MiB, 16384 MiB
2025/01/07 22:00:49.608, 39.22 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:50.638, 38.98 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:51.668, 39.25 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:52.697, 39.72 W, 100 %, 515 MiB, 16384 MiB
2025/01/07 22:00:53.727, 39.47 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:54.756, 39.22 W, 0 %, 291 MiB, 16384 MiB
2025/01/07 22:00:55.787, 39.22 W, 0 %, 291 MiB, 16384 MiB
