Memory Usage: 259.457 MB, CPU Usage: 165.00 %, Power Usage: 44.20581900000000000000 W
Memory Usage: 260.578 MB, CPU Usage: 170.00 %, Power Usage: 43.36774800000000000000 W
Memory Usage: 260.855 MB, CPU Usage: 154.00 %, Power Usage: 43.57734200000000000000 W
Memory Usage: 261.52 MB, CPU Usage: 151.00 %, Power Usage: 43.84577400000000000000 W
Memory Usage: 262.461 MB, CPU Usage: 158.42 %, Power Usage: 43.46863900000000000000 W
Memory Usage: 263.09 MB, CPU Usage: 129.00 %, Power Usage: 43.47883200000000000000 W
Memory Usage: 263.074 MB, CPU Usage: 161.00 %, Power Usage: 43.11237700000000000000 W
Memory Usage: 263.684 MB, CPU Usage: 161.00 %, Power Usage: 43.66566000000000000000 W
Memory Usage: 264.297 MB, CPU Usage: 156.00 %, Power Usage: 43.71277800000000000000 W
Memory Usage: 413.305 MB, CPU Usage: 164.00 %, Power Usage: 43.99677500000000000000 W
Memory Usage: 264.961 MB, CPU Usage: 166.00 %, Power Usage: 43.44074600000000000000 W
Memory Usage: 265.566 MB, CPU Usage: 155.00 %, Power Usage: 42.61939700000000000000 W
Memory Usage: 265.242 MB, CPU Usage: 154.00 %, Power Usage: 44.95478000000000000000 W
Memory Usage: 363.828 MB, CPU Usage: 150.00 %, Power Usage: 45.33112200000000000000 W
Memory Usage: 266.25 MB, CPU Usage: 162.00 %, Power Usage: 43.48664400000000000000 W
Memory Usage: 266.801 MB, CPU Usage: 161.00 %, Power Usage: 43.61823600000000000000 W
Memory Usage: 266.918 MB, CPU Usage: 160.00 %, Power Usage: 43.62806200000000000000 W
Memory Usage: 267.41 MB, CPU Usage: 123.00 %, Power Usage: 43.03773100000000000000 W
Memory Usage: 268.035 MB, CPU Usage: 173.00 %, Power Usage: 43.33967200000000000000 W
Memory Usage: 268.508 MB, CPU Usage: 185.00 %, Power Usage: 43.36866400000000000000 W
Memory Usage: 269.121 MB, CPU Usage: 171.00 %, Power Usage: 43.58582600000000000000 W
Memory Usage: 269.48 MB, CPU Usage: 153.00 %, Power Usage: 43.26337800000000000000 W
Memory Usage: 303.656 MB, CPU Usage: 155.00 %, Power Usage: 43.78492200000000000000 W
Memory Usage: 270.352 MB, CPU Usage: 148.00 %, Power Usage: 42.89191900000000000000 W
Memory Usage: 270.891 MB, CPU Usage: 147.00 %, Power Usage: 43.61268100000000000000 W
Memory Usage: 271.488 MB, CPU Usage: 162.00 %, Power Usage: 42.80628700000000000000 W
Memory Usage: 271.68 MB, CPU Usage: 150.00 %, Power Usage: 43.35163400000000000000 W
Memory Usage: 272.242 MB, CPU Usage: 136.00 %, Power Usage: 43.09553200000000000000 W
Memory Usage: 272.492 MB, CPU Usage: 182.00 %, Power Usage: 43.61353600000000000000 W
Memory Usage: 273.77 MB, CPU Usage: 132.00 %, Power Usage: 45.74536600000000000000 W
