Memory Usage: 184.949 MB, CPU Usage: 196.00 %, Power Usage: 129.22739100000000000000 W
Memory Usage: 180.746 MB, CPU Usage: 177.00 %, Power Usage: 125.64701800000000000000 W
Memory Usage: 166.363 MB, CPU Usage: 156.00 %, Power Usage: 123.28551100000000000000 W
Memory Usage: 170.508 MB, CPU Usage: 197.00 %, Power Usage: 125.87248000000000000000 W
Memory Usage: 167.59 MB, CPU Usage: 195.00 %, Power Usage: 123.04765900000000000000 W
Memory Usage: 165.473 MB, CPU Usage: 189.00 %, Power Usage: 119.86547700000000000000 W
Memory Usage: 173.523 MB, CPU Usage: 148.00 %, Power Usage: 116.76288500000000000000 W
Memory Usage: 173.125 MB, CPU Usage: 125.00 %, Power Usage: 121.48443000000000000000 W
Memory Usage: 166.797 MB, CPU Usage: 194.06 %, Power Usage: 119.54229700000000000000 W
Memory Usage: 168.297 MB, CPU Usage: 197.00 %, Power Usage: 114.45594400000000000000 W
Memory Usage: 169.141 MB, CPU Usage: 135.00 %, Power Usage: 116.88739600000000000000 W
Memory Usage: 168.148 MB, CPU Usage: 165.00 %, Power Usage: 118.22101100000000000000 W
Memory Usage: 171.672 MB, CPU Usage: 197.00 %, Power Usage: 119.65985000000000000000 W
Memory Usage: 187.531 MB, CPU Usage: 191.00 %, Power Usage: 119.03308200000000000000 W
Memory Usage: 170.469 MB, CPU Usage: 141.00 %, Power Usage: 119.07055600000000000000 W
Memory Usage: 172.285 MB, CPU Usage: 191.00 %, Power Usage: 119.74615400000000000000 W
Memory Usage: 174.441 MB, CPU Usage: 196.00 %, Power Usage: 117.26166300000000000000 W
Memory Usage: 174 MB, CPU Usage: 136.00 %, Power Usage: 121.13378400000000000000 W
Memory Usage: 173.312 MB, CPU Usage: 196.00 %, Power Usage: 126.70615700000000000000 W
Memory Usage: 185.703 MB, CPU Usage: 177.00 %, Power Usage: 128.50693500000000000000 W
Memory Usage: 169.16 MB, CPU Usage: 175.00 %, Power Usage: 124.17228900000000000000 W
Memory Usage: 168.832 MB, CPU Usage: 196.00 %, Power Usage: 121.02874300000000000000 W
Memory Usage: 185.617 MB, CPU Usage: 181.00 %, Power Usage: 120.75207100000000000000 W
Memory Usage: 167.625 MB, CPU Usage: 161.00 %, Power Usage: 124.77366700000000000000 W
Memory Usage: 178.418 MB, CPU Usage: 196.00 %, Power Usage: 121.04699300000000000000 W
Memory Usage: 176.582 MB, CPU Usage: 192.00 %, Power Usage: 119.86828400000000000000 W
Memory Usage: 169.953 MB, CPU Usage: 124.75 %, Power Usage: 123.84361700000000000000 W
Memory Usage: 186.492 MB, CPU Usage: 196.00 %, Power Usage: 135.50667200000000000000 W
Memory Usage: 170.027 MB, CPU Usage: 104.00 %, Power Usage: 125.41514500000000000000 W
Memory Usage: 170.664 MB, CPU Usage: 196.00 %, Power Usage: 129.16098500000000000000 W
Memory Usage: 171.828 MB, CPU Usage: 118.00 %, Power Usage: 119.65893500000000000000 W
Memory Usage: 168.875 MB, CPU Usage: 197.00 %, Power Usage: 118.96746900000000000000 W
Memory Usage: 187.316 MB, CPU Usage: 177.00 %, Power Usage: 114.19776700000000000000 W
Memory Usage: 169.543 MB, CPU Usage: 140.00 %, Power Usage: 120.01287600000000000000 W
Memory Usage: 172.121 MB, CPU Usage: 189.00 %, Power Usage: 120.13744900000000000000 W
Memory Usage: 186.902 MB, CPU Usage: 186.00 %, Power Usage: 118.65203900000000000000 W
Memory Usage: 184.32 MB, CPU Usage: 164.00 %, Power Usage: 113.88441300000000000000 W
Memory Usage: 170.113 MB, CPU Usage: 148.00 %, Power Usage: 115.44477300000000000000 W
Memory Usage: 182.68 MB, CPU Usage: 195.00 %, Power Usage: 114.05494600000000000000 W
Memory Usage: 175.145 MB, CPU Usage: 136.00 %, Power Usage: 112.93928600000000000000 W
Memory Usage: 175.281 MB, CPU Usage: 176.00 %, Power Usage: 116.36926900000000000000 W
